
[00:00:00.000 --> 00:00:04.600]  不知大家想起過去年輕時代
[00:01:37.560 --> 00:01:39.720]  其實是很不容易的一件事
[00:01:39.720 --> 00:01:43.480]  甚至…其實我有一個很深的體會
[00:01:43.480 --> 00:01:47.840]  這幾年,青少年的群體很不同
[00:01:47.840 --> 00:01:51.200]  他們面對的困難和壓力
[00:01:51.200 --> 00:01:55.520]  其實比我們以前過去不容易得多
[00:01:55.600 --> 00:01:58.200]  我在社交平台看過一段影片
[00:01:58.200 --> 00:02:00.480]  有一個青少年的獨白
[00:02:00.480 --> 00:02:04.960]  他說很辛苦一直熬過Zoom的時期
[00:02:04.960 --> 00:02:05.960]  即是中學的時期
[00:02:05.960 --> 00:02:08.480]  最後去到大學,打算讀好書
[00:02:08.480 --> 00:02:10.760]  然後就可以出人頭地
[00:02:10.760 --> 00:02:12.280]  怎知道出了一個人工智能
[00:02:12.280 --> 00:02:14.720]  讀完讀書也不知道出來做甚麼
[00:02:14.720 --> 00:02:17.120]  被人工智能取代了,那怎麼辦
[00:02:17.120 --> 00:02:19.800]  可能其實讓我們看到的就是
[00:02:19.800 --> 00:02:21.160]  現在的年輕人
[00:02:21.160 --> 00:02:24.200]  其實正在活在很多未知的地方
[00:02:24.280 --> 00:02:25.800]  世界不斷動盪
[00:02:25.800 --> 00:02:28.080]  也不知道打仗打成怎樣
[00:02:28.080 --> 00:02:30.560]  或者他們將來的前路會是怎樣
[00:02:30.560 --> 00:02:31.920]  世界會怎樣變
[00:02:31.920 --> 00:02:35.880]  很多事情都在迷茫、不理解之中
[00:02:35.880 --> 00:02:38.160]  以發展心理學來說
[00:02:38.160 --> 00:02:39.160]  青少年的時期
[00:02:39.160 --> 00:02:41.920]  不斷學習去理解自己的價值
[00:02:41.920 --> 00:02:45.760]  人與人之間的關係可以怎樣結連
[00:02:45.760 --> 00:02:48.640]  但當他們面對一個這麼動盪
[00:02:48.640 --> 00:02:50.240]  這麼不安的世界
[00:02:50.320 --> 00:02:54.640]  他們究竟在信仰中怎樣去堅持
[00:02:54.640 --> 00:02:56.440]  不知道大家在生命中
[00:02:56.440 --> 00:02:59.720]  有否經歷過被扶持、被鼓勵
[00:02:59.720 --> 00:03:05.360]  讓你在信仰中也可以捉緊、抓緊
[00:03:05.360 --> 00:03:07.440]  不知道我們這一代的青少年
[00:03:07.440 --> 00:03:10.080]  其實究竟他們真正需要的是甚麼
[00:03:10.080 --> 00:03:11.120]  今天的經文中
[00:03:11.120 --> 00:03:13.280]  正是告訴我們一樣東西
[00:03:13.280 --> 00:03:17.000]  就是當我們面對信仰的困難和挑戰時
[00:03:17.000 --> 00:03:19.160]  究竟我們可以怎樣去面對
[00:03:19.240 --> 00:03:21.520]  怎樣以致我們可以在信仰中堅持
[00:03:21.520 --> 00:03:23.880]  就像青少部有一個口號
[00:03:23.880 --> 00:03:24.720]  經常都會說
[00:03:24.720 --> 00:03:26.760]  Stand firm in Christ
[00:03:26.760 --> 00:03:28.240]  亦都在告訴我們
[00:03:28.240 --> 00:03:30.160]  信仰要堅持並不容易
[00:03:30.160 --> 00:03:36.400]  但這是我們心中認定要堅持、做的事
[00:03:36.400 --> 00:03:37.680]  盼望我們可以在當中
[00:03:37.680 --> 00:03:40.400]  在經文中帶出提醒
[00:03:40.400 --> 00:03:44.120]  讓我們可以抓緊上帝,好嗎
[00:03:44.120 --> 00:03:47.320]  我們看的經文是在希伯來書中
[00:03:47.400 --> 00:03:50.520]  我們不太清楚希伯來書的作者
[00:03:50.520 --> 00:03:53.240]  但我們當中很清楚的是
[00:03:53.240 --> 00:03:56.120]  作者寫這封信給的讀者
[00:03:56.120 --> 00:04:00.080]  是希伯來血統的人
[00:04:00.080 --> 00:04:02.080]  亦是當時的猶太人
[00:04:02.080 --> 00:04:07.840]  當時的猶太人面對很多不同角度的壓力
[00:04:07.840 --> 00:04:11.800]  譬如他們政治上活在羅馬政權下
[00:04:11.800 --> 00:04:15.080]  所以很多羅馬文化會有壓迫
[00:04:15.160 --> 00:04:18.040]  另一方面,他們在宗教上
[00:04:18.040 --> 00:04:20.960]  傳統的猶太教其實是主流
[00:04:20.960 --> 00:04:24.760]  亦會對他們有很多社會張力
[00:04:24.760 --> 00:04:26.920]  所以當時的猶太人
[00:04:26.920 --> 00:04:29.120]  他們要做一個基督徒
[00:04:29.120 --> 00:04:31.640]  其實是一件很不容易的事
[00:04:31.640 --> 00:04:34.920]  他們如何在當中仍然堅持
[00:04:34.920 --> 00:04:37.200]  我所相信的一件事是真的
[00:04:37.200 --> 00:04:38.320]  很不容易
[00:04:38.320 --> 00:04:40.560]  以至在書中提到
[00:04:40.560 --> 00:04:42.080]  他們有些弟兄姊妹
[00:04:42.160 --> 00:04:47.320]  信信下好像回到當時的猶太教一樣
[00:04:47.320 --> 00:04:49.480]  很想放棄,很累了
[00:04:49.480 --> 00:04:52.480]  堅持得很累,很想回到當時
[00:04:52.480 --> 00:04:53.880]  但在經文中
[00:04:53.880 --> 00:04:59.280]  作者其實不斷提醒和鼓勵當時的讀者
[00:04:59.280 --> 00:05:03.280]  告訴他們這個信仰是值得堅持的
[00:05:03.280 --> 00:05:05.840]  主耶穌真的很好,主耶穌是最重要的
[00:05:05.840 --> 00:05:08.040]  你一定要跟隨主耶穌
[00:05:08.040 --> 00:05:09.880]  以至在我們當中攀望
[00:05:09.960 --> 00:05:14.240]  我們看完後,面對信仰衝擊的時間
[00:05:14.240 --> 00:05:16.560]  我們可以來得定,可以堅持到
[00:05:16.560 --> 00:05:19.280]  並且我們可以為著年輕的群體
[00:05:19.280 --> 00:05:20.240]  去禱告、攀望
[00:05:20.240 --> 00:05:23.720]  他們在信仰面對衝擊、挑戰的時間
[00:05:23.720 --> 00:05:25.760]  他們都可以堅持得到
[00:05:25.760 --> 00:05:27.160]  當中我們今天看的經文
[00:05:27.160 --> 00:05:30.200]  是希伯來書的四章,8至16節
[00:05:30.200 --> 00:05:33.360]  當中會告訴我們一個信念
[00:05:33.360 --> 00:05:36.800]  就是當我們面對困難、挑戰的時間
[00:05:36.800 --> 00:05:38.440]  信仰中有困難、挑戰的時間
[00:05:38.520 --> 00:05:40.320]  我們需要的信念
[00:05:40.320 --> 00:05:44.920]  第二,我們當中需要一個關鍵
[00:05:44.920 --> 00:05:48.880]  我們如何突破、堅持到這個關鍵
[00:05:48.880 --> 00:05:51.520]  最後,當我們無法處理
[00:05:51.520 --> 00:05:53.320]  我們有的出路
[00:05:53.320 --> 00:05:55.760]  我們當中可以理解得到
[00:05:55.760 --> 00:05:57.640]  我們看第一部分的經文,好嗎
[00:05:57.640 --> 00:05:59.800]  第一部分的經文告訴我們
[00:05:59.800 --> 00:06:03.320]  我們當中在生命中需要一個信念
[00:06:03.320 --> 00:06:06.440]  以至我們可以面對信仰的挑戰
[00:06:06.520 --> 00:06:08.560]  那個信念就是我們要知道
[00:06:08.560 --> 00:06:11.600]  我們的生命是為了甚麼而活
[00:06:11.600 --> 00:06:15.000]  我們的生命不是為了滿足這個世界
[00:06:15.000 --> 00:06:16.880]  不是為了滿足你的老闆
[00:06:16.880 --> 00:06:18.960]  不是為了滿足學校的老師
[00:06:18.960 --> 00:06:21.360]  我們的生命是為了承擔主的使命
[00:06:21.360 --> 00:06:25.840]  以至將來我們可以得到上帝的安息
[00:06:25.840 --> 00:06:28.600]  我在後面的部分會解釋到何謂安息
[00:06:28.600 --> 00:06:29.840]  但我們要理解到一件事
[00:06:29.840 --> 00:06:31.360]  原來我們的生命
[00:06:31.360 --> 00:06:34.120]  活著在一個使命當中
[00:06:34.200 --> 00:06:36.520]  帕莫拉,我們一起讀這段經文
[00:06:36.520 --> 00:06:38.640]  經文在希伯來書第四章
[00:06:38.640 --> 00:06:41.320]  我們由八至十一節讀起,好嗎
[00:06:41.320 --> 00:06:42.880]  一起讀,請
[00:06:42.880 --> 00:06:47.080]  「若是約書也,以示貪玩,享了安息」
[00:07:01.040 --> 00:07:04.320]  「安息,正如神揭了他的公宅」
[00:07:04.320 --> 00:07:08.440]  「無必揭裂進入那安息」
[00:07:08.440 --> 00:07:11.840]  「降了信眾而跌倒」
[00:07:11.840 --> 00:07:14.360]  作者在第四章第十一節中
[00:07:14.360 --> 00:07:17.080]  給了一個呼籲信徒
[00:07:17.080 --> 00:07:20.040]  當中說我們要揭裂進入那個安息
[00:07:20.040 --> 00:07:21.520]  但聽起來很迷人
[00:07:21.520 --> 00:07:23.840]  究竟甚麼是努力,然後休息
[00:07:23.840 --> 00:07:26.040]  究竟我們是努力還是休息
[00:07:26.040 --> 00:07:27.680]  這句經文,我們要理解
[00:07:27.760 --> 00:07:31.640]  其實安息和揭裂是怎樣解釋的
[00:07:31.640 --> 00:07:34.600]  安息這個字是紫色解釋
[00:07:34.600 --> 00:07:38.720]  即是他用上帝創造天地作為解釋
[00:07:38.720 --> 00:07:40.680]  上帝六天創造天地
[00:07:40.680 --> 00:07:42.280]  第七天他就紫色了
[00:07:42.280 --> 00:07:44.840]  因為甚麼?因為完成了工作
[00:07:44.840 --> 00:07:47.080]  完成了創造世界的工作
[00:07:47.080 --> 00:07:51.000]  所以同樣,他在第三章說到摩西時
[00:07:51.000 --> 00:07:53.760]  他說摩西其實帶著以色列人
[00:07:53.760 --> 00:07:55.640]  他們有一個使命在內
[00:07:55.720 --> 00:07:57.840]  他們要做這件事,就是出埃及
[00:07:57.840 --> 00:08:00.200]  進入英許之地,這是要做的
[00:08:00.200 --> 00:08:03.000]  以致他們可以得著安息
[00:08:03.000 --> 00:08:05.160]  不過他當中說到以色列人
[00:08:05.160 --> 00:08:07.680]  不願意聽,以致安息不了
[00:08:07.680 --> 00:08:10.760]  同樣,去到史詩記說約書亞
[00:08:10.760 --> 00:08:13.520]  帶領以色列人要打聖戰
[00:08:13.520 --> 00:08:17.880]  要打當時英許之地的迦南人
[00:08:17.880 --> 00:08:20.280]  他們同樣有一個使命在當中
[00:08:20.280 --> 00:08:22.760]  他們要打,並且進入安息
[00:08:22.760 --> 00:08:25.320]  不過同樣,約書亞時代的以色列人
[00:08:25.400 --> 00:08:28.440]  看到巨人、馬車,又害怕
[00:08:28.440 --> 00:08:30.720]  又當作沒事發生
[00:08:30.720 --> 00:08:34.960]  結果到最後,他們也無法完成使命
[00:08:34.960 --> 00:08:37.360]  無法進入安息
[00:08:37.360 --> 00:08:40.680]  究竟對我們來說,我們的安息是怎樣
[00:08:40.680 --> 00:08:43.400]  其實正正就是在我們這個世代裡
[00:08:43.400 --> 00:08:45.360]  我們要承擔上帝給我們的使命
[00:08:45.360 --> 00:08:48.080]  我們要回應,我們要為主而活
[00:08:48.080 --> 00:08:50.760]  我們在生命中堅持我們的信仰
[00:08:50.760 --> 00:08:53.520]  跟隨上帝,這是我們的使命
[00:08:53.600 --> 00:08:57.240]  並且將來我們回到交障的時候
[00:08:57.240 --> 00:08:59.400]  我們就可以得著上帝的產業
[00:08:59.400 --> 00:09:02.480]  正如後面的經文同樣提到
[00:09:02.480 --> 00:09:05.400]  我們將來要向上帝交障
[00:09:05.400 --> 00:09:07.760]  所以如果我們集中在前面的部分
[00:09:07.760 --> 00:09:11.520]  就是我們生命中有一個目標
[00:09:11.520 --> 00:09:15.560]  就是要在生命中承擔上帝給我們的使命
[00:09:15.560 --> 00:09:18.000]  我們的目標不是為了我們的老闆而活
[00:09:18.000 --> 00:09:20.240]  不是為了我們的老師而活
[00:09:20.320 --> 00:09:26.200]  不是為了發大財,跟別人爭和鬥
[00:09:26.200 --> 00:09:30.520]  我們在生命中是為主而活,為上帝而活
[00:09:30.520 --> 00:09:34.880]  但的確,我們面對生命中有很多困難
[00:09:34.880 --> 00:09:37.320]  很多時候,你很想堅持你的信仰
[00:09:37.320 --> 00:09:39.680]  很想為主而活
[00:09:39.680 --> 00:09:41.760]  但當中其實有很多困難
[00:09:41.760 --> 00:09:47.680]  假設你上班很辛苦,還要堅持去教會
[00:09:47.680 --> 00:09:50.160]  其實這件事可能已經很不容易
[00:09:50.240 --> 00:09:56.560]  究竟我們如何面對生命中的困難和挑戰
[00:09:56.560 --> 00:09:59.800]  當中會告訴我們一個關鍵
[00:09:59.800 --> 00:10:01.720]  而這個關鍵會告訴我們
[00:10:01.720 --> 00:10:03.840]  原來我們要從心而發
[00:10:03.840 --> 00:10:06.840]  我們真的要相信上帝是好的
[00:10:06.840 --> 00:10:10.160]  我們真的要相信上帝是我們值得祝福的
[00:10:10.160 --> 00:10:13.480]  以致我們會信靠祂,並且信服祂
[00:10:13.480 --> 00:10:16.080]  從心而發,信靠和信服
[00:10:16.080 --> 00:10:18.120]  我們一起讀讀部分經文,好嗎
[00:10:18.200 --> 00:10:21.160]  第四章,11至13節
[00:10:21.160 --> 00:10:24.000]  我們會再讀11節,一起讀吧,請
[00:10:24.000 --> 00:10:25.160]  所以…
[00:10:25.160 --> 00:10:46.720]  「心中歷思念愛主,都能變命」
[00:10:48.720 --> 00:10:50.880]  「神面前不是顯露的」
[00:10:50.880 --> 00:10:54.800]  「萬物在祂眼前,都是赤露躺開的」
[00:10:54.800 --> 00:10:57.440]  「我們必須向祂交障」
[00:10:57.440 --> 00:11:00.240]  好,經文中,我們首先繼續
[00:11:00.240 --> 00:11:03.200]  我們要理解第二個字,就是「竭力」
[00:11:03.200 --> 00:11:04.960]  究竟「竭力」是甚麼意思
[00:11:04.960 --> 00:11:05.920]  我們要理解這個字
[00:11:05.920 --> 00:11:07.880]  其實看後面甚麼是「不竭力」
[00:11:07.880 --> 00:11:08.960]  我們就明白了
[00:11:08.960 --> 00:11:10.880]  後面說「不竭力」是甚麼
[00:11:10.880 --> 00:11:12.960]  就是不順從而跌倒
[00:11:12.960 --> 00:11:15.280]  所以倒過來,如果「竭力」是甚麼
[00:11:15.280 --> 00:11:16.680]  就是你順從上帝
[00:11:16.760 --> 00:11:18.640]  你在信心中不能跌倒,對吧
[00:11:18.640 --> 00:11:21.920]  所以其實說的是信靠和信服
[00:11:21.920 --> 00:11:23.560]  當我們相信上帝是好的
[00:11:23.560 --> 00:11:25.240]  我們願意去跟隨祂
[00:11:25.240 --> 00:11:26.720]  我們去信服祂的旨意
[00:11:26.720 --> 00:11:29.080]  這就是我們的「竭力」
[00:11:29.080 --> 00:11:31.720]  所以上帝給我們生命中的一個使命
[00:11:31.720 --> 00:11:33.400]  我們要相信祂、信靠祂
[00:11:33.400 --> 00:11:35.840]  並且跟隨著祂
[00:11:35.840 --> 00:11:38.840]  以致我們將來可以得到安息
[00:11:38.840 --> 00:11:40.920]  可以去完成這個使命
[00:11:40.920 --> 00:11:44.400]  經文中告訴我們,這就是「竭力」
[00:11:44.400 --> 00:11:46.000]  同時亦告訴我們
[00:11:46.080 --> 00:11:49.120]  第三章提到摩西他們做不到
[00:11:49.120 --> 00:11:51.160]  因為摩西當時的以色列人
[00:11:51.160 --> 00:11:53.320]  因為不願意相信上帝
[00:11:53.320 --> 00:11:55.600]  所以他們無法跟隨
[00:11:55.600 --> 00:11:57.920]  同時到了史詩紀的時間
[00:11:57.920 --> 00:11:59.320]  約書亞時代的以色列人
[00:11:59.320 --> 00:12:00.840]  不願意相信上帝
[00:12:00.840 --> 00:12:03.200]  所以他們到了打長勝戰的時間
[00:12:03.200 --> 00:12:05.200]  都不願意跟隨
[00:12:05.200 --> 00:12:07.200]  所以來到我們的時代
[00:12:07.200 --> 00:12:08.520]  其實都在告訴我們
[00:12:08.520 --> 00:12:10.800]  究竟我們是否願意相信上帝
[00:12:10.800 --> 00:12:12.040]  才是好的
[00:12:12.040 --> 00:12:15.040]  以致我們生命中願意跟隨
[00:12:16.160 --> 00:12:18.280]  但其實你會說一件事
[00:12:18.280 --> 00:12:21.360]  「但其實真的辛苦」
[00:12:21.360 --> 00:12:23.800]  「有時我們在信仰中堅持」
[00:12:23.800 --> 00:12:26.280]  「如果老闆不斷指責我」
[00:12:26.280 --> 00:12:29.120]  「我也沒有辦法,是苦難」
[00:12:29.120 --> 00:12:31.840]  「我如何跟隨上帝」
[00:12:31.840 --> 00:12:36.120]  「面對苦難時,他離開是很合理」
[00:12:36.120 --> 00:12:39.760]  「為何你要迫我面對苦難、擁抱苦難」
[00:12:39.760 --> 00:12:43.600]  「人會逃避苦難,是很合理的一件事」
[00:12:43.680 --> 00:12:46.640]  「沒理由你要迫我去面對苦難」
[00:12:46.640 --> 00:12:49.040]  但我很想探討這個問題
[00:12:49.040 --> 00:12:52.920]  其實人逃避苦難是否一件必然的事
[00:12:52.920 --> 00:12:55.000]  我問大家一個問題
[00:12:55.000 --> 00:12:57.280]  DSE,你們有考過吧
[00:12:57.280 --> 00:12:59.880]  或者你們可能會考,不知道吧
[00:12:59.880 --> 00:13:01.040]  DSE考過的話
[00:13:01.040 --> 00:13:03.840]  你會否覺得是一個苦難
[00:13:03.840 --> 00:13:05.000]  如果我現在是青少年
[00:13:05.000 --> 00:13:06.640]  會告訴你一定是苦難
[00:13:06.640 --> 00:13:09.200]  現在他們都讀得天昏地暗
[00:13:09.200 --> 00:13:11.600]  所以DSE是一個苦難
[00:13:11.680 --> 00:13:14.600]  但每個考生都會擁抱這件事
[00:13:14.600 --> 00:13:17.400]  都會拼命去讀,做10年試卷
[00:13:17.400 --> 00:13:20.160]  為甚麼?因為他覺得值得
[00:13:20.160 --> 00:13:21.600]  這是值得他會做的事
[00:13:21.600 --> 00:13:24.360]  所以他會願意去擁抱這個苦難
[00:13:24.360 --> 00:13:27.800]  他知道考完DSE,他的成績如果好
[00:13:27.800 --> 00:13:30.120]  他將來的前路會更明朗
[00:13:30.120 --> 00:13:31.800]  他可以有選擇
[00:13:31.800 --> 00:13:33.720]  可以選擇自己喜歡的科目
[00:13:33.720 --> 00:13:36.040]  所以當這件事是值得的時候
[00:13:36.040 --> 00:13:38.160]  他就會願意去擁抱苦難
[00:13:38.160 --> 00:13:40.680]  同樣的,一個不喜歡讀書的人
[00:13:40.760 --> 00:13:41.880]  他喜歡玩遊戲機,對吧
[00:13:41.880 --> 00:13:43.400]  玩遊戲機是否苦難
[00:13:43.400 --> 00:13:45.200]  不是,其實也可以是
[00:13:45.200 --> 00:13:46.680]  你想想一個人玩遊戲機
[00:13:46.680 --> 00:13:49.400]  可以連續幾天通宵去玩
[00:13:49.400 --> 00:13:51.080]  其實很辛苦的
[00:13:51.080 --> 00:13:52.720]  為甚麼他都會擁抱呢
[00:13:52.720 --> 00:13:54.960]  有人笑,是否有人這樣
[00:13:54.960 --> 00:13:55.960]  努力,加油
[00:13:55.960 --> 00:13:58.720]  對了,為甚麼玩遊戲機那麼辛苦
[00:13:58.720 --> 00:13:59.800]  他都會去玩呢
[00:13:59.800 --> 00:14:02.040]  其實是因為他覺得當中是值得的
[00:14:02.040 --> 00:14:03.920]  「我玩完之後,世界第一」
[00:14:03.920 --> 00:14:04.720]  「世一」,對吧
[00:14:04.720 --> 00:14:06.480]  或者可能是「我玩完之後」
[00:14:06.560 --> 00:14:11.360]  「我就可以得到這些道具、物資」
[00:14:11.360 --> 00:14:12.880]  很厲害,對吧
[00:14:12.880 --> 00:14:15.120]  他心裡有那種滿足感
[00:14:15.120 --> 00:14:17.400]  他覺得這一切都是值得的
[00:14:17.400 --> 00:14:21.160]  或者現在甚至韓國的女團
[00:14:21.160 --> 00:14:23.440]  拚命地練習
[00:14:23.440 --> 00:14:25.440]  可能其實他們為甚麼那麼辛苦
[00:14:25.440 --> 00:14:27.040]  他們都願意去做
[00:14:27.040 --> 00:14:28.320]  就是因為他們體會到
[00:14:28.320 --> 00:14:30.120]  如果我成為下一個BLACKPINK
[00:14:30.120 --> 00:14:32.040]  那就好了,那就很棒,對吧
[00:14:32.040 --> 00:14:34.960]  他們心裡都會覺得這一切是值得的
[00:14:35.040 --> 00:14:38.040]  所以人不是一定會逃避苦難
[00:14:38.040 --> 00:14:40.720]  人會擁抱苦難,是當甚麼
[00:14:40.720 --> 00:14:43.320]  當他覺得那件事是值得的時間
[00:14:43.320 --> 00:14:47.040]  所以其實當中告訴我們
[00:14:47.040 --> 00:14:50.960]  究竟我們的心是否覺得上帝是值得的
[00:14:50.960 --> 00:14:52.880]  上帝是否真的我們覺得很珍貴
[00:14:52.880 --> 00:14:54.880]  很重視的那個
[00:14:54.880 --> 00:14:55.640]  亦都是因為這樣
[00:14:55.640 --> 00:14:58.200]  所以經文就登大路下去
[00:14:58.200 --> 00:15:01.440]  神的話語進入到我們的內心
[00:15:01.440 --> 00:15:02.800]  去做一個辯明
[00:15:02.880 --> 00:15:05.240]  他用了這個形容
[00:15:05.240 --> 00:15:08.000]  兩刃劍,原文是一個去骨刀
[00:15:08.000 --> 00:15:11.800]  去進入、穿插,進入到人的內心
[00:15:11.800 --> 00:15:15.200]  並且他好像當時羅馬的法官
[00:15:15.200 --> 00:15:17.640]  兩刃的審判之劍
[00:15:17.640 --> 00:15:21.920]  去辯明到人的內心究竟在想甚麼
[00:15:21.920 --> 00:15:25.760]  很多時候,可能我們在做的事
[00:15:25.760 --> 00:15:27.960]  其實我們心裡都很清楚知道
[00:15:27.960 --> 00:15:30.040]  甚麼是應該做,甚麼不應該做
[00:15:30.040 --> 00:15:31.600]  但有時候我們選擇
[00:15:31.680 --> 00:15:35.160]  最後選擇,我們不願意去做對的事
[00:15:35.160 --> 00:15:38.120]  是因為我們內心已經選擇了
[00:15:38.120 --> 00:15:42.120]  究竟哪件事是值得、哪件事是重要
[00:15:42.120 --> 00:15:42.960]  亦都是因為這樣
[00:15:42.960 --> 00:15:45.680]  有一個作者叫James K. Smith
[00:15:45.680 --> 00:15:47.800]  他寫了一本書
[00:15:47.800 --> 00:15:50.560]  這本書叫《慾望的門訓》
[00:15:50.560 --> 00:15:51.680]  當中說到一件事
[00:15:51.680 --> 00:15:54.400]  就是他很相信、很哲學
[00:15:54.400 --> 00:15:55.680]  這本書所說的話
[00:15:55.680 --> 00:15:58.880]  他說其實人做選擇的抉擇
[00:15:58.960 --> 00:16:02.000]  重點不是在你的理性分析之中
[00:16:02.000 --> 00:16:03.920]  亦都好像有人這樣說
[00:16:03.920 --> 00:16:06.560]  好像你的腦和你的心
[00:16:06.560 --> 00:16:08.960]  當中是一個最長的距離
[00:16:08.960 --> 00:16:10.800]  你的腦裡明白一件事
[00:16:10.800 --> 00:16:11.840]  不代表你會去做
[00:16:11.840 --> 00:16:15.440]  因為你的心裡才是說了算的
[00:16:15.440 --> 00:16:16.840]  他亦都在說
[00:16:16.840 --> 00:16:20.120]  每個人心裡都會有一個天國
[00:16:20.120 --> 00:16:22.400]  即是你覺得理想的生活是怎樣
[00:16:22.400 --> 00:16:24.160]  理想的生命是怎樣
[00:16:24.160 --> 00:16:27.560]  每一個人都會向著那個天國去追求
[00:16:27.640 --> 00:16:31.360]  有時理性是知道的
[00:16:31.360 --> 00:16:32.560]  但到最後
[00:16:32.560 --> 00:16:36.240]  你的心會帶動你去做第二個選擇
[00:16:36.240 --> 00:16:37.960]  可能例如是怎樣
[00:16:37.960 --> 00:16:41.880]  例如其實你心裡會擔心生活是怎樣
[00:16:41.880 --> 00:16:44.400]  很想去追求安書的生活
[00:16:44.400 --> 00:16:46.200]  你很想要多點錢
[00:16:46.200 --> 00:16:47.760]  可能在理性上
[00:16:47.760 --> 00:16:50.880]  教會不斷說不可以侍奉馬門
[00:16:50.880 --> 00:16:53.280]  不可以怎樣
[00:16:53.280 --> 00:16:56.280]  你要多花點時間追求上帝的事
[00:16:56.360 --> 00:16:58.080]  但到你心裡去選擇的時候
[00:16:58.080 --> 00:17:02.480]  可能你就會想究竟哪件事值得做
[00:17:02.480 --> 00:17:04.480]  我做完之後會否虧錢
[00:17:04.480 --> 00:17:07.960]  或者如果我是做生意的
[00:17:07.960 --> 00:17:11.360]  如果我去到一些大項目
[00:17:11.360 --> 00:17:12.880]  可能我要完成項目
[00:17:12.880 --> 00:17:15.360]  我才會想起教會
[00:17:15.360 --> 00:17:17.680]  你的心裡的決定
[00:17:17.680 --> 00:17:21.320]  才是最影響到你做決定的人
[00:17:21.320 --> 00:17:22.440]  你的心怎樣去想
[00:17:22.440 --> 00:17:24.200]  你的天國是怎樣
[00:17:24.200 --> 00:17:26.280]  才會影響到你怎樣去追求
[00:17:26.360 --> 00:17:28.400]  又或者可能像我這樣
[00:17:28.400 --> 00:17:30.520]  我很渴望別人喜歡
[00:17:30.520 --> 00:17:32.120]  很想有朋友
[00:17:32.120 --> 00:17:34.320]  可能我的心、我的天國
[00:17:34.320 --> 00:17:35.680]  就是不斷去追求
[00:17:35.680 --> 00:17:38.360]  希望其他人都會喜歡我
[00:17:38.360 --> 00:17:41.000]  我會很努力為其他人付出
[00:17:41.000 --> 00:17:43.480]  很想去幫助別人
[00:17:43.480 --> 00:17:45.680]  其實因為我心裡已經有個假設
[00:17:45.680 --> 00:17:46.880]  我的天國是怎樣
[00:17:46.880 --> 00:17:49.040]  就是每個人都喜歡我的世界
[00:17:49.040 --> 00:17:54.120]  以致有時可能在青少年的時間
[00:17:54.120 --> 00:17:55.040]  我要劃界線
[00:17:55.120 --> 00:17:58.360]  我要跟青少年說甚麼是對或是錯的時間
[00:17:58.360 --> 00:18:00.560]  我可能會有卻步的時間
[00:18:00.560 --> 00:18:03.080]  我明白我的腦裡是知道的
[00:18:03.080 --> 00:18:05.240]  但當我去到我的心的時候
