
[00:00:00.000 --> 00:00:05.360]  各位聽聽節目的各位朋友你們好
[00:02:01.120 --> 00:02:04.880]  「看!神的羔羊是除去世人罪的?」
[00:02:04.880 --> 00:02:06.560]  因為在這個民族裏面
[00:02:06.560 --> 00:02:10.400]  一提到羔羊或與羔羊有關的東西
[00:02:10.400 --> 00:02:13.520]  他們都加以輕看和拒絕
[00:02:13.520 --> 00:02:15.920]  面對一個這樣文化的民族
[00:02:15.920 --> 00:02:18.240]  當你傳福音的時候
[00:02:18.240 --> 00:02:21.840]  如果你說耶穌是個被殺的羔羊
[00:02:21.840 --> 00:02:24.960]  抑或你將聖經更改
[00:02:24.960 --> 00:02:29.600]  說「看!神的蛇是除去世人罪的?」
[00:02:29.600 --> 00:02:32.080]  我想大家想一想
[00:02:32.080 --> 00:02:35.440]  第二個故事是真實的故事
[00:02:35.440 --> 00:02:39.120]  當一些西方傳教士來到黑暗的非洲大陸
[00:02:39.120 --> 00:02:43.200]  看到一個人十居其九都是一夫素妻
[00:02:43.200 --> 00:02:45.360]  宣教士以為一夫素妻
[00:02:45.360 --> 00:02:47.600]  是不合乎聖經的道理
[00:02:47.600 --> 00:02:51.760]  所以拒絕那些人受洗加入他們的教會
[00:02:51.760 --> 00:02:54.560]  如果他們想加入教會
[00:02:54.560 --> 00:02:59.600]  不能夠是擁有多過一個妻子加入教會的
[00:02:59.600 --> 00:03:02.160]  這些信徒為了要加入教會
[00:03:02.160 --> 00:03:04.160]  為了得到永生
[00:03:04.160 --> 00:03:08.880]  不惜將他非原配的妻子通通趕走
[00:03:08.880 --> 00:03:12.000]  以至他有資格來受洗
[00:03:12.000 --> 00:03:15.520]  這個民族是不反對一夫素妻
[00:03:15.520 --> 00:03:18.560]  但是絕對不容許離婚
[00:03:18.560 --> 00:03:22.000]  被包棄的妻子或者妾侍
[00:03:22.000 --> 00:03:24.640]  再難在這個社會立足的
[00:03:24.640 --> 00:03:26.240]  為了生計
[00:03:26.240 --> 00:03:28.240]  他們只有走上一條路
[00:03:28.240 --> 00:03:30.880]  就是做妓女、賣淫
[00:03:30.880 --> 00:03:34.000]  所以一個很怪的現象
[00:03:34.000 --> 00:03:36.240]  各教會越來越希望的時候
[00:03:36.240 --> 00:03:40.720]  這個地方的妓女數目就不絕的增加
[00:03:40.720 --> 00:03:45.200]  你以為宣教士這個做法是對的
[00:03:45.200 --> 00:03:46.640]  就以為是錯的
[00:03:46.640 --> 00:03:48.400]  大家去想一想
[00:03:48.400 --> 00:03:51.840]  第三個故事是一個非常現實的個案
[00:03:51.840 --> 00:03:55.600]  有些宣教士蒙召來到一個落後的民族
[00:03:55.600 --> 00:03:58.000]  他們沒有書寫的文字
[00:03:58.000 --> 00:04:00.560]  只有溝通的語言
[00:04:00.560 --> 00:04:03.440]  所以他們文化非常的落後
[00:04:03.440 --> 00:04:06.880]  當時有兩批不同意見的宣教士
[00:04:06.880 --> 00:04:09.760]  第一批就以為他們最佳的方法
[00:04:09.760 --> 00:04:11.760]  就教導他們學習英語
[00:04:11.760 --> 00:04:16.160]  用一個世界通行的語言來代替當地的語言
[00:04:16.160 --> 00:04:18.480]  估計不用十年
[00:04:18.480 --> 00:04:21.200]  整個民族就可以用英語溝通
[00:04:21.200 --> 00:04:24.240]  並且和世界各地融會貫通
[00:04:24.240 --> 00:04:26.400]  整個民族會變得文明
[00:04:26.400 --> 00:04:29.920]  宣教士也省了很多時間和精力
[00:04:29.920 --> 00:04:32.400]  去學這個民族的語言
[00:04:32.400 --> 00:04:36.400]  並且從他們說的語言當中
[00:04:36.400 --> 00:04:39.760]  做屬於他們的文字
[00:04:39.760 --> 00:04:43.760]  並且又用這些新的文字來翻譯聖經
[00:04:43.760 --> 00:04:45.600]  如果要做到這件事
[00:04:45.600 --> 00:04:48.960]  起碼要二、三十年的時間
[00:04:48.960 --> 00:04:52.160]  有很多人覺得這個不是一個上乘的選擇
[00:04:52.160 --> 00:04:54.080]  就算有了他們自己的文化
[00:04:54.080 --> 00:04:55.920]  有語言、有文字
[00:04:55.920 --> 00:04:59.360]  他也不能和這個世界融會貫通
[00:04:59.360 --> 00:05:01.440]  因為語言問題
[00:05:01.440 --> 00:05:04.480]  但另一批宣教士就以為這種做法是
[00:05:04.480 --> 00:05:06.240]  眼光短小
[00:05:06.240 --> 00:05:08.800]  更有文化侵略之嫌
[00:05:08.800 --> 00:05:11.360]  為了要保存他們的文化
[00:05:11.360 --> 00:05:13.920]  省多少時間是值得的
[00:05:13.920 --> 00:05:17.040]  你以為哪種做法是對的呢?
[00:05:17.040 --> 00:05:19.440]  誰是誰非呢?
[00:05:19.440 --> 00:05:22.240]  這三個故事都有一個共同點
[00:05:22.240 --> 00:05:27.280]  究竟信仰和文化和宣教有什麼關係呢?
[00:05:27.280 --> 00:05:29.600]  我們今回讀這個《史詩記》
[00:05:29.600 --> 00:05:31.760]  就是遇到這樣的一個問題
[00:05:31.760 --> 00:05:34.480]  需要我們去思想
[00:05:34.480 --> 00:05:37.920]  究竟聖經給我們一個什麼樣的答案呢?
[00:05:37.920 --> 00:05:41.040]  首先我們看看什麼叫文化
[00:05:41.040 --> 00:05:46.560]  文化是一個群體共同的生活方式
[00:05:46.560 --> 00:05:51.440]  包括那些人學習並且代代相傳的價值觀
[00:05:51.440 --> 00:05:55.200]  他們的信仰、他們的習俗、他們的語言
[00:05:55.200 --> 00:05:59.360]  他們的行為、他們的傳統、他們的藝術和社會實踐
[00:05:59.360 --> 00:06:02.640]  人類學家通常將文化概括為
[00:06:02.640 --> 00:06:05.200]  我們在這裡做事的方式
[00:06:05.200 --> 00:06:08.400]  文化的例子包括語言
[00:06:08.400 --> 00:06:10.800]  人與人之間怎樣去溝通呢?
[00:06:10.800 --> 00:06:14.480]  有他們的語言、有他們的信仰和價值觀
[00:06:14.480 --> 00:06:16.960]  他們認為什麼是對、什麼是錯
[00:06:16.960 --> 00:06:21.200]  什麼是重要、什麼是神聖、什麼是邪惡的
[00:06:21.200 --> 00:06:23.040]  有他們的價值觀
[00:06:23.040 --> 00:06:25.600]  也都有習俗和傳統
[00:06:25.600 --> 00:06:30.880]  有些典型、婚禮、葬禮、節慶等等
[00:06:30.880 --> 00:06:35.360]  也都有社會規範關於行為禮儀和人際關係
[00:06:35.360 --> 00:06:36.880]  怎樣去維繫呢?
[00:06:36.880 --> 00:06:39.760]  是有一些規範在裡面的
[00:06:39.760 --> 00:06:41.840]  也有藝術和音樂
[00:06:41.840 --> 00:06:46.480]  文學、繪畫、建築、跳舞、歌曲
[00:06:46.480 --> 00:06:49.360]  都是這個民族文化的一部分
[00:06:49.360 --> 00:06:51.760]  是藝術和音樂
[00:06:51.760 --> 00:06:53.680]  還有飲食和服飾呢?
[00:06:53.680 --> 00:06:56.240]  他們吃什麼、穿什麼衣服呢?
[00:06:56.240 --> 00:06:59.040]  是反映了這個民族的文化
[00:06:59.040 --> 00:07:00.720]  還有他們的制度
[00:07:00.720 --> 00:07:05.200]  家庭的結構、學校、政府、宗教組織
[00:07:05.200 --> 00:07:08.400]  一個簡單的例子在某些文化裡面
[00:07:08.400 --> 00:07:10.720]  有些人是握手問安的
[00:07:10.720 --> 00:07:13.200]  在其他文化是鞠躬的
[00:07:13.200 --> 00:07:16.000]  有些文化是親一下臉的
[00:07:16.000 --> 00:07:21.920]  這些習俗是由不同的情況下演變而成
[00:07:21.920 --> 00:07:24.800]  就成為了他們的規範
[00:07:24.800 --> 00:07:27.280]  一代一代傳下去
[00:07:27.280 --> 00:07:30.800]  就成為了這個民族的文化行為
[00:07:30.800 --> 00:07:38.160]  所以文化是對一個民族和歷史是相當重要的
[00:07:38.160 --> 00:07:42.000]  在2006年奧巴馬總統演講的時候說
[00:07:42.000 --> 00:07:44.560]  美國並不是一個基督教國家
[00:07:44.560 --> 00:07:48.080]  因為美國存有不同的宗教信仰
[00:07:48.080 --> 00:07:50.320]  我是有些贊同他的看法
[00:07:50.320 --> 00:07:53.760]  極其讓我們只可以說美國立國的時候
[00:07:53.760 --> 00:07:56.560]  不少當時的領袖多多少少
[00:07:56.560 --> 00:07:59.120]  受基督思想的影響
[00:07:59.120 --> 00:08:02.960]  但基督教的文化不等於西方的文化
[00:08:02.960 --> 00:08:05.760]  而且不是同一個概念
[00:08:05.760 --> 00:08:08.560]  如果要明白基督教的文化
[00:08:08.560 --> 00:08:13.360]  我們必須要明白我們處於兩個不同的世界
[00:08:13.360 --> 00:08:15.120]  一個是現今的世界
[00:08:15.120 --> 00:08:17.840]  普羅青稚為現今的世代
[00:08:17.840 --> 00:08:19.600]  另一個是神的世界
[00:08:19.600 --> 00:08:23.360]  普羅青文活世、天國或者聖靈的時代
[00:08:23.360 --> 00:08:25.600]  前者是以人為中心的
[00:08:25.600 --> 00:08:27.760]  後者是以神為中心的
[00:08:27.760 --> 00:08:31.520]  所以基督教文化是指聖經教導我們的價值觀
[00:08:31.520 --> 00:08:36.160]  我們的信仰、倫理、實踐、社會的方式
[00:08:36.160 --> 00:08:38.720]  一切是以神為中心
[00:08:38.720 --> 00:08:42.080]  只要我們看看耶穌在登山部分所教導的
[00:08:42.080 --> 00:08:44.880]  簡直是抗衡這個世界的文化
[00:08:44.880 --> 00:08:46.720]  甚至人的本性
[00:08:46.720 --> 00:08:52.000]  當人以為富貴榮華飽滿歡笑是幸福的標誌的時候
[00:08:52.000 --> 00:08:56.560]  耶穌說貧窮的人有福了 哀悼的人有福了
[00:08:56.560 --> 00:09:00.000]  飢餓的人有福了 哀哭的人有福了
[00:09:00.000 --> 00:09:03.040]  被人憎惡和拒絕的人有福了
[00:09:03.040 --> 00:09:06.480]  路加分第六章二十至二十二節
[00:09:06.480 --> 00:09:07.840]  耶穌又說過
[00:09:07.840 --> 00:09:11.360]  有人打你的右臉連左臉都斷了來由他打
[00:09:11.360 --> 00:09:13.760]  有人告你要拿你的女衣
[00:09:13.760 --> 00:09:15.680]  連外衣都由他拿去
[00:09:15.680 --> 00:09:19.040]  有人逼你走一里路你就跟他走個兩里路
[00:09:19.040 --> 00:09:21.920]  有人向你借貸的不可推辭
[00:09:21.920 --> 00:09:23.520]  這是什麼道理
[00:09:23.520 --> 00:09:25.200]  還有一個神學家所說
[00:09:25.200 --> 00:09:30.240]  這簡直是所有常識傳統和智慧砥矚的
[00:09:30.240 --> 00:09:32.480]  難以令人置信
[00:09:32.480 --> 00:09:36.400]  所以有些釋經家說這個倫理觀只是適用於天堂的
[00:09:36.400 --> 00:09:39.520]  並不可能在這個世界裏面會現的
[00:09:39.520 --> 00:09:43.280]  沒錯 耶穌說天國並不是屬於這個世界
[00:09:43.280 --> 00:09:46.720]  天國的道德觀不是這個世界的道德觀
[00:09:46.720 --> 00:09:52.400]  登山部分是新世界處於一個新的道德觀和人生觀
[00:09:52.400 --> 00:09:54.560]  與舊的世界截然不同
[00:09:54.560 --> 00:09:56.000]  但我們不要忘記
[00:09:56.000 --> 00:09:59.760]  耶穌基督來到這個世間是要啟開一個新的時代
[00:09:59.760 --> 00:10:01.600]  稱為末世的時代
[00:10:01.600 --> 00:10:03.840]  所以保羅說若有人在基督裏
[00:10:03.840 --> 00:10:05.680]  他就是新的創造
[00:10:05.680 --> 00:10:09.360]  中文譯道是新造的人是一個創
[00:10:09.360 --> 00:10:11.040]  不是一個new creature
[00:10:11.040 --> 00:10:13.280]  it's a new creation
[00:10:13.280 --> 00:10:18.240]  原來上帝是要創一個新天新地
[00:10:18.240 --> 00:10:19.680]  但是何時才來呢?
[00:10:19.680 --> 00:10:22.240]  是要到主耶穌再來的時候
[00:10:22.240 --> 00:10:25.440]  才創立一個新天新地
[00:10:25.440 --> 00:10:29.360]  但是這個新天新地已經開始了
[00:10:29.360 --> 00:10:32.800]  直到耶穌第一次來赦免我們的罪的時候
[00:10:32.800 --> 00:10:35.360]  我們已經有一個新的生命了
[00:10:35.360 --> 00:10:37.680]  所以保羅說若有人在基督裏
[00:10:37.680 --> 00:10:39.920]  就已經是一個新的創造
[00:10:39.920 --> 00:10:42.240]  所以我們活在一個什麼樣的時代呢?
[00:10:42.240 --> 00:10:45.200]  我們活在一個已然、未然
[00:10:45.200 --> 00:10:48.240]  英文說already but not yet的時代
[00:10:48.240 --> 00:10:50.720]  登山補訓不是關於將來
[00:10:50.720 --> 00:10:52.080]  是關於現在
[00:10:52.080 --> 00:10:54.320]  是帶著一個末世的眼光
[00:10:54.320 --> 00:10:56.400]  活在今天的世界裏面
[00:10:56.400 --> 00:10:59.520]  這個就是登山補訓所給我們的挑戰
[00:10:59.520 --> 00:11:02.400]  也是基督教文化的核心
[00:11:02.400 --> 00:11:04.400]  什麼叫西方文化?
[00:11:04.400 --> 00:11:10.160]  西方文化主要是在時下所發展更廣泛的文明
[00:11:10.160 --> 00:11:14.400]  可能受到古希臘、古羅馬、中世紀歐洲
[00:11:14.400 --> 00:11:17.200]  文藝復興時代、啟蒙時代
[00:11:17.200 --> 00:11:20.320]  它除了有基督教的價值觀
[00:11:20.320 --> 00:11:22.320]  也都包含其它的因素
[00:11:22.320 --> 00:11:24.320]  包括希臘的思想
[00:11:24.320 --> 00:11:27.280]  羅馬對法律和科學的探索
[00:11:27.280 --> 00:11:31.360]  人民主義、民主、資本主義、個人權利
[00:11:31.360 --> 00:11:34.640]  其中有些價值觀可能和基督教相符
[00:11:34.640 --> 00:11:38.160]  但是也有些價值觀和基督教是有衝突的
[00:11:38.160 --> 00:11:43.520]  但無可否認基督教對西方文明產生一個深遠的影響
[00:11:43.520 --> 00:11:46.640]  不少西方機構是源於基督教
[00:11:46.640 --> 00:11:54.160]  大學、醫院、慈善組織、人性尊嚴、人權理論、生命的神聖
[00:11:54.160 --> 00:12:00.560]  但是基督教文化和西方文化有一個基本的分別
[00:12:00.560 --> 00:12:03.440]  一個接受耶穌基督的教導
[00:12:03.440 --> 00:12:05.440]  接受耶穌做他的個人教主
[00:12:05.440 --> 00:12:08.080]  接受基督教文化的人會問
[00:12:08.080 --> 00:12:10.640]  「神你要我做些甚麼?」
[00:12:10.640 --> 00:12:14.240]  一個受西方文化影響的人會問
[00:12:14.240 --> 00:12:16.240]  「我想做甚麼?」
[00:12:16.240 --> 00:12:21.840]  神學家Leslie Nubelkin經常強調
[00:12:21.840 --> 00:12:24.320]  福音並非西方獨有
[00:12:24.320 --> 00:12:28.720]  它挑戰每一個文化包括西方的文化
[00:12:28.720 --> 00:12:31.920]  呼籲每一個文化都要馴服基督
[00:12:31.920 --> 00:12:35.920]  所以基督教最終是一種跨文化的信仰
[00:12:35.920 --> 00:12:39.120]  首先我們要認同
[00:12:39.120 --> 00:12:42.640]  我們的身份是屬於上帝的角度
[00:12:42.640 --> 00:12:45.120]  不是屬於這個世界
[00:12:45.120 --> 00:12:46.480]  換句話說
[00:12:46.480 --> 00:12:48.880]  不是說我可以做些甚麼
[00:12:48.880 --> 00:12:50.880]  是以人為中心
[00:12:50.880 --> 00:12:53.520]  耶穌問「神啊 你想我做些甚麼?」
[00:12:53.520 --> 00:12:58.400]  但可惜在整個教會歷史的過程裏
[00:12:58.400 --> 00:13:02.160]  我們看到福音開始世俗化
[00:13:02.160 --> 00:13:04.880]  漸漸基督教的信仰
[00:13:04.880 --> 00:13:10.000]  被這個世界的信仰侵吞世俗化
[00:13:10.000 --> 00:13:11.760]  從歷史的角度看
[00:13:11.760 --> 00:13:14.160]  當福音傳到這個世界時
[00:13:14.160 --> 00:13:18.640]  在宣教過程中往往受到當地文化的影響
[00:13:18.640 --> 00:13:22.320]  我稱這個過程為基督教信仰的世俗化
[00:13:22.320 --> 00:13:25.680]  以致所信的福音是走樣的福音
[00:13:25.680 --> 00:13:27.680]  不再是純正的福音
[00:13:27.680 --> 00:13:30.320]  以下是一個有趣的例子
[00:13:30.320 --> 00:13:34.800]  我們知道聖經是分舊約聖經和新約聖經
[00:13:34.800 --> 00:13:37.760]  二者之間有極密切的關係
[00:13:37.760 --> 00:13:39.760]  套用耶穌的一句話
[00:13:39.760 --> 00:13:42.640]  「莫想我來是要廢掉律法和先知
[00:13:42.640 --> 00:13:45.760]  我來不是要廢掉乃是要成全
[00:13:45.760 --> 00:13:47.440]  我實在告訴你們
[00:13:47.440 --> 00:13:49.440]  就算天地都要廢去
[00:13:49.440 --> 00:13:52.720]  律法一點一滑也不能廢去
[00:13:52.720 --> 00:13:54.080]  都要成全」
[00:13:54.080 --> 00:13:56.800]  馬達福音第五章十七至十八節
[00:13:56.800 --> 00:14:00.480]  這個所謂律法和先知乃是指舊約聖經
[00:14:00.480 --> 00:14:02.000]  耶穌強調
[00:14:02.000 --> 00:14:04.400]  他來不是要廢掉舊約
[00:14:04.400 --> 00:14:06.880]  乃是成全舊約
[00:14:06.880 --> 00:14:08.560]  成全的意思
[00:14:08.560 --> 00:14:11.840]  乃是說舊約所預言的彌賽亞
[00:14:11.840 --> 00:14:15.040]  在耶穌基督裏成就了
[00:14:15.040 --> 00:14:18.160]  所以路加福音第二十四章四十四節說
[00:14:18.160 --> 00:14:20.720]  「摩西的律法、先知的書
[00:14:20.720 --> 00:14:23.280]  和詩篇上所記載的
[00:14:23.280 --> 00:14:26.800]  凡指著我的話都必須應驗」
[00:14:26.800 --> 00:14:31.440]  舊約聖經除了一小部分是用阿蘭文寫成
[00:14:31.440 --> 00:14:34.080]  其餘都是用希伯來文所寫成的
[00:14:34.080 --> 00:14:37.040]  有著濃厚的猶太文化背景
[00:14:37.040 --> 00:14:39.680]  所以當我們要讀舊約聖經的時候
[00:14:39.680 --> 00:14:43.520]  我們必須明白猶太人的文化背景
[00:14:43.520 --> 00:14:45.120]  到了新約的時候
[00:14:45.120 --> 00:14:47.680]  希臘的文化和希臘的語言
[00:14:47.680 --> 00:14:49.280]  充斥整個地區
[00:14:49.280 --> 00:14:53.600]  亞歷山大大帝銳意推廣希臘文化和語言
[00:14:53.600 --> 00:14:56.640]  又將舊約聖經翻成希臘文
[00:14:56.640 --> 00:14:59.920]  新約聖經又用希臘文寫成
[00:14:59.920 --> 00:15:01.600]  在這樣的情形之下
[00:15:01.600 --> 00:15:06.560]  基督教受虐是很容易受到希臘文化的影響
[00:15:06.560 --> 00:15:09.760]  將本來的福音污染了
[00:15:09.760 --> 00:15:12.000]  哥林多前書15章
[00:15:12.000 --> 00:15:14.240]  保羅論述復活一事
[00:15:14.240 --> 00:15:16.560]  我們就清清楚楚了解到
[00:15:16.560 --> 00:15:18.240]  當時的哥林多人
[00:15:18.240 --> 00:15:21.680]  如何將這個福音希臘化、世俗化
[00:15:21.680 --> 00:15:23.040]  以至走樣
[00:15:23.040 --> 00:15:24.960]  首先我們要了解
[00:15:24.960 --> 00:15:26.960]  哥林多人的問題在哪裡
[00:15:26.960 --> 00:15:30.080]  他不是否定耶穌沒有復活
[00:15:30.080 --> 00:15:32.960]  他沒有否定耶穌是死而復活
[00:15:32.960 --> 00:15:36.640]  他只不過是否定將來死人復活這件事
[00:15:36.640 --> 00:15:39.600]  所謂死人復活就是指到猶太人的思想
[00:15:39.600 --> 00:15:42.240]  在末世的時候死人將要復活
[00:15:42.240 --> 00:15:45.920]  一同在新天新地與神永遠同在
[00:15:45.920 --> 00:15:48.960]  我們要留意保羅如何去駁斥他們
[00:15:48.960 --> 00:15:51.760]  他說:既存基督從死裡復活了
[00:15:51.760 --> 00:15:55.120]  怎麼在你們中間有人說沒有死人復活的事呢?
[00:15:55.120 --> 00:15:56.640]  若沒有死人復活的事
[00:15:56.640 --> 00:15:58.400]  基督也就沒有復活了
[00:15:58.400 --> 00:15:59.760]  若基督沒有復活
[00:15:59.760 --> 00:16:02.160]  我們所傳的便是謊言
[00:16:02.160 --> 00:16:04.240]  你們所信的也是謊言
[00:16:04.240 --> 00:16:05.600]  我們要留意
[00:16:05.600 --> 00:16:08.080]  保羅不是說若基督沒有復活
[00:16:08.080 --> 00:16:10.800]  將來就沒有死人復活的事了
[00:16:10.800 --> 00:16:13.120]  而是說若沒有死人復活
[00:16:13.120 --> 00:16:15.120]  基督也就沒有復活了
[00:16:15.120 --> 00:16:17.200]  但基督已經從死裡復活
[00:16:17.200 --> 00:16:19.200]  已經成為了睡了之人
[00:16:19.200 --> 00:16:20.960]  初熟的果子
[00:16:20.960 --> 00:16:23.200]  我們摸不著頭腦
[00:16:23.200 --> 00:16:25.520]  哥林多人為什麼他不相信
[00:16:25.520 --> 00:16:27.920]  末日有死人復活這件事呢?
[00:16:27.920 --> 00:16:32.080]  原因是因為他受到希臘人思想的影響
[00:16:32.080 --> 00:16:35.600]  嚴重污染了福音的要義
[00:16:35.600 --> 00:16:38.320]  希臘人相信人有身體和靈魂
[00:16:38.320 --> 00:16:39.680]  身體是會死的
[00:16:39.680 --> 00:16:40.640]  摧殘的
[00:16:40.640 --> 00:16:42.400]  但靈魂是不滅的
[00:16:42.400 --> 00:16:43.440]  人死了
[00:16:43.440 --> 00:16:45.360]  他的靈魂得到釋放
[00:16:45.360 --> 00:16:47.680]  所以是沒有需要復活
[00:16:47.680 --> 00:16:49.680]  也沒有復活這回事
[00:16:49.680 --> 00:16:52.880]  所以他們否定將來有死人復活的事
[00:16:52.880 --> 00:16:55.600]  保羅就很嚴厲的斥責他們
[00:16:55.600 --> 00:16:57.200]  若沒有死人復活
[00:16:57.200 --> 00:16:58.960]  基督也就沒有復活了
[00:16:58.960 --> 00:17:01.040]  我們所信亂是枉然
[00:17:01.040 --> 00:17:02.640]  我們認在罪裡
[00:17:02.640 --> 00:17:07.040]  這個例子說明了當時的文化
[00:17:07.040 --> 00:17:10.000]  對基督教的影響很大
[00:17:10.000 --> 00:17:12.000]  我們要特別留意
[00:17:12.000 --> 00:17:16.080]  這個福音不可以被世俗化
[00:17:16.080 --> 00:17:17.680]  實際上在早期的教會
[00:17:17.680 --> 00:17:19.600]  這種希臘化的福音
[00:17:19.600 --> 00:17:21.360]  充斥整個埃及
[00:17:21.360 --> 00:17:24.960]  當時伊甸諾茲底派應運而生
[00:17:24.960 --> 00:17:28.800]  在教會歷史裡這種情形屢見不鮮
[00:17:28.800 --> 00:17:31.520]  太平天國的故事就是一個很好的例子
[00:17:31.520 --> 00:17:35.920]  太平天國是中國清末時期的文明
[00:17:35.920 --> 00:17:38.160]  一個自稱為耶穌基督的弟弟
[00:17:38.160 --> 00:17:39.680]  洪秀全所發起的
[00:17:39.680 --> 00:17:41.440]  他立了一個上帝會
[00:17:41.440 --> 00:17:44.640]  151年1月11日在廣西金田村起義
[00:17:44.640 --> 00:17:46.080]  建立太平天國
[00:17:46.080 --> 00:17:49.600]  他是一個宗教、民族、政治的結合體
[00:17:49.600 --> 00:17:50.960]  他起義之後
[00:17:50.960 --> 00:17:55.440]  逝移破竹、席捲長江、以南一大片土地
[00:17:55.440 --> 00:17:57.280]  建了18省之廣
[00:17:57.280 --> 00:17:59.520]  成為一個龐大的帝國
[00:17:59.520 --> 00:18:03.040]  直到1864年被清政府所滅
[00:18:03.040 --> 00:18:06.320]  在這個時期死亡人數達2000萬人
[00:18:06.320 --> 00:18:08.240]  大多數都是平民
[00:18:08.240 --> 00:18:11.440]  洪秀全出身在一個務農的家庭
[00:18:11.440 --> 00:18:14.320]  7歲的時候熟讀四書五經
[00:18:14.320 --> 00:18:17.520]  曾經數次考取科舉而失敗
[00:18:17.520 --> 00:18:20.960]  1836年去廣州應試之後
[00:18:20.960 --> 00:18:25.840]  獲得傳教士贈送了《梁法的勸世良言》一書
[00:18:25.840 --> 00:18:28.240]  經法他創立了這個上帝會
[00:18:28.240 --> 00:18:30.480]  並且起義推翻滿清
[00:18:30.480 --> 00:18:33.680]  究竟《勸世良言》是一本甚麼書呢?
[00:18:33.680 --> 00:18:35.520]  他總共有520
[00:18:35.520 --> 00:18:38.800]  他的思想可以說是半宗半世
[00:18:38.800 --> 00:18:41.280]  表面上是傳揚基督
[00:18:41.280 --> 00:18:47.680]  文中卻佈滿了地獄苦楚、因果報應等佛家思想
[00:18:47.680 --> 00:18:53.920]  明顯是以《梁法》早期受佛家思想所陶冶而知
[00:18:53.920 --> 00:18:58.560]  他除了引用馬禮信所翻譯的《聖經》、《新天》、《聖書》
[00:18:58.560 --> 00:19:03.280]  再加上他自己所見所聞的中國風俗文情為基礎
[00:19:03.280 --> 00:19:05.200]  自讚長篇大論
[00:19:05.200 --> 00:19:07.920]  無論是馬禮信的《聖經》曰本
[00:19:07.920 --> 00:19:12.080]  和《梁法》所發揮的都存在著很大問題
[00:19:12.080 --> 00:19:14.960]  正如歷史學家鄧自語所說
[00:19:14.960 --> 00:19:17.040]  馬禮信所翻譯的《聖經》
[00:19:17.040 --> 00:19:20.400]  貢獻雖然大 危害亦不少
[00:19:20.400 --> 00:19:23.200]  很多令讀者感到迷惑
[00:19:23.200 --> 00:19:27.120]  覺得莫名奇妙 無法理解
[00:19:27.120 --> 00:19:30.560]  事實上《探員天國》是一個典型的中國文變
[00:19:30.560 --> 00:19:36.800]  與唐朝的《王朝之亂》、明朝的《明教》、清朝的《百年教》
[00:19:36.800 --> 00:19:38.400]  並沒有太大分別
[00:19:38.400 --> 00:19:40.240]  這些都是烏合之盡
[00:19:40.240 --> 00:19:42.080]  但是有好的組織
[00:19:42.080 --> 00:19:46.640]  雖然當時全教士大多數不是站在《探員天國》這一邊
[00:19:46.640 --> 00:19:50.160]  但《探員天國》是掛著基督教的名義作反
