
[00:00:00.000 --> 00:00:04.800]  主:靈佑姐妹平安!感謝神我們能夠一起來相聚
[00:12:36.400 --> 00:12:40.400]  那麼我們要澄清一下
[00:12:40.400 --> 00:12:41.400]  我們是軟弱的
[00:12:41.400 --> 00:12:43.400]  我們要認罪悔改
[00:12:43.400 --> 00:12:44.400]  上帝是憐憫我們的
[00:12:44.400 --> 00:12:47.400]  也會接納我們的認罪悔改
[00:12:47.400 --> 00:12:49.400]  我們可能還會再犯
[00:12:49.400 --> 00:12:52.400]  但是如果你是真心的認罪悔改
[00:12:52.400 --> 00:12:55.400]  你會發現你會越犯越少
[00:12:55.400 --> 00:12:57.400]  然後就完全改變了
[00:12:57.400 --> 00:13:00.400]  這個是上帝願意赦免的罪
[00:13:00.400 --> 00:13:02.400]  有別於什麼呢
[00:13:02.400 --> 00:13:06.400]  有別於故意喜歡犯罪
[00:13:06.400 --> 00:13:08.400]  然後藏在心裡
[00:13:08.400 --> 00:13:10.400]  藏在自己的生活中
[00:13:10.400 --> 00:13:12.400]  然後不悔改
[00:13:12.400 --> 00:13:13.400]  就算悔改
[00:13:13.400 --> 00:13:15.400]  上帝也知道不是真心誠意的
[00:13:15.400 --> 00:13:17.400]  因為很快又犯
[00:13:17.400 --> 00:13:19.400]  而且長年不悔改
[00:13:19.400 --> 00:13:22.400]  這樣的罪是不能得到赦免的
[00:13:22.400 --> 00:13:25.400]  除非你有一天真的認罪悔改
[00:13:25.400 --> 00:13:27.400]  這種罪是根植於內心
[00:13:27.400 --> 00:13:30.400]  你心中沒有神
[00:13:30.400 --> 00:13:33.400]  你心中對上帝的愛的救恩
[00:13:33.400 --> 00:13:35.400]  其實不是那麼了解
[00:13:35.400 --> 00:13:36.400]  就算你了解
[00:13:36.400 --> 00:13:37.400]  你也不珍惜
[00:13:37.400 --> 00:13:40.400]  你不是真心的以神為神
[00:13:40.400 --> 00:13:42.400]  你只是口裡說有神
[00:13:42.400 --> 00:13:43.400]  上次我們講到
[00:13:43.400 --> 00:13:45.400]  上帝說他會來
[00:13:45.400 --> 00:13:48.400]  把真基督徒跟假基督徒分開
[00:13:48.400 --> 00:13:51.400]  山羊和綿羊會分開
[00:13:51.400 --> 00:13:53.400]  那麼第二
[00:13:53.400 --> 00:13:58.400]  如果他這個病它發散蔓延
[00:13:58.400 --> 00:13:59.400]  它代表什麼呢
[00:13:59.400 --> 00:14:01.400]  罪會擴散
[00:14:01.400 --> 00:14:04.400]  擴散至於整個人
[00:14:04.400 --> 00:14:06.400]  小小的罪你放在生命裡面
[00:14:06.400 --> 00:14:07.400]  你會發現這個罪
[00:14:07.400 --> 00:14:09.400]  它不是普通的東西
[00:14:09.400 --> 00:14:11.400]  你的驕傲會使你變成
[00:14:11.400 --> 00:14:13.400]  不只是驕傲那麼簡單
[00:14:13.400 --> 00:14:14.400]  有一天你會變成一個
[00:14:14.400 --> 00:14:18.400]  目中無人的狂傲的人
[00:14:18.400 --> 00:14:19.400]  那很可怕
[00:14:19.400 --> 00:14:20.400]  很可怕
[00:14:20.400 --> 00:14:22.400]  你的所有的關係都會被破壞
[00:14:22.400 --> 00:14:24.400]  那麼擴散到整個人
[00:14:24.400 --> 00:14:26.400]  小小的驕傲不去處理
[00:14:26.400 --> 00:14:28.400]  慢慢慢慢的就變成一個
[00:14:28.400 --> 00:14:30.400]  極其狂傲的人
[00:14:30.400 --> 00:14:32.400]  狂傲的人有些時候
[00:14:32.400 --> 00:14:36.400]  一直一路很平順
[00:14:36.400 --> 00:14:39.400]  等於是來到一個最大的關卡
[00:14:39.400 --> 00:14:42.400]  馬上就是爬得越高
[00:14:42.400 --> 00:14:45.400]  跌得越重的時候
[00:14:45.400 --> 00:14:47.400]  那麼他不只是講擴散
[00:14:47.400 --> 00:14:48.400]  是擴散到全人
[00:14:48.400 --> 00:14:51.400]  還會擴散到群體
[00:14:51.400 --> 00:14:52.400]  群體裡面
[00:14:52.400 --> 00:14:53.400]  所以保羅也說
[00:14:53.400 --> 00:14:54.400]  保羅說什麼呢
[00:14:54.400 --> 00:14:56.400]  保羅說我們不能夠
[00:14:56.400 --> 00:14:59.400]  讓這個罪
[00:14:59.400 --> 00:15:00.400]  我們毫無限制的
[00:15:00.400 --> 00:15:03.400]  留在屬靈的群體裡面
[00:15:03.400 --> 00:15:05.400]  好像不去處理
[00:15:05.400 --> 00:15:06.400]  其他人
[00:15:06.400 --> 00:15:08.400]  還沒信主的人來到我們當中
[00:15:08.400 --> 00:15:09.400]  或者剛剛信主的人
[00:15:09.400 --> 00:15:10.400]  來到我們當中
[00:15:10.400 --> 00:15:12.400]  看到這個人這樣的問題
[00:15:12.400 --> 00:15:14.400]  也能夠繼續留在這個群體裡面
[00:15:14.400 --> 00:15:17.400]  就是說我也可以了
[00:15:17.400 --> 00:15:19.400]  你會發現上帝的群體
[00:15:19.400 --> 00:15:21.400]  就會慢慢的變成
[00:15:21.400 --> 00:15:23.400]  不屬上帝的群體
[00:15:23.400 --> 00:15:25.400]  不聖潔的群體
[00:15:25.400 --> 00:15:27.400]  他說有些的潰爛
[00:15:27.400 --> 00:15:29.400]  當它潰爛的時候
[00:15:29.400 --> 00:15:31.400]  就是它的顏色變紅了
[00:15:31.400 --> 00:15:32.400]  紅於肉
[00:15:32.400 --> 00:15:33.400]  潰爛的時候
[00:15:33.400 --> 00:15:34.400]  這個麻瘋病
[00:15:34.400 --> 00:15:35.400]  是代表什麼呢
[00:15:35.400 --> 00:15:39.400]  罪會帶來靈性的死亡
[00:15:39.400 --> 00:15:40.400]  靈性的死亡
[00:15:40.400 --> 00:15:43.400]  還有道德的腐化
[00:15:43.400 --> 00:15:44.400]  所以你會發現
[00:15:44.400 --> 00:15:47.400]  這個病如果不去處理
[00:15:47.400 --> 00:15:48.400]  是很嚴重
[00:15:48.400 --> 00:15:49.400]  而且它背後是代表著
[00:15:49.400 --> 00:15:52.400]  人的罪如果不處理
[00:15:52.400 --> 00:15:55.400]  那一天你沒有機會處理了
[00:15:55.400 --> 00:15:57.400]  上帝永遠都會等你
[00:15:57.400 --> 00:15:59.400]  但是你沒有時間等到那一天
[00:15:59.400 --> 00:16:02.400]  如果你不趕緊去處理
[00:16:02.400 --> 00:16:03.400]  還有大家知道
[00:16:03.400 --> 00:16:04.400]  剛才說了
[00:16:04.400 --> 00:16:06.400]  患這個病的人會怎麼樣呢
[00:16:06.400 --> 00:16:10.400]  必須離開這個群體
[00:16:10.400 --> 00:16:12.400]  他們這個營就代表
[00:16:12.400 --> 00:16:13.400]  上帝的子民
[00:16:13.400 --> 00:16:15.400]  神為他預備的
[00:16:15.400 --> 00:16:18.400]  他們的一個群體的地方
[00:16:18.400 --> 00:16:20.400]  神也在他們當中
[00:16:20.400 --> 00:16:22.400]  預表什麼呢
[00:16:22.400 --> 00:16:24.400]  罪人如果不悔改的話
[00:16:24.400 --> 00:16:28.400]  他是與神隔絕的
[00:16:28.400 --> 00:16:29.400]  而且大家知道
