
[00:00:00.000 --> 00:00:02.240]  各位弟兄姊妹,平安!
[00:04:28.000 --> 00:04:29.000]  其實我們都知道
[00:04:29.000 --> 00:04:31.000]  保羅在信主之前
[00:04:31.000 --> 00:04:35.000]  他是如何來對待基督徒的
[00:04:35.000 --> 00:04:36.000]  但信了主之後
[00:04:36.000 --> 00:04:39.000]  他卻完全改變過來
[00:04:39.000 --> 00:04:41.000]  對人來到寬容
[00:04:41.000 --> 00:04:44.000]  也是對信徒滿有愛心
[00:04:44.000 --> 00:04:47.000]  更加是持定自己的目標
[00:04:47.000 --> 00:04:49.000]  來往前走
[00:04:49.000 --> 00:04:51.000]  最後他更加是
[00:04:51.000 --> 00:04:55.000]  最重要的是要祝福提摩太
[00:04:55.000 --> 00:05:01.000]  要他來效法他受苦的榜樣
[00:05:01.000 --> 00:05:04.000]  原來他在第一次傳道的旅行中
[00:05:04.000 --> 00:05:07.000]  他經過的三個地方
[00:05:07.000 --> 00:05:10.000]  安提阿爾哥廉和路斯德
[00:05:10.000 --> 00:05:13.000]  因為他在那裡傳福音
[00:05:13.000 --> 00:05:16.000]  是受到當地人來排斥
[00:05:16.000 --> 00:05:19.000]  更加是用石頭來打他
[00:05:19.000 --> 00:05:22.000]  差點就死了
[00:05:22.000 --> 00:05:25.000]  但主還是救了他
[00:05:25.000 --> 00:05:28.000]  從這幾次的逼迫裡
[00:05:28.000 --> 00:05:32.000]  他就向提摩太提出了一件事
[00:05:32.000 --> 00:05:35.000]  就是說所有的侍奉者
[00:05:35.000 --> 00:05:41.000]  都可能會經歷到許多苦難
[00:05:41.000 --> 00:05:46.000]  侍奉的人可能需要付出代價
[00:05:46.000 --> 00:05:49.000]  所以他在三章第十二節說到
[00:05:49.000 --> 00:05:53.000]  凡納至在基督耶穌裡敬虔道入的
[00:05:53.000 --> 00:05:56.000]  也都要受逼迫
[00:05:56.000 --> 00:05:59.000]  這裡其實是提醒提摩太
[00:05:59.000 --> 00:06:02.000]  他要有一個心理的準備
[00:06:02.000 --> 00:06:05.000]  耶穌也都曾經預言過
[00:06:05.000 --> 00:06:07.000]  在末世的時候
[00:06:07.000 --> 00:06:10.000]  信祂的人都要受到逼迫
[00:06:10.000 --> 00:06:16.000]  正如路加福音第十二節說到
[00:06:16.000 --> 00:06:20.000]  人要拿下彼伯利門
[00:06:20.000 --> 00:06:23.000]  把利門交給回堂
[00:06:23.000 --> 00:06:28.000]  而相傳提摩太在保羅殉道之後
[00:06:28.000 --> 00:06:32.000]  他重返以弗所教會來服侍
[00:06:32.000 --> 00:06:38.000]  但是在某一次居民所舉行的廟會遊行裡
[00:06:38.000 --> 00:06:42.000]  那些百姓都戴著面具
[00:06:42.000 --> 00:06:46.000]  還有抬著偶像來遊行
[00:06:46.000 --> 00:06:48.000]  提摩太看不過眼
[00:06:48.000 --> 00:06:51.000]  要勸他們回頭
[00:06:51.000 --> 00:06:54.000]  要他們來敬拜這個真神
[00:06:54.000 --> 00:06:57.000]  但是百姓都沒有聽說
[00:06:57.000 --> 00:07:00.000]  結果還是用棍來打他
[00:07:00.000 --> 00:07:03.000]  以致他受了重傷
[00:07:03.000 --> 00:07:05.000]  很不幸兩天之後
[00:07:05.000 --> 00:07:11.000]  提摩太也是報他的老師
[00:07:11.000 --> 00:07:14.000]  那位署名的老師的後塵
[00:07:14.000 --> 00:07:17.000]  保羅來殉道
[00:07:17.000 --> 00:07:22.000]  其實他們這些侍奉的人的生命
[00:07:22.000 --> 00:07:25.000]  是怎樣來有的呢?
[00:07:25.000 --> 00:07:30.000]  當然提摩太是效法保羅
[00:07:30.000 --> 00:07:33.000]  而保羅更是效法基督
[00:07:33.000 --> 00:07:35.000]  換句話說
[00:07:35.000 --> 00:07:41.000]  其實他們兩個人都是服膺在真理的教導下
[00:07:41.000 --> 00:07:46.000]  他們對真道、真理是確信不疑的
[00:07:46.000 --> 00:07:49.000]  接下來在十七節
[00:07:49.000 --> 00:07:52.000]  保羅繼續訓練提摩太
[00:07:52.000 --> 00:07:55.000]  要他來持守真道
[00:07:55.000 --> 00:07:58.000]  要將他們所學的傳在心裏
[00:07:58.000 --> 00:08:02.000]  所謂有諸內才能夠凝諸外
[00:08:02.000 --> 00:08:05.000]  真道其實是指甚麼呢?
[00:08:05.000 --> 00:08:09.000]  在這裏保羅講到聖經
[00:08:09.000 --> 00:08:11.000]  原文其實是講到
[00:08:11.000 --> 00:08:16.000]  神聖的經書是眾數
[00:08:16.000 --> 00:08:20.000]  當然神聖是跟異端的荒謬言語
[00:08:20.000 --> 00:08:23.000]  那些騙人的說話是有分別的
[00:08:23.000 --> 00:08:26.000]  因為是神的話
[00:08:26.000 --> 00:08:35.000]  耶穌在路加福音第24章第44節也曾經講過
[00:08:35.000 --> 00:08:41.000]  「這就是我從前與你們同在之時所告訴你們的話說
[00:08:41.000 --> 00:08:45.000]  摩西的律法、先知的書和詩篇上所記的
[00:08:45.000 --> 00:08:49.000]  凡指著我的話都必須應驗」
[00:08:49.000 --> 00:08:54.000]  這裏神聖的經書其實是指到猶太人
[00:08:54.000 --> 00:08:57.000]  他們舊約的正典的三個部份
[00:08:57.000 --> 00:09:01.000]  是律法書、先知書和聖卷
[00:09:01.000 --> 00:09:08.000]  亦是我們現在所讀的舊約三十九卷的書卷
[00:09:08.000 --> 00:09:13.000]  在第十五節裏保羅也說
[00:09:13.000 --> 00:09:18.000]  「這聖經能使你因信耶穌基督有得救的智慧
[00:09:18.000 --> 00:09:25.000]  其實在言中版翻譯是比較貼一些原文的
[00:09:25.000 --> 00:09:28.000]  即是說保羅在這裏提醒提摩太
[00:09:28.000 --> 00:09:32.000]  聖經是能夠讓人有智慧
[00:09:32.000 --> 00:09:35.000]  是藉著信耶穌而得救
[00:09:35.000 --> 00:09:40.000]  而不是得到智慧是最終目的
[00:09:40.000 --> 00:09:44.000]  是得救才是最終目的
[00:09:44.000 --> 00:09:51.000]  耶穌亦在《約翰福音》第五章第三十九節說到
[00:09:51.000 --> 00:09:55.000]  「你們炒聖經因你們以為內宗有永生
[00:09:55.000 --> 00:09:58.000]  給我作戰證的就是這經」
[00:09:58.000 --> 00:10:03.000]  耶穌其實說得最清楚
[00:10:03.000 --> 00:10:07.000]  然後他更加在第十六節說到
[00:10:07.000 --> 00:10:11.000]  「聖經是神所默示」
[00:10:11.000 --> 00:10:14.000]  這裏的聖經是單數
[00:10:14.000 --> 00:10:21.000]  即是指道聖經的全部或每一部分的意思
[00:10:21.000 --> 00:10:23.000]  而默示是甚麼意思呢?
[00:10:23.000 --> 00:10:26.000]  原來原文是一個複合的字
[00:10:26.000 --> 00:10:30.000]  是指道神吹氣
[00:10:30.000 --> 00:10:32.000]  而氣和靈
[00:10:32.000 --> 00:10:35.000]  無論在希伯來文或希臘文來說
[00:10:35.000 --> 00:10:37.000]  都是指道聖靈的
[00:10:37.000 --> 00:10:41.000]  即是說其實全部聖經都是出自於聖靈
[00:10:41.000 --> 00:10:43.000]  是有生命的
[00:10:43.000 --> 00:10:47.000]  是神對人啟示所記載的文字
[00:10:47.000 --> 00:10:50.000]  因為只有聖靈才能解釋到
[00:10:50.000 --> 00:10:53.000]  為何聖經是有統一性
[00:10:53.000 --> 00:10:57.000]  是全部不會矛盾的
[00:10:57.000 --> 00:11:01.000]  所以在言中版更加翻譯到
[00:11:01.000 --> 00:11:06.000]  是全部聖經是受神靈感而寫出的
[00:11:06.000 --> 00:11:08.000]  是受神靈感而寫出的
[00:11:08.000 --> 00:11:11.000]  是受神靈感而寫出的
[00:11:11.000 --> 00:11:13.000]  而橫聖本更加是說到
[00:11:13.000 --> 00:11:19.000]  全部聖經都是出自神的靈
[00:11:19.000 --> 00:11:24.000]  但是和合本那裏
[00:11:24.000 --> 00:11:27.000]  用到默示這個字
[00:11:27.000 --> 00:11:33.000]  其實當然容易使人有些誤會
[00:11:33.000 --> 00:11:36.000]  因為人可能誤會了
[00:11:36.000 --> 00:11:40.000]  它是暗示和默寫
[00:11:40.000 --> 00:11:43.000]  而和合本更加有一行小字
[00:11:43.000 --> 00:11:46.000]  在默示後面說到
[00:11:46.000 --> 00:11:48.000]  或者可以翻譯成為
[00:11:48.000 --> 00:11:53.000]  凡神所默示的聖經
[00:11:53.000 --> 00:11:54.000]  這裏是否說
[00:11:54.000 --> 00:12:00.000]  聖經有些地方不是出自於聖靈呢?
[00:12:00.000 --> 00:12:01.000]  當然不是
[00:12:01.000 --> 00:12:03.000]  因為有些學者說
[00:12:03.000 --> 00:12:06.000]  保羅這樣寫的時候
[00:12:06.000 --> 00:12:08.000]  其實是有他的目的
[00:12:08.000 --> 00:12:09.000]  他就是說
[00:12:09.000 --> 00:12:17.000]  要與當時其他異端的經書有所分別
[00:12:17.000 --> 00:12:23.000]  而彼得更加在彼得後書第一章第21節說到
[00:12:23.000 --> 00:12:27.000]  因為寓言從來沒有出於人意的
[00:12:27.000 --> 00:12:29.000]  乃是人被聖靈感動
[00:12:29.000 --> 00:12:32.000]  說出上帝的話來
[00:12:32.000 --> 00:12:39.000]  感動這個字更加是強調了驅動的意思
[00:12:39.000 --> 00:12:46.000]  就好像風來驅動帆船前進
[00:12:46.000 --> 00:12:48.000]  就是說聖經的作者
[00:12:48.000 --> 00:12:51.000]  也是受到聖靈的驅動
[00:12:51.000 --> 00:12:57.000]  來寫出神的話
[00:12:57.000 --> 00:13:01.000]  其實也有其他學者說到
[00:13:01.000 --> 00:13:03.000]  神聖的經書
[00:13:03.000 --> 00:13:05.000]  因為他是重塑的
[00:13:05.000 --> 00:13:08.000]  就是說他不單止是指舊約的聖經
[00:13:08.000 --> 00:13:13.000]  也包括當時廣受教會所接納
[00:13:13.000 --> 00:13:16.000]  他有仕途權威的書信
[00:13:16.000 --> 00:13:18.000]  保羅的書信
[00:13:18.000 --> 00:13:23.000]  在各地的教會都是被信徒中毒的
[00:13:23.000 --> 00:13:26.000]  所以彼得更是指出
[00:13:26.000 --> 00:13:31.000]  保羅的書信其實也是有聖靈的感動
[00:13:31.000 --> 00:13:37.000]  所以在彼得後書第三章第15到第16節說到
[00:13:37.000 --> 00:13:41.000]  就如我們所親愛的兄弟保羅
[00:13:41.000 --> 00:13:43.000]  照著所賜給他的智慧
[00:13:43.000 --> 00:13:46.000]  寫了信給你們
[00:13:46.000 --> 00:13:51.000]  他一切的信上也都是講論這件事
[00:13:51.000 --> 00:13:54.000]  所以新約的書卷
[00:13:54.000 --> 00:13:59.000]  其實你看到已經慢慢在形成
[00:13:59.000 --> 00:14:02.000]  以及已經被收集了
[00:14:02.000 --> 00:14:06.000]  所以聖經既然這麼寶貴
[00:14:06.000 --> 00:14:11.000]  我們是如何來學習的呢?
[00:14:11.000 --> 00:14:15.000]  聖經雖然當然是對舊恩的問題
[00:14:15.000 --> 00:14:17.000]  有足夠的啟示
[00:14:17.000 --> 00:14:18.000]  但是不要忘記
[00:14:18.000 --> 00:14:22.000]  其實異端也是在讀同一本聖經
[00:14:22.000 --> 00:14:28.000]  就好像這張圖一樣
[00:14:28.000 --> 00:14:31.000]  我的孫子和Judy
[00:14:31.000 --> 00:14:36.000]  經常為了鹿和狗的問題有不同的意見
[00:14:36.000 --> 00:14:38.000]  但是同一段經文
[00:14:38.000 --> 00:14:43.000]  異端也可能是讀出不同的意義
[00:14:43.000 --> 00:14:46.000]  就好像耶和華見證人
[00:14:46.000 --> 00:14:51.000]  他們認為耶穌是一個次等的神
[00:14:51.000 --> 00:14:53.000]  所以根據誰讀
[00:14:53.000 --> 00:14:55.000]  以及根據什麼來解釋
[00:14:55.000 --> 00:14:58.000]  那段聖經其實是很重要的
[00:14:58.000 --> 00:15:01.000]  所以我們現在是有信經的
[00:15:01.000 --> 00:15:06.000]  信經其實是古教父對正統信仰的一個總結
[00:15:06.000 --> 00:15:08.000]  而教父的傳統
[00:15:08.000 --> 00:15:12.000]  是可以追溯到使徒的傳統
[00:15:12.000 --> 00:15:16.000]  所以保羅在第三章第十四節就講到
[00:15:16.000 --> 00:15:20.000]  因為你知道是跟誰學的
[00:15:20.000 --> 00:15:22.000]  誰是眾數
[00:15:22.000 --> 00:15:24.000]  除了保羅之外
[00:15:24.000 --> 00:15:28.000]  提摩泰當然是跟他的母親尤尼基
[00:15:28.000 --> 00:15:33.000]  以及他的外祖母萊爾學習的
[00:15:33.000 --> 00:15:37.000]  在第一章第五節就有講到
[00:15:37.000 --> 00:15:40.000]  根據資料顯示
[00:15:40.000 --> 00:15:42.000]  在第一世紀
[00:15:42.000 --> 00:15:44.000]  猶太的新人
[00:15:44.000 --> 00:15:48.000]  其實他們一歲半開始學說話的時候
[00:15:48.000 --> 00:15:51.000]  就已經進行記憶的訓練
[00:15:51.000 --> 00:15:53.000]  到五歲的時候
[00:15:53.000 --> 00:15:58.000]  小孩子就已經要背讀摩西五經
[00:15:58.000 --> 00:16:00.000]  我們大家知道
[00:16:00.000 --> 00:16:04.000]  每一個人的家裡都不一定有聖經
[00:16:04.000 --> 00:16:08.000]  所以是全靠母親在家裡來口傳
[00:16:08.000 --> 00:16:10.000]  以及來教導
[00:16:10.000 --> 00:16:14.000]  所以針研在第一章第八節講到
[00:16:14.000 --> 00:16:18.000]  多離棄你母親的教誨
[00:16:18.000 --> 00:16:21.000]  家庭對小孩子的宗教教育
[00:16:21.000 --> 00:16:23.000]  其實是非常重視
[00:16:23.000 --> 00:16:26.000]  也是一個非常優良的傳統
[00:16:26.000 --> 00:16:29.000]  而保羅更加不用說
[00:16:29.000 --> 00:16:33.000]  大家都知道他出自於明斯加瑪列的門下
[00:16:33.000 --> 00:16:37.000]  後來更加得到耶穌基督親自的啟示
[00:16:37.000 --> 00:16:40.000]  所以提摩泰其實他所學的
[00:16:40.000 --> 00:16:42.000]  就是最正統的
[00:16:42.000 --> 00:16:45.000]  所以保羅在這裡除了肯定了
[00:16:45.000 --> 00:16:47.000]  聖經的權威的同時
[00:16:47.000 --> 00:16:50.000]  也是督出提摩泰
[00:16:50.000 --> 00:16:53.000]  要他持守他所學的
[00:16:53.000 --> 00:16:58.000]  因為聖經有下面四種的功能
[00:16:58.000 --> 00:17:00.000]  義正義反
[00:17:00.000 --> 00:17:04.000]  第一個就是能夠教導人
[00:17:04.000 --> 00:17:07.000]  使人知道是非
[00:17:07.000 --> 00:17:09.000]  有分辨的能力
[00:17:09.000 --> 00:17:13.000]  更加能夠塑造人的品格
[00:17:13.000 --> 00:17:17.000]  使人更加像耶穌基督
[00:17:17.000 --> 00:17:20.000]  反一方面更加使人知罪
[00:17:20.000 --> 00:17:21.000]  覺悟前非
[00:17:21.000 --> 00:17:24.000]  更加可以糾正人的行為
[00:17:24.000 --> 00:17:27.000]  能夠指出正確的方向
[00:17:27.000 --> 00:17:30.000]  所以人是要謙卑地來到神的面前
[00:17:30.000 --> 00:17:35.000]  才能夠學好上帝的話
[00:17:35.000 --> 00:17:36.000]  講到這裡
[00:17:36.000 --> 00:17:42.000]  我就想起我們中世紀的教父奧古斯丁
[00:17:42.000 --> 00:17:47.000]  他信旨之前其實是放蕩不羈的
[00:17:47.000 --> 00:17:50.000]  他母親經常為他而擔心
[00:17:50.000 --> 00:17:52.000]  常常為他來禱告
[00:17:52.000 --> 00:17:55.000]  在他的懺悔錄裡面
[00:17:55.000 --> 00:18:00.000]  他曾經有一段來描寫他怎樣悔改
[00:18:00.000 --> 00:18:03.000]  話說奧古斯丁有一天
[00:18:03.000 --> 00:18:06.000]  他在花園裡面讀報的時候
[00:18:06.000 --> 00:18:13.000]  正是為著他的墮落而感到困擾的時候
[00:18:13.000 --> 00:18:16.000]  他突然間聽到隔壁屋
[00:18:16.000 --> 00:18:19.000]  有個小孩子來讀書的聲音
[00:18:19.000 --> 00:18:24.000]  他說「拿起來讀」
[00:18:24.000 --> 00:18:26.000]  於是他就醒悟到
[00:18:26.000 --> 00:18:28.000]  他就立即回到家裡
[00:18:28.000 --> 00:18:31.000]  把聖經拿出來讀
[00:18:31.000 --> 00:18:36.000]  當他讀到羅馬書第十三章第十三節的時候
[00:18:36.000 --> 00:18:38.000]  那裡是講到什麼呢?
[00:18:38.000 --> 00:18:41.000]  是說「不可謊言醉酒
[00:18:41.000 --> 00:18:43.000]  不可好色邪道
[00:18:43.000 --> 00:18:45.000]  不可憎敬忌疾
[00:18:45.000 --> 00:18:48.000]  總要披戴主耶穌基督」
[00:18:48.000 --> 00:18:51.000]  神這段話感動了他
[00:18:51.000 --> 00:18:53.000]  使他能夠悔改
[00:18:53.000 --> 00:18:55.000]  跪向主
[00:18:55.000 --> 00:19:00.000]  並且在第二天來受洗
[00:19:00.000 --> 00:19:02.000]  這張圖就講到
[00:19:02.000 --> 00:19:07.000]  有關於他當日悔改的情況
[00:19:07.000 --> 00:19:11.000]  他母親也是在他旁邊
[00:19:11.000 --> 00:19:17.000]  所以以賽亞書第十五章第十一節就講到
[00:19:17.000 --> 00:19:21.000]  「我口所出的話也必如此
[00:19:21.000 --> 00:19:23.000]  決不徒然返回
[00:19:23.000 --> 00:19:25.000]  卻要成就我所喜悅的
[00:19:25.000 --> 00:19:30.000]  為我發他去成就的事上必然亨通」
[00:19:30.000 --> 00:19:33.000]  其實真正使人悔改的
[00:19:33.000 --> 00:19:35.000]  就是神的話
[00:19:35.000 --> 00:19:39.000]  以及神對人赦免的應許
[00:19:39.000 --> 00:19:42.000]  神的話一定會成就的
[00:19:42.000 --> 00:19:48.000]  因為有聖靈在人的心裡動功
[00:19:48.000 --> 00:19:49.000]  好了
[00:19:49.000 --> 00:19:55.000]  聖經除了在消極方面能夠使人歸主
[00:19:55.000 --> 00:19:58.000]  其實在積極的方面
[00:19:58.000 --> 00:20:00.000]  是有另外一個意思的
[00:20:00.000 --> 00:20:04.000]  正如第十七節那裡講到
[00:20:04.000 --> 00:20:07.000]  叫屬神的人得以完全
[00:20:07.000 --> 00:20:11.000]  能夠預備行各樣的善事
[00:20:11.000 --> 00:20:14.000]  就是說聖經能夠裝備信徒
[00:20:14.000 --> 00:20:17.000]  使信徒能夠完全勝任
[00:20:17.000 --> 00:20:19.000]  神所要求的資格
[00:20:19.000 --> 00:20:23.000]  來實踐各樣美善的事物
[00:20:23.000 --> 00:20:25.000]  來榮神益人
[00:20:25.000 --> 00:20:29.000]  當然包括在危難的時候
[00:20:29.000 --> 00:20:31.000]  如何能夠去面對困難
[00:20:31.000 --> 00:20:33.000]  來做好見證
[00:20:33.000 --> 00:20:35.000]  以及傳揚福音
[00:20:35.000 --> 00:20:37.000]  講到傳揚福音的時候
[00:20:37.000 --> 00:20:39.000]  我常常都會聽到
[00:20:39.000 --> 00:20:40.000]  有些弟兄姊妹說
[00:20:40.000 --> 00:20:42.000]  「我都未裝備好」
[00:20:42.000 --> 00:20:45.000]  「等我裝備好了我才去傳」
[00:20:45.000 --> 00:20:50.000]  其實裝備和傳福音是可以並行的
[00:20:50.000 --> 00:20:53.000]  因為裝備是為了更好的侍奉
[00:20:53.000 --> 00:20:58.000]  而侍奉也是為了更好的裝備
[00:20:58.000 --> 00:21:01.000]  況且大家應該明白
[00:21:01.000 --> 00:21:03.000]  神的話和神的靈
[00:21:03.000 --> 00:21:06.000]  才是感動人的那一位
[00:21:06.000 --> 00:21:07.000]  侍奉的人
[00:21:07.000 --> 00:21:08.000]  傳福音的人
[00:21:08.000 --> 00:21:11.000]  只不過是神手中的器皿
[00:21:11.000 --> 00:21:13.000]  所以講到這裡的時候
[00:21:13.000 --> 00:21:15.000]  保羅在四章第一至五節
[00:21:15.000 --> 00:21:19.000]  繼續講有關傳福音的事情
[00:21:19.000 --> 00:21:21.000]  他在這裡很嚴肅地
[00:21:21.000 --> 00:21:23.000]  吩咐提摩台
[00:21:23.000 --> 00:21:25.000]  「在神面前
[00:21:25.000 --> 00:21:29.000]  憑他顯現和他角度吩咐你」
[00:21:29.000 --> 00:21:32.000]  這裡其實是根據神
[00:21:32.000 --> 00:21:35.000]  和主耶穌基督的權柄
[00:21:35.000 --> 00:21:38.000]  很鄭重地吩咐提摩台
[00:21:38.000 --> 00:21:40.000]  因為一個侍奉者
[00:21:40.000 --> 00:21:44.000]  以後他在主再來的時候
[00:21:44.000 --> 00:21:50.000]  要在主的審判桌前來交帳
[00:21:50.000 --> 00:21:54.000]  侍奉者首要的任務又是什麼呢?
[00:21:54.000 --> 00:21:56.000]  在第二節
[00:21:56.000 --> 00:21:59.000]  他當然講到「務要傳道」
[00:21:59.000 --> 00:22:01.000]  無論得時不得時
[00:22:01.000 --> 00:22:03.000]  其實這是一個命令語
[00:22:03.000 --> 00:22:06.000]  無論時機是否成熟
[00:22:06.000 --> 00:22:10.000]  侍奉的人都不應該怕艱難
[00:22:10.000 --> 00:22:12.000]  一定要傳道
[00:22:12.000 --> 00:22:15.000]  拯救人的靈魂
[00:22:15.000 --> 00:22:17.000]  其實是有迫切性的
[00:22:17.000 --> 00:22:20.000]  也是愛人的一個表現
[00:22:20.000 --> 00:22:24.000]  我們看看保羅的生命裡面
[00:22:24.000 --> 00:22:29.000]  他在哥林多前書第九章第十六節講到
[00:22:29.000 --> 00:22:31.000]  「我是不得已的」
[00:22:31.000 --> 00:22:33.000]  即是傳道對他來說
[00:22:33.000 --> 00:22:35.000]  他是沒有選擇的
[00:22:35.000 --> 00:22:37.000]  傳道對他來說
[00:22:37.000 --> 00:22:41.000]  是神對他們的一個祝福
[00:22:41.000 --> 00:22:43.000]  所以接下來
[00:22:43.000 --> 00:22:46.000]  保羅就跟提摩台講到
[00:22:46.000 --> 00:22:48.000]  有關於傳道的心態
[00:22:48.000 --> 00:22:50.000]  應該是怎樣的
[00:22:50.000 --> 00:22:52.000]  首先
[00:22:52.000 --> 00:22:55.000]  傳道的人一定要用百般的忍耐
[00:22:55.000 --> 00:22:57.000]  即是要有耐心
[00:22:57.000 --> 00:22:59.000]  肯花點時間
[00:22:59.000 --> 00:23:04.000]  還有很溫柔的態度
[00:23:04.000 --> 00:23:07.000]  去跟別人講
[00:23:07.000 --> 00:23:09.000]  更加要專心
[00:23:09.000 --> 00:23:12.000]  要專心其實是講到甚麼呢?
[00:23:12.000 --> 00:23:14.000]  是講到傳道的人
[00:23:14.000 --> 00:23:18.000]  一定是需要恩勤來研讀
[00:23:18.000 --> 00:23:21.000]  來查考聖經
[00:23:21.000 --> 00:23:24.000]  因為不斷來充實你自己
[00:23:24.000 --> 00:23:26.000]  你對聖經有所認識
[00:23:26.000 --> 00:23:28.000]  才可以的
[00:23:28.000 --> 00:23:31.000]  我們都知道聖經是很博大精深的
[00:23:31.000 --> 00:23:33.000]  人是需要花很多時間
[00:23:33.000 --> 00:23:35.000]  來做這個準備
