
[00:00:00.000 --> 00:00:03.000]  今日我的講道題目是分真電假
[00:03:45.000 --> 00:03:47.000]  有另外的一個譯本
[00:03:47.000 --> 00:03:49.000]  比和合本更好的
[00:03:49.000 --> 00:03:51.000]  這個譯本就是《聖經新譯本》
[00:03:51.000 --> 00:03:53.000]  我們一起來讀
[00:03:53.000 --> 00:03:55.000]  「你們要謹慎
[00:03:55.000 --> 00:03:58.000]  免得有人不照著基督
[00:03:58.000 --> 00:04:03.000]  而照著人的傳統和世俗的言論
[00:04:03.000 --> 00:04:06.000]  藉著哲學和騙人的空談
[00:04:06.000 --> 00:04:08.000]  把你們擄去」
[00:04:08.000 --> 00:04:11.000]  在這裡保羅形容這些異端
[00:04:11.000 --> 00:04:14.000]  是哲學 是騙人的空談
[00:04:14.000 --> 00:04:17.000]  騙人的空談在和合本
[00:04:17.000 --> 00:04:19.000]  是譯作虛空的妄言
[00:04:19.000 --> 00:04:22.000]  意思就是指一些虛無飄渺的
[00:04:22.000 --> 00:04:24.000]  虛妄的言論
[00:04:24.000 --> 00:04:26.000]  而哲學呢?
[00:04:26.000 --> 00:04:28.000]  哲學又是什麼呢?
[00:04:28.000 --> 00:04:29.000]  大家知不知道哲學是什麼?
[00:04:29.000 --> 00:04:31.000]  其實我們每個人都有自己的哲學
[00:04:31.000 --> 00:04:32.000]  我們經常講哲學
[00:04:32.000 --> 00:04:34.000]  到底哲學是什麼呢?
[00:04:34.000 --> 00:04:37.000]  我們在網上
[00:04:37.000 --> 00:04:39.000]  或者我們看看這個字
[00:04:39.000 --> 00:04:42.000]  哲學原來在希臘文原文
[00:04:42.000 --> 00:04:45.000]  就是Philosophia
[00:04:45.000 --> 00:04:47.000]  而英文Philosophy
[00:04:47.000 --> 00:04:50.000]  其實也是這個字
[00:04:50.000 --> 00:04:52.000]  中文就是哲學
[00:04:52.000 --> 00:04:54.000]  哲學到底是什麼呢?
[00:04:54.000 --> 00:04:56.000]  我在網上維基百科
[00:04:56.000 --> 00:04:58.000]  找到這個定義
[00:04:58.000 --> 00:05:02.000]  哲學就是對普遍而基本的問題的研究
[00:05:02.000 --> 00:05:04.000]  在日常用語裡
[00:05:04.000 --> 00:05:06.000]  哲學這個字可以引申為
[00:05:06.000 --> 00:05:10.000]  個人或者團體最基本的
[00:05:10.000 --> 00:05:13.000]  信仰、概念和態度
[00:05:13.000 --> 00:05:14.000]  剛才我說
[00:05:14.000 --> 00:05:16.000]  其實我們每個人都有自己的哲學
[00:05:16.000 --> 00:05:18.000]  不單止我們人有自己的哲學
[00:05:18.000 --> 00:05:21.000]  其實每個學科都有他們的哲學
[00:05:21.000 --> 00:05:23.000]  教育有教學哲學
[00:05:23.000 --> 00:05:26.000]  藝術也有藝術的哲學
[00:05:26.000 --> 00:05:29.000]  哲學其實是問三個問題
[00:05:29.000 --> 00:05:33.000]  英文就是What、Why和How
[00:05:33.000 --> 00:05:35.000]  人是怎麼來的呢?
[00:05:35.000 --> 00:05:36.000]  人是什麼呢?
[00:05:36.000 --> 00:05:39.000]  為什麼人要存在這個世上呢?
[00:05:39.000 --> 00:05:41.000]  人可以怎樣活得更好呢?
[00:05:41.000 --> 00:05:45.000]  這些就是哲學家所問的問題
[00:05:45.000 --> 00:05:47.000]  而這些哲學
[00:05:47.000 --> 00:05:51.000]  其實保羅不是否定所有人間的哲學
[00:05:51.000 --> 00:05:53.000]  他否定的是什麼呢?
[00:05:53.000 --> 00:05:55.000]  他所關注的是什麼呢?
[00:05:55.000 --> 00:05:57.000]  他所關心的就是
[00:05:57.000 --> 00:06:02.000]  這些哲學或者那些虛妄的言論
[00:06:02.000 --> 00:06:06.000]  他們是來自人的傳統和世俗的言論
[00:06:06.000 --> 00:06:07.000]  而不是來自神的
[00:06:07.000 --> 00:06:08.000]  換句話說
[00:06:08.000 --> 00:06:10.000]  當這些人的說話
[00:06:10.000 --> 00:06:12.000]  這些言論
[00:06:12.000 --> 00:06:14.000]  和我們的信仰
[00:06:14.000 --> 00:06:16.000]  和聖經的說話有違背的時候
[00:06:16.000 --> 00:06:19.000]  我們就要小心謹慎
[00:06:19.000 --> 00:06:24.000]  我們不要受它來迷惑
[00:06:24.000 --> 00:06:29.000]  其實哥羅西是一個很特別的城市
[00:06:29.000 --> 00:06:32.000]  在這個城市中間有一條河
[00:06:32.000 --> 00:06:34.000]  這條河叫利加斯
[00:06:34.000 --> 00:06:37.000]  這條河將這個城市一分為二
[00:06:37.000 --> 00:06:40.000]  而這條河的河水裏面
[00:06:40.000 --> 00:06:42.000]  也有豐富的礦物質
[00:06:42.000 --> 00:06:46.000]  這些礦物質影響到農作物的收成
[00:06:46.000 --> 00:06:52.000]  而這個地方也經常有地震和火山爆發
[00:06:52.000 --> 00:06:55.000]  所以那裏是有一定的危險的
[00:06:55.000 --> 00:06:57.000]  不過在這個城市裏面
[00:06:57.000 --> 00:07:01.000]  那些沒有被河水覆蓋的土地
[00:07:01.000 --> 00:07:03.000]  是非常肥沃
[00:07:03.000 --> 00:07:09.000]  所以也造就了這個畜牧業有很好的發展
[00:07:09.000 --> 00:07:13.000]  同時因為這裏一帶有很多火山
[00:07:13.000 --> 00:07:15.000]  和有地震的緣故
[00:07:15.000 --> 00:07:18.000]  這裏也有很多的溫泉
[00:07:18.000 --> 00:07:20.000]  而這些溫泉的泉水
[00:07:20.000 --> 00:07:22.000]  也有治病的功能
[00:07:22.000 --> 00:07:26.000]  所以各地也有很多人來到哥羅西這個地方
[00:07:26.000 --> 00:07:28.000]  基於哥羅西這個地方
[00:07:28.000 --> 00:07:31.000]  有這麼特別的地理背景
[00:07:31.000 --> 00:07:34.000]  所以也特別多迷信的思想
[00:07:34.000 --> 00:07:38.000]  而哥羅西教會當時置身其中
[00:07:38.000 --> 00:07:44.000]  就是面對著這麼多混雜的思想來衝擊著
[00:07:44.000 --> 00:07:49.000]  香港其實也是一個先進的國際都市
[00:07:49.000 --> 00:07:54.000]  我們每一天都面對著日新月異的信仰和思想的衝擊
[00:07:54.000 --> 00:08:04.000]  舉例今年的七月評姬會推出了歧視條例檢討公眾諮詢文件
[00:08:04.000 --> 00:08:10.000]  在這個文件裏面提出了一個事實婚姻制度
[00:08:10.000 --> 00:08:16.000]  這個制度其實是建議將同居關係
[00:08:16.000 --> 00:08:21.000]  這個同居關係是包括同性戀的同居和異性的同居
[00:08:21.000 --> 00:08:25.000]  他們提倡這個同居關係
[00:08:25.000 --> 00:08:28.000]  也能夠和婚姻關係
[00:08:28.000 --> 00:08:30.000]  即註冊的婚姻關係
[00:08:30.000 --> 00:08:32.000]  有同等的權利
[00:08:32.000 --> 00:08:35.000]  享受同等的福利和認可
[00:08:35.000 --> 00:08:37.000]  換句話說
[00:08:37.000 --> 00:08:44.000]  現在一男一女在婚姻註冊處註冊
[00:08:44.000 --> 00:08:46.000]  成為正式的夫婦
[00:08:46.000 --> 00:08:49.000]  他們就可以申請公屋
[00:08:49.000 --> 00:08:52.000]  可以領養小朋友
[00:08:52.000 --> 00:08:57.000]  但是如果這個事實婚姻制度已經通過的時候
[00:08:57.000 --> 00:09:01.000]  即是說只要你證明你們兩個人是同居的
[00:09:01.000 --> 00:09:03.000]  同居一段時間
[00:09:03.000 --> 00:09:05.000]  你們的關係就被認可
[00:09:05.000 --> 00:09:11.000]  你就可以享有剛才我所說的權利
[00:09:11.000 --> 00:09:14.000]  贊成這個建議的人就認為
[00:09:14.000 --> 00:09:19.000]  婚姻所謂註冊只是一紙婚書
[00:09:19.000 --> 00:09:23.000]  對於兩個人的關係其實是沒有實際重要的作用
[00:09:23.000 --> 00:09:27.000]  兩個人在一起真心相愛
[00:09:27.000 --> 00:09:29.000]  這個才是最重要
[00:09:29.000 --> 00:09:33.000]  所以同居的人不應該受到歧視
[00:09:33.000 --> 00:09:37.000]  應該享有一般人的權利
[00:09:37.000 --> 00:09:39.000]  而同居
[00:09:39.000 --> 00:09:42.000]  無論是同居還是同性戀
[00:09:42.000 --> 00:09:44.000]  其實都是兩個人的事
[00:09:44.000 --> 00:09:46.000]  他們兩個人情投意合
[00:09:46.000 --> 00:09:48.000]  跟其他人沒有關係
[00:09:48.000 --> 00:09:50.000]  也不應該受到歧視
[00:09:50.000 --> 00:09:55.000]  況且同居和同性戀
[00:09:55.000 --> 00:09:59.000]  其實在很多先進國家已經被認同
[00:09:59.000 --> 00:10:01.000]  這是大勢所趨
[00:10:01.000 --> 00:10:03.000]  香港也是一個大都市
[00:10:03.000 --> 00:10:04.000]  不應該落伍的
[00:10:04.000 --> 00:10:06.000]  應該去效法
[00:10:06.000 --> 00:10:09.000]  這些就是支持者的言論
[00:10:09.000 --> 00:10:12.000]  面對這些言論
[00:10:12.000 --> 00:10:15.000]  你的立場又是怎樣呢?
[00:10:15.000 --> 00:10:17.000]  你贊成還是不贊成呢?
[00:10:17.000 --> 00:10:23.000]  而你的立場背後又是基於什麼原則呢?
[00:10:23.000 --> 00:10:25.000]  剛才我所說的是
[00:10:25.000 --> 00:10:32.000]  保羅的意思絕對不是反對人間一切的思想哲學
[00:10:32.000 --> 00:10:35.000]  他是要我們小心去分辨
[00:10:35.000 --> 00:10:39.000]  到底這些哲學或信念思想
[00:10:39.000 --> 00:10:44.000]  到底跟我們的聖經有沒有相違背呢?
[00:10:44.000 --> 00:10:45.000]  換句話說
[00:10:45.000 --> 00:10:47.000]  我們去分辨我們的立場的時候
[00:10:47.000 --> 00:10:49.000]  我們就要了解
[00:10:49.000 --> 00:10:53.000]  到底這些思想合不合乎聖經
[00:10:53.000 --> 00:10:55.000]  然後我們去作出決定
[00:10:55.000 --> 00:10:57.000]  在這個諮詢文件裏面
[00:10:57.000 --> 00:11:00.000]  他所提出的人人都要平等
[00:11:00.000 --> 00:11:02.000]  不受歧視
[00:11:02.000 --> 00:11:06.000]  這些其實跟我們的聖經都很吻合
[00:11:06.000 --> 00:11:07.000]  我們生而為人
[00:11:07.000 --> 00:11:09.000]  我們每個人都是上帝所創造的
[00:11:09.000 --> 00:11:11.000]  有尊貴的身份
[00:11:11.000 --> 00:11:12.000]  我們是平等
[00:11:12.000 --> 00:11:15.000]  也不應該歧視
[00:11:15.000 --> 00:11:17.000]  這個觀念是正確
[00:11:17.000 --> 00:11:18.000]  我們可以去支持
[00:11:18.000 --> 00:11:20.000]  不過呢
[00:11:20.000 --> 00:11:22.000]  如果我們接納同居
[00:11:22.000 --> 00:11:24.000]  和同性戀的話
[00:11:24.000 --> 00:11:29.000]  無形中就是破壞了上帝所設立的
[00:11:29.000 --> 00:11:32.000]  一男一女一夫一妻的婚姻制度
[00:11:32.000 --> 00:11:35.000]  這個是神不喜悅
[00:11:35.000 --> 00:11:37.000]  不合乎神的心意
[00:11:37.000 --> 00:11:38.000]  還有就是
[00:11:38.000 --> 00:11:42.000]  破壞了婚姻關係所帶來的後果
[00:11:42.000 --> 00:11:46.000]  就會造成更多的破碎家庭
[00:11:46.000 --> 00:11:52.000]  也會有更多的下一代來受苦
[00:11:52.000 --> 00:11:55.000]  這個也不是神所喜悅的
[00:11:55.000 --> 00:11:57.000]  因此我們作為基督徒
[00:11:57.000 --> 00:12:03.000]  我們也不認同事實婚姻的制度
[00:12:03.000 --> 00:12:06.000]  其實剛才所說的只是其中一個例子
[00:12:06.000 --> 00:12:08.000]  關於婚姻觀念
[00:12:08.000 --> 00:12:11.000]  這個只是其中一個例子
[00:12:11.000 --> 00:12:13.000]  其中一個衝擊
[00:12:13.000 --> 00:12:14.000]  而我們也可以預期
[00:12:14.000 --> 00:12:19.000]  這個衝擊會越來越嚴峻
[00:12:19.000 --> 00:12:21.000]  在這個不信的世代
[00:12:21.000 --> 00:12:27.000]  其實真正擁抱聖經的只是小眾
[00:12:27.000 --> 00:12:29.000]  我們需要有心理準備
[00:12:29.000 --> 00:12:33.000]  這一場是一場持久戰
[00:12:33.000 --> 00:12:35.000]  我們也要小心
[00:12:35.000 --> 00:12:37.000]  不要被人誤導
[00:12:37.000 --> 00:12:41.000]  隨波逐流
[00:12:41.000 --> 00:12:44.000]  哥羅西教會所面對的異端
[00:12:44.000 --> 00:12:45.000]  第一個特點
[00:12:45.000 --> 00:12:48.000]  就是他們是出於仁義
[00:12:48.000 --> 00:12:54.000]  這個特點也引伸到第二個特點
[00:12:54.000 --> 00:12:57.000]  就是貶低基督
[00:12:57.000 --> 00:13:00.000]  其實這是很自然的
[00:13:00.000 --> 00:13:04.000]  當這些異端出於仁義的時候
[00:13:04.000 --> 00:13:06.000]  自然他們會抬舉人的意思
[00:13:06.000 --> 00:13:10.000]  就會貶低真神
[00:13:10.000 --> 00:13:12.000]  在保羅的陳述裡
[00:13:12.000 --> 00:13:15.000]  我們可以看到這些異端
[00:13:15.000 --> 00:13:18.000]  認同基督是有尊貴的身份
[00:13:18.000 --> 00:13:20.000]  有尊貴的地位
[00:13:20.000 --> 00:13:23.000]  不過他們也認為
[00:13:23.000 --> 00:13:26.000]  基督只是一個受造物
[00:13:26.000 --> 00:13:29.000]  它是被創造出來的
[00:13:29.000 --> 00:13:34.000]  祂只是眾多被造物裡的其中之一
[00:13:34.000 --> 00:13:38.000]  所以保羅在這兩節經文裡
[00:13:38.000 --> 00:13:39.000]  我們一起讀
[00:13:39.000 --> 00:13:43.000]  因為神本性一切的豐盛
[00:13:43.000 --> 00:13:47.000]  都有形有體地居住在基督裡面
[00:13:47.000 --> 00:13:51.000]  你們在祂裡面也得了豐盛
[00:13:51.000 --> 00:13:56.000]  祂是各樣執政掌權者的元首
[00:13:56.000 --> 00:13:59.000]  這裡凸顯了基督兩個特點
[00:13:59.000 --> 00:14:01.000]  第一個特點就是
[00:14:01.000 --> 00:14:06.000]  基督是將這位本來我們看不見的神
[00:14:06.000 --> 00:14:10.000]  有形有體地顯露出來
[00:14:10.000 --> 00:14:15.000]  而祂是將神的本性完完全全地顯露
[00:14:15.000 --> 00:14:16.000]  換句話說
[00:14:16.000 --> 00:14:20.000]  基督就是這個完完全全的神
[00:14:20.000 --> 00:14:26.000]  祂就是神在地上有形有體的存在
[00:14:26.000 --> 00:14:28.000]  第二個特點就是
[00:14:28.000 --> 00:14:32.000]  基督是一切執政掌權者的元首
[00:14:32.000 --> 00:14:36.000]  這些執政掌權者可以是地上的
[00:14:36.000 --> 00:14:38.000]  對於異端來說
[00:14:38.000 --> 00:14:41.000]  他們也認為在人之上
[00:14:41.000 --> 00:14:45.000]  還有很多所謂空中的掌權者
[00:14:45.000 --> 00:14:47.000]  保羅當他這樣說的時候
[00:14:47.000 --> 00:14:51.000]  不等於他認同有所謂的空中掌權者
[00:14:51.000 --> 00:14:54.000]  他只是說即使有
[00:14:54.000 --> 00:14:57.000]  基督也在他們之上
[00:14:57.000 --> 00:15:02.000]  萬物都要服膺在祂的權下
[00:15:02.000 --> 00:15:04.000]  祂才是那位真正的元首
[00:15:04.000 --> 00:15:07.000]  真正的掌權者
[00:15:07.000 --> 00:15:09.000]  其實這個觀點
[00:15:09.000 --> 00:15:13.000]  保羅在《哥羅西書》第一章也曾經說過
[00:15:13.000 --> 00:15:15.000]  而且也說得很清楚
[00:15:15.000 --> 00:15:17.000]  這兩節經文也是前兩次
[00:15:17.000 --> 00:15:22.000]  陳崇亮傳道和我們正道的時候所解釋過的
[00:15:22.000 --> 00:15:23.000]  我們一起來讀
[00:15:23.000 --> 00:15:28.000]  「愛子是那不能看見之神的像
[00:15:28.000 --> 00:15:32.000]  是守生的在一切被做的以先
[00:15:32.000 --> 00:15:36.000]  因為萬有都是靠他做的
[00:15:36.000 --> 00:15:39.000]  無論是天上的、地上的
[00:15:39.000 --> 00:15:42.000]  能看見的、不能看見的
[00:15:42.000 --> 00:15:48.000]  或是有為的、主治的、執政的、掌權的
[00:15:48.000 --> 00:15:51.000]  一概都是藉著他做的
[00:15:51.000 --> 00:15:53.000]  又是為他做的」
[00:15:53.000 --> 00:15:55.000]  這裡所說的守生
[00:15:55.000 --> 00:15:57.000]  不是指時間的先後次序
[00:15:57.000 --> 00:16:00.000]  不是說上帝讓我們出生先
[00:16:00.000 --> 00:16:02.000]  他是我們的大哥
[00:16:02.000 --> 00:16:03.000]  不是這個意思
[00:16:03.000 --> 00:16:08.000]  而是指萬物還未被造成的時候
[00:16:08.000 --> 00:16:11.000]  基督就已經存在
[00:16:11.000 --> 00:16:15.000]  萬物是因祂來被造
[00:16:15.000 --> 00:16:18.000]  也是為了祂來被造而成
[00:16:18.000 --> 00:16:23.000]  所以基督不單不是受造之物
[00:16:23.000 --> 00:16:25.000]  更加是萬物的源頭
[00:16:25.000 --> 00:16:27.000]  說到源頭
[00:16:27.000 --> 00:16:29.000]  說明源頭只有一個
[00:16:29.000 --> 00:16:34.000]  所以基督是獨一、唯一的源頭
[00:16:34.000 --> 00:16:38.000]  他絕對不是滿天神佛裡的其中之一
[00:16:38.000 --> 00:16:43.000]  其實今天我們不難在身邊發現
[00:16:43.000 --> 00:16:46.000]  有類似的似是而非的道理
[00:16:46.000 --> 00:16:50.000]  例如我們經常聽見人說
[00:16:50.000 --> 00:16:54.000]  宗教都是導人向善
[00:16:54.000 --> 00:16:58.000]  我們信誰都不要緊
[00:16:58.000 --> 00:17:00.000]  條條大路通羅馬
[00:17:00.000 --> 00:17:01.000]  你們有沒有聽過?
[00:17:01.000 --> 00:17:03.000]  有沒有人這樣跟你說過?
[00:17:03.000 --> 00:17:05.000]  宗教都是導人向善
[00:17:05.000 --> 00:17:08.000]  還有一些宗教更加是打正旗號
[00:17:08.000 --> 00:17:10.000]  宣揚這個道理
[00:17:10.000 --> 00:17:13.000]  其中一個就是一貫道
[00:17:13.000 --> 00:17:15.000]  有沒有聽過?
[00:17:15.000 --> 00:17:17.000]  一貫道還有另一個名字
[00:17:17.000 --> 00:17:19.000]  就是天道五教
[00:17:19.000 --> 00:17:25.000]  他們主張宇宙真理雖然只有一個
[00:17:25.000 --> 00:17:28.000]  但可以經由各種形式
[00:17:28.000 --> 00:17:34.000]  依照各地的風俗、傳統、文情來顯現出來
[00:17:34.000 --> 00:17:37.000]  所以世界上有五大宗教
[00:17:37.000 --> 00:17:39.000]  這五大宗教就是
[00:17:39.000 --> 00:17:42.000]  儒、釋、道、耶、會
[00:17:42.000 --> 00:17:44.000]  儒是什麼?儒家
[00:17:44.000 --> 00:17:47.000]  釋呢?佛家
[00:17:47.000 --> 00:17:48.000]  道就是道家
[00:17:48.000 --> 00:17:51.000]  耶是什麼?耶穌就是基督教
[00:17:51.000 --> 00:17:53.000]  會就是會教
[00:17:53.000 --> 00:17:58.000]  這五大宗教分別在世界各地展現真理
[00:17:58.000 --> 00:18:00.000]  教化人心
[00:18:00.000 --> 00:18:02.000]  他們的宗旨都是一個
[00:18:02.000 --> 00:18:06.000]  就是導人向善
[00:18:06.000 --> 00:18:09.000]  這些道理他們不是否定基督
[00:18:09.000 --> 00:18:12.000]  他們不是否定我們所信的神
[00:18:12.000 --> 00:18:17.000]  他們認為基督只是眾多神裡面的其中之一
[00:18:17.000 --> 00:18:22.000]  他的救贖是將人的道德水平提升
[00:18:22.000 --> 00:18:25.000]  使人能夠成為做到好人
[00:18:25.000 --> 00:18:29.000]  這個說法表面上是接納包容基督教
[00:18:29.000 --> 00:18:32.000]  但實際上是將我們所信的獨一真神
[00:18:32.000 --> 00:18:35.000]  那位創造天地萬物的神
[00:18:35.000 --> 00:18:38.000]  貶低成為被造之物
[00:18:38.000 --> 00:18:44.000]  成為一個只是教導人向善的老師
[00:18:44.000 --> 00:18:45.000]  所以其實很厲害
[00:18:45.000 --> 00:18:48.000]  天道五教不是否定耶穌
[00:18:48.000 --> 00:18:52.000]  他也包含了
[00:18:52.000 --> 00:18:54.000]  其實信耶穌真正的目的
[00:18:54.000 --> 00:18:58.000]  不是為了向善
[00:18:58.000 --> 00:19:02.000]  其實無論怎樣我們去導人
[00:19:02.000 --> 00:19:06.000]  都沒有辦法導人向善
[00:19:06.000 --> 00:19:10.000]  連三歲的小朋友都會心中有詭詐
[00:19:10.000 --> 00:19:13.000]  而我們回望我們一生的時候
[00:19:13.000 --> 00:19:15.000]  即使我們信了耶穌
[00:19:15.000 --> 00:19:18.000]  我們每天都可能犯很多的罪
[00:19:18.000 --> 00:19:20.000]  我們不到死那天
[00:19:20.000 --> 00:19:22.000]  蓋棺定論
[00:19:22.000 --> 00:19:27.000]  我們都不知道我們會繼續犯多少的罪
[00:19:27.000 --> 00:19:30.000]  我記得在我二十多歲的時候
[00:19:30.000 --> 00:19:33.000]  數著數著已經很久了
[00:19:33.000 --> 00:19:35.000]  我有一位同事結婚
[00:19:35.000 --> 00:19:37.000]  我做姐妹
[00:19:37.000 --> 00:19:40.000]  做姐妹當然要扮得漂亮一點
[00:19:40.000 --> 00:19:45.000]  新郎哥問朋友借了一輛私家車
[00:19:45.000 --> 00:19:48.000]  很漂亮的私家車做姐妹車
[00:19:48.000 --> 00:19:50.000]  我在開車門的時候
[00:19:50.000 --> 00:19:53.000]  不小心開花了別人的漂亮車的車門
[00:19:53.000 --> 00:19:57.000]  我當時不知道怎算好
[00:19:57.000 --> 00:20:00.000]  唯有當若無其事
[00:20:00.000 --> 00:20:03.000]  不知道發生什麼事
[00:20:03.000 --> 00:20:06.000]  但其實當時也有其他人在場
[00:20:06.000 --> 00:20:09.000]  我相信新郎哥事後都知道
[00:20:09.000 --> 00:20:14.000]  這件事令我一直耿耿於懷
[00:20:14.000 --> 00:20:16.000]  我耿耿於懷的是
[00:20:16.000 --> 00:20:20.000]  我當時連說一句對不起的勇氣都沒有
[00:20:20.000 --> 00:20:23.000]  我為了這件事都很不安樂
[00:20:23.000 --> 00:20:25.000]  我們做錯事的時候
[00:20:25.000 --> 00:20:29.000]  連我們自己都不能夠放過自己
[00:20:29.000 --> 00:20:31.000]  何況那位天上的神
[00:20:31.000 --> 00:20:33.000]  那位審判的神
[00:20:33.000 --> 00:20:36.000]  祂更加不會視若無睹
[00:20:36.000 --> 00:20:39.000]  而耶穌所做的就是
[00:20:39.000 --> 00:20:44.000]  祂不僅教我們怎樣做好人
[00:20:44.000 --> 00:20:48.000]  而是親自為我們釘在十字架上
[00:20:48.000 --> 00:20:52.000]  為我們的罪去承擔那個罪債
[00:20:52.000 --> 00:20:54.000]  承擔那個後果
[00:20:54.000 --> 00:20:57.000]  叫每一個向祂承認罪
[00:20:57.000 --> 00:21:00.000]  向祂認罪願意悔改的人
