
[00:00:00.000 --> 00:00:09.000]  好,今天我們來到大使命經文的最後一部分
[00:02:53.000 --> 00:02:55.000]  為什麼我可以這樣說呢
[00:02:55.000 --> 00:02:59.000]  因為有些人為世的原因
[00:02:59.000 --> 00:03:01.000]  遇過很多不同的經歷
[00:03:01.000 --> 00:03:04.000]  可能他會覺得將自己盡量的隱藏
[00:03:04.000 --> 00:03:07.000]  表現出深藏不露的情況
[00:03:07.000 --> 00:03:10.000]  這樣是一種對於自己最好的保護
[00:03:10.000 --> 00:03:12.000]  但是另一種情況就是
[00:03:12.000 --> 00:03:14.000]  有些人務求在這個世界裡面
[00:03:14.000 --> 00:03:16.000]  有這麼突出,有這麼突出
[00:03:16.000 --> 00:03:20.000]  希望自己能夠可以學立雞群
[00:03:20.000 --> 00:03:24.000]  並且在他們的說話、說話的過程當中
[00:03:24.000 --> 00:03:27.000]  可以說如果做不到
[00:03:27.000 --> 00:03:30.000]  語不驚人就誓不休的這種態度
[00:03:30.000 --> 00:03:33.000]  這種惹人關注的處世之道
[00:03:33.000 --> 00:03:38.000]  也是很多人的一種心理狀態
[00:03:38.000 --> 00:03:42.000]  但是最讓人驚訝的一件事情是什麼呢
[00:03:42.000 --> 00:03:45.000]  無論你是深藏不露的做法也好
[00:03:45.000 --> 00:03:48.000]  還是你是一種很高調的
[00:03:48.000 --> 00:03:51.000]  將自己抬高也好
[00:03:51.000 --> 00:03:55.000]  其實無非人都是一種期望
[00:03:55.000 --> 00:03:58.000]  在一種突圍的情況之下
[00:03:58.000 --> 00:04:00.000]  可以讓人去看見
[00:04:00.000 --> 00:04:03.000]  你是與別不同的
[00:04:03.000 --> 00:04:07.000]  這種思維其實也都反映了
[00:04:07.000 --> 00:04:10.000]  在我這麼多年觀察在教會裡面
[00:04:10.000 --> 00:04:11.000]  信徒的表現
[00:04:11.000 --> 00:04:14.000]  或者甚至是教會裡面
[00:04:14.000 --> 00:04:17.000]  一般的做事的方式
[00:04:17.000 --> 00:04:20.000]  因為不少的教會甚至認為
[00:04:20.000 --> 00:04:22.000]  教會應該在這個世界裡面
[00:04:22.000 --> 00:04:25.000]  要為很多人做出一些出其不意的事情
[00:04:25.000 --> 00:04:29.000]  這樣才能夠讓人覺得我們的上帝是神奇的
[00:04:29.000 --> 00:04:32.000]  覺得我們的上帝是無所不能的
[00:04:32.000 --> 00:04:35.000]  他的能力是超越你所想所求的
[00:04:35.000 --> 00:04:40.000]  這樣那些人就自知而然就會來到你的當中
[00:04:40.000 --> 00:04:42.000]  甚至有些人引經據典
[00:04:42.000 --> 00:04:45.000]  好像今天我們所看的這段經文
[00:04:45.000 --> 00:04:47.000]  他們甚至引用這段的說話
[00:04:47.000 --> 00:04:49.000]  告訴我們知道
[00:04:49.000 --> 00:04:54.000]  教會做事就應該是語出驚人
[00:04:54.000 --> 00:04:57.000]  使人覺得稀奇的
[00:04:57.000 --> 00:05:00.000]  這樣你才能夠使教會興旺
[00:05:00.000 --> 00:05:02.000]  於是教會這麼多年
[00:05:02.000 --> 00:05:05.000]  就有很多神蹟奇事等等的見證
[00:05:05.000 --> 00:05:09.000]  不斷地在這個世界裡面不斷地流傳
[00:05:09.000 --> 00:05:11.000]  甚至著書立說
[00:05:11.000 --> 00:05:13.000]  來吸引人
[00:05:13.000 --> 00:05:18.000]  讓人覺得教會好像是一個很神奇的地方
[00:05:18.000 --> 00:05:20.000]  近年的這些靈恩運動
[00:05:20.000 --> 00:05:22.000]  也都吃著這條水
[00:05:22.000 --> 00:05:24.000]  所以於是怎樣
[00:05:24.000 --> 00:05:30.000]  做很多在聚會裡面神蹟奇事的一些現象
[00:05:30.000 --> 00:05:33.000]  希望吸引人來參觀
[00:05:33.000 --> 00:05:38.000]  早二三十年前的神蹟醫事大會
[00:05:38.000 --> 00:05:41.000]  怎樣在神蹟醫事大會裡面
[00:05:41.000 --> 00:05:43.000]  隨便說完不知道第幾行第幾個
[00:05:43.000 --> 00:05:46.000]  坐在那裡的哪個男士下來
[00:05:46.000 --> 00:05:47.000]  他應該有什麼病的
[00:05:47.000 --> 00:05:49.000]  下來我就可以治好他
[00:05:49.000 --> 00:05:52.000]  或者哪一行第幾格
[00:05:52.000 --> 00:05:54.000]  那裡坐在那裡的女士她癱瘓的
[00:05:54.000 --> 00:05:56.000]  我都可以使她重新站起來
[00:05:56.000 --> 00:05:58.000]  使人很稀奇
[00:05:58.000 --> 00:06:02.000]  近年更加利用影音媒介
[00:06:02.000 --> 00:06:05.000]  去創造一種在崇拜的時候的氣氛
[00:06:05.000 --> 00:06:09.000]  甚至顯露出有聖靈降臨的表現
[00:06:09.000 --> 00:06:12.000]  其中一個我們比較流行所知道的就是
[00:06:12.000 --> 00:06:16.000]  在現場在天花上面放出一些武器
[00:06:16.000 --> 00:06:19.000]  投影著聖靈降臨在會場當中
[00:06:19.000 --> 00:06:22.000]  觸動每一個人他的心思
[00:06:22.000 --> 00:06:24.000]  甚至他的感情
[00:06:24.000 --> 00:06:30.000]  再利用光線、音響來激動人心
[00:06:30.000 --> 00:06:33.000]  這些做法是不是教會應該做的
[00:06:33.000 --> 00:06:36.000]  是不是教會藉著聖經的啟示
[00:06:36.000 --> 00:06:38.000]  又叫我們這樣做呢
[00:06:38.000 --> 00:06:41.000]  所以今天我就想跟大家一起思想這個題目
[00:06:41.000 --> 00:06:45.000]  叫做信主圖上的稀奇
[00:06:45.000 --> 00:06:48.000]  藉著這個題目我希望我們再次去掌握
[00:06:48.000 --> 00:06:51.000]  稀奇這個主題
[00:06:51.000 --> 00:06:54.000]  是不是教會裡面應該要做的事情
[00:06:54.000 --> 00:06:58.000]  好了,我們既然只有兩節經文
[00:06:58.000 --> 00:07:00.000]  我們就首先去仔細看一下
[00:07:00.000 --> 00:07:03.000]  這兩節經文是說些什麼
[00:07:03.000 --> 00:07:07.000]  基本上這兩節經文你會發覺到
[00:07:07.000 --> 00:07:10.000]  在和合本的聖經裡面
[00:07:10.000 --> 00:07:14.000]  或者在英語的聖經的譯本裡面
[00:07:14.000 --> 00:07:18.000]  都無獨有偶是將它分開了
[00:07:18.000 --> 00:07:22.000]  跟原本第24節至第27節的經文
[00:07:22.000 --> 00:07:23.000]  換句話來說
[00:07:23.000 --> 00:07:27.000]  其實在聖經的陳述裡面
[00:07:27.000 --> 00:07:32.000]  似乎在很多翻譯的譯者的心裡面
[00:07:32.000 --> 00:07:35.000]  這兩節經文不是連貫於上文
[00:07:35.000 --> 00:07:38.000]  剛剛講完這個愚昧人
[00:07:38.000 --> 00:07:42.000]  或者是聰明人建房屋的比喻這麼簡單
[00:07:42.000 --> 00:07:47.000]  其實是連貫整個的登山寶訓的主題
[00:07:47.000 --> 00:07:51.000]  也都從寫作的結構來告訴我們
[00:07:51.000 --> 00:07:54.000]  馬太福音的作者馬太
[00:07:54.000 --> 00:07:59.000]  其實是很善於在一些重要的時間裡面
[00:07:59.000 --> 00:08:02.000]  就加上一個註腳
[00:08:02.000 --> 00:08:05.000]  而這個註腳就將整段的
[00:08:05.000 --> 00:08:08.000]  他要講的聖經的一個段落
[00:08:08.000 --> 00:08:13.000]  他當中的主旨將他凸顯了出來
[00:08:13.000 --> 00:08:17.000]  這種的寫作手法其實我們應該不陌生的
[00:08:17.000 --> 00:08:21.000]  其實最簡單的最直接的其中一個例子
[00:08:21.000 --> 00:08:23.000]  就是在第1章17節
[00:08:23.000 --> 00:08:28.000]  我們可以去馬太福音第1章第17節的記載
[00:08:28.000 --> 00:08:30.000]  在這裡聖經這樣講
[00:08:30.000 --> 00:08:36.000]  他說這樣從阿巴拉罕到大衛共有14代
[00:08:36.000 --> 00:08:42.000]  從大衛到千字巴比倫的時候也有14代
[00:08:42.000 --> 00:08:47.000]  從千字巴比倫的時候到基督又有14代
[00:08:47.000 --> 00:08:50.000]  是一個典型的註腳
[00:08:50.000 --> 00:08:53.000]  而這個註腳其實在解釋聖經的時候
[00:08:53.000 --> 00:08:56.000]  是有一個特別的用意告訴他
[00:08:56.000 --> 00:08:58.000]  怎樣去看聖經
[00:08:58.000 --> 00:09:00.000]  特別馬太福音裡面的俗譜
[00:09:00.000 --> 00:09:04.000]  這一段的主旨是什麼
[00:09:04.000 --> 00:09:06.000]  之前已經講過了
[00:09:06.000 --> 00:09:10.000]  其實這個在上帝故意的設計裡面
[00:09:10.000 --> 00:09:12.000]  去陳述給我們知道
[00:09:12.000 --> 00:09:18.000]  去重新看上帝怎樣去建立大衛的皇朝
[00:09:18.000 --> 00:09:22.000]  來讓我們看見上帝以什麼為中心
[00:09:22.000 --> 00:09:25.000]  去選立人去跟隨他
[00:09:25.000 --> 00:09:27.000]  這個在之前已經講過
[00:09:27.000 --> 00:09:28.000]  我不在這裡重複了
[00:09:28.000 --> 00:09:32.000]  要不然原本我的計劃今天可以講短一點
[00:09:32.000 --> 00:09:35.000]  都會變成講到下午還沒完
[00:09:35.000 --> 00:09:39.000]  所以大家可以回去看之前我們講到的錄影
[00:09:39.000 --> 00:09:42.000]  或者是錄音也可以
[00:09:42.000 --> 00:09:44.000]  所以從這段聖經裡面
[00:09:44.000 --> 00:09:47.000]  我們又再次看到
[00:09:47.000 --> 00:09:53.000]  馬太他在這裡要作出一個重要註腳
[00:09:53.000 --> 00:09:57.000]  提醒我們登山寶墳
[00:09:57.000 --> 00:10:01.000]  究竟這段聖經從第五章到第七章裡面
[00:10:01.000 --> 00:10:05.000]  主旨是什麼
[00:10:05.000 --> 00:10:09.000]  我們看回經文的陳述
[00:10:09.000 --> 00:10:13.000]  第28節說耶穌講完了這些話
[00:10:13.000 --> 00:10:15.000]  直接掛住了
[00:10:15.000 --> 00:10:17.000]  講到登山寶墳的內容
[00:10:17.000 --> 00:10:20.000]  就是從馬太他第五章開始
[00:10:20.000 --> 00:10:24.000]  到第七章的第27節
[00:10:24.000 --> 00:10:28.000]  當耶穌講完這一切的話之後
[00:10:28.000 --> 00:10:35.000]  眾人都稀奇他的教訓
[00:10:35.000 --> 00:10:38.000]  在這裡我們就要學習了解
[00:10:38.000 --> 00:10:43.000]  為什麼人們會稀奇
[00:10:43.000 --> 00:10:46.000]  什麼叫稀奇呢
[00:10:46.000 --> 00:10:50.000]  一般的大天姊妹說稀奇很出奇
[00:10:50.000 --> 00:10:52.000]  很詫異
[00:10:52.000 --> 00:10:54.000]  很特別
[00:10:54.000 --> 00:10:56.000]  其實原來稀奇這個字眼
[00:10:56.000 --> 00:10:58.000]  在馬太福音裡面
[00:10:58.000 --> 00:11:03.000]  是總共直接使用過四次
[00:11:03.000 --> 00:11:05.000]  一會我們會逐一去看
[00:11:05.000 --> 00:11:06.000]  第一次的使用
[00:11:06.000 --> 00:11:10.000]  就是我們這一段聖經第七章的第28節
[00:11:10.000 --> 00:11:16.000]  講到人們聽完耶穌基督講話之後
[00:11:16.000 --> 00:11:19.000]  他們就稀奇他的教訓
[00:11:19.000 --> 00:11:21.000]  這是第一次的使用
[00:11:21.000 --> 00:11:22.000]  第二次的使用
[00:11:22.000 --> 00:11:28.000]  就是在第13章的第54節
[00:11:28.000 --> 00:11:30.000]  我又揭開它
[00:11:30.000 --> 00:11:34.000]  大家有聖經所以聽我講到要有聖經
[00:11:34.000 --> 00:11:38.000]  沒有聖經就聽不到
[00:11:38.000 --> 00:11:42.000]  有些教會就方便順道打上幻燈片
[00:11:42.000 --> 00:11:44.000]  有它的好處有不好處
[00:11:44.000 --> 00:11:48.000]  第13章第54節
[00:11:48.000 --> 00:11:52.000]  在這裡也這樣講
[00:11:52.000 --> 00:11:54.000]  我從53節開始讀
[00:11:54.000 --> 00:11:59.000]  耶穌說完了這些比喻
[00:11:59.000 --> 00:12:01.000]  就離開那裡
[00:12:01.000 --> 00:12:02.000]  第54節
[00:12:02.000 --> 00:12:04.000]  來到自己的家鄉
[00:12:04.000 --> 00:12:07.000]  在會堂裡教訓人
[00:12:07.000 --> 00:12:12.000]  甚至他們都稀奇
[00:12:12.000 --> 00:12:16.000]  又講到稀奇的問題
[00:12:16.000 --> 00:12:20.000]  留意這段聖經特別有一個註解給我們知道
[00:12:20.000 --> 00:12:25.000]  耶穌說完了這些比喻
[00:12:25.000 --> 00:12:30.000]  結構跟我們先前看的第七章第28節很相似
[00:12:30.000 --> 00:12:34.000]  剛剛說完了這些說話之後
[00:12:34.000 --> 00:12:37.000]  人們又覺得稀奇
[00:12:37.000 --> 00:12:39.000]  來到這裡又稀奇
[00:12:39.000 --> 00:12:40.000]  第三次的使用
[00:12:40.000 --> 00:12:44.000]  就去到第19章的第25節
[00:12:44.000 --> 00:12:48.000]  我們又去到第19章第25節
[00:12:48.000 --> 00:12:49.000]  看一看
[00:12:49.000 --> 00:12:53.000]  我們又從第23節我讀給大家聽
[00:12:53.000 --> 00:12:57.000]  第19章23節
[00:12:57.000 --> 00:12:59.000]  耶穌對門圖說
[00:12:59.000 --> 00:13:02.000]  我實實在在告訴你們
[00:13:02.000 --> 00:13:05.000]  財主進天國是難的
[00:13:05.000 --> 00:13:07.000]  我又告訴你們
[00:13:07.000 --> 00:13:10.000]  樂陀穿過針的眼
[00:13:10.000 --> 00:13:14.000]  比財主進神的國還容易呢
[00:13:14.000 --> 00:13:15.000]  留意
[00:13:15.000 --> 00:13:19.000]  門圖聽見這話
[00:13:19.000 --> 00:13:23.000]  就稀奇得很
[00:13:23.000 --> 00:13:28.000]  說這樣誰能得救呢
[00:13:28.000 --> 00:13:31.000]  耶穌看著他們說
[00:13:31.000 --> 00:13:33.000]  在人是不能的
[00:13:33.000 --> 00:13:35.000]  在神凡是都能
[00:13:35.000 --> 00:13:37.000]  背就背到很熟了
[00:13:37.000 --> 00:13:40.000]  不過內裡的意思是說什麼呢
[00:13:40.000 --> 00:13:42.000]  為什麼他們稀奇呢
[00:13:42.000 --> 00:13:45.000]  稀奇得很
[00:13:45.000 --> 00:13:47.000]  為了什麼而稀奇得很呢
[00:13:47.000 --> 00:13:53.000]  同樣聽見這話
[00:13:53.000 --> 00:13:56.000]  最後一次出現在馬太福音
[00:13:56.000 --> 00:14:01.000]  是在第22章第33節
[00:14:01.000 --> 00:14:04.000]  我們又顯過去看看
[00:14:04.000 --> 00:14:11.000]  馬太福音第22章第33節
[00:14:11.000 --> 00:14:14.000]  我讀多一點點
[00:14:14.000 --> 00:14:18.000]  從第29節開始讀
[00:14:18.000 --> 00:14:22.000]  耶穌回答說你們錯了
[00:14:22.000 --> 00:14:24.000]  因為不明白聖經
[00:14:24.000 --> 00:14:27.000]  也不曉得神的大能
[00:14:27.000 --> 00:14:29.000]  當復活的時候
[00:14:29.000 --> 00:14:31.000]  人也不取也不嫁
[00:14:31.000 --> 00:14:34.000]  乃像天上的使者一樣
[00:14:34.000 --> 00:14:36.000]  輪到死人復活
[00:14:36.000 --> 00:14:39.000]  神在經上向你們所說的
[00:14:39.000 --> 00:14:42.000]  你們會有念過嗎
[00:14:42.000 --> 00:14:45.000]  他說我是阿伯拉罕的神
[00:14:45.000 --> 00:14:47.000]  以撒的神
[00:14:47.000 --> 00:14:48.000]  雅各的神
[00:14:48.000 --> 00:14:51.000]  神不是死人的神
[00:14:51.000 --> 00:14:53.000]  乃是活人的神
[00:14:53.000 --> 00:14:57.000]  眾人聽見這話
[00:14:57.000 --> 00:15:01.000]  就稀奇他的教訓
[00:15:01.000 --> 00:15:04.000]  連續在馬太福音
[00:15:04.000 --> 00:15:08.000]  有系統地去分佈在
[00:15:08.000 --> 00:15:11.000]  整卷的馬太福音裡面
[00:15:11.000 --> 00:15:13.000]  都同時間說到
[00:15:13.000 --> 00:15:16.000]  耶穌基督有祂的講話
[00:15:16.000 --> 00:15:20.000]  人也因為聽了祂的講話之後
[00:15:20.000 --> 00:15:22.000]  覺得祂的講話
[00:15:22.000 --> 00:15:26.000]  使他們稀奇
[00:15:26.000 --> 00:15:29.000]  稀奇這個字眼
[00:15:29.000 --> 00:15:30.000]  在聖經
[00:15:30.000 --> 00:15:32.000]  同樣在馬太福音裡面
[00:15:32.000 --> 00:15:36.000]  有另一個同類的同義詞
[00:15:36.000 --> 00:15:38.000]  稀奇在希臘文裡面
[00:15:38.000 --> 00:15:40.000]  叫Claseo
[00:15:40.000 --> 00:15:42.000]  但是如果在希臘文
[00:15:42.000 --> 00:15:45.000]  另一個字眼叫Famagio
[00:15:45.000 --> 00:15:48.000]  也說到覺得很神奇
[00:15:48.000 --> 00:15:50.000]  很詫異
[00:15:50.000 --> 00:15:52.000]  不過它的用法有點不同
[00:15:52.000 --> 00:15:53.000]  如果大家有機會
[00:15:53.000 --> 00:15:54.000]  可以把它寫下來
[00:15:54.000 --> 00:15:56.000]  這些經節
[00:15:56.000 --> 00:15:57.000]  在第8章第10節
[00:15:57.000 --> 00:15:59.000]  第8章第27節
[00:15:59.000 --> 00:16:01.000]  第9章第33節
[00:16:01.000 --> 00:16:03.000]  第15章第31節
[00:16:03.000 --> 00:16:05.000]  第21章第20節
[00:16:05.000 --> 00:16:07.000]  第22章第22節
[00:16:07.000 --> 00:16:09.000]  第27章第14節
[00:16:09.000 --> 00:16:12.000]  在整個馬太福音裡面
[00:16:12.000 --> 00:16:14.000]  也用了這個字眼
[00:16:14.000 --> 00:16:16.000]  Famagio
[00:16:16.000 --> 00:16:18.000]  去表現出
[00:16:18.000 --> 00:16:21.000]  人當看到耶穌基督
[00:16:21.000 --> 00:16:24.000]  行完神蹟歧視之後的
[00:16:24.000 --> 00:16:25.000]  一種感覺
[00:16:25.000 --> 00:16:28.000]  譬如剛才我們列舉的例子裡面
[00:16:28.000 --> 00:16:30.000]  在第8章當中
[00:16:30.000 --> 00:16:33.000]  耶穌曾經跟門徒
[00:16:33.000 --> 00:16:37.000]  在船上遇著大風浪
[00:16:37.000 --> 00:16:40.000]  然後耶穌斥責風浪
[00:16:40.000 --> 00:16:42.000]  叫它停止的時候
[00:16:42.000 --> 00:16:45.000]  縱門徒在船上
[00:16:45.000 --> 00:16:48.000]  都感到很稀奇
[00:16:48.000 --> 00:16:50.000]  同樣都譯為稀奇
[00:16:50.000 --> 00:16:52.000]  但這個字眼卻是另一個字眼
[00:16:52.000 --> 00:16:54.000]  是主動談讀到
[00:16:54.000 --> 00:16:58.000]  耶穌一些行動
[00:16:58.000 --> 00:17:01.000]  行動神蹟歧視行動
[00:17:01.000 --> 00:17:03.000]  之後他們的一個
[00:17:03.000 --> 00:17:05.000]  感覺詫異的現象
[00:17:05.000 --> 00:17:06.000]  另一個典型例子
[00:17:06.000 --> 00:17:07.000]  第9章第33節
[00:17:07.000 --> 00:17:10.000]  耶穌將一個人
[00:17:10.000 --> 00:17:11.000]  他原本是一個啞巴
[00:17:11.000 --> 00:17:13.000]  將他身上的鬼
[00:17:13.000 --> 00:17:14.000]  趕走了之後
[00:17:14.000 --> 00:17:16.000]  他能夠再次說話
[00:17:16.000 --> 00:17:18.000]  在這件事上面
[00:17:18.000 --> 00:17:23.000]  眾身邊的人又覺得甚稀奇
[00:17:23.000 --> 00:17:25.000]  所以從這段聖經裡面
[00:17:25.000 --> 00:17:27.000]  給我們看見
[00:17:27.000 --> 00:17:29.000]  原來稀奇在聖經裡面
[00:17:29.000 --> 00:17:31.000]  有兩種層次
[00:17:31.000 --> 00:17:33.000]  第一個層次就是
[00:17:33.000 --> 00:17:36.000]  剛才所說神蹟歧視
[00:17:36.000 --> 00:17:39.000]  做了一些特別的事情
[00:17:39.000 --> 00:17:42.000]  人們看到有好處
[00:17:42.000 --> 00:17:46.000]  於是他們就覺得很神奇
[00:17:46.000 --> 00:17:49.000]  這個就是今天很多教會
[00:17:49.000 --> 00:17:52.000]  很喜歡使用的技術
[00:17:52.000 --> 00:17:56.000]  技倆去吸引人回到教會當中
[00:17:56.000 --> 00:17:57.000]  當然我在這裡
[00:17:57.000 --> 00:17:59.000]  不是和大家一起討論
[00:17:59.000 --> 00:18:01.000]  究竟今天還有沒有神蹟歧視
[00:18:01.000 --> 00:18:03.000]  可以走出來這個問題
[00:18:03.000 --> 00:18:05.000]  這個留待有機會
[00:18:05.000 --> 00:18:08.000]  和大家在其他的場合再討論
[00:18:08.000 --> 00:18:10.000]  不過從這段聖經裡面
[00:18:10.000 --> 00:18:14.000]  這個Ecclesia這個動詞
[00:18:14.000 --> 00:18:16.000]  就是我們今天所看的
[00:18:16.000 --> 00:18:18.000]  《馬太福音》第七章
[00:18:18.000 --> 00:18:21.000]  第28節所用的
[00:18:21.000 --> 00:18:23.000]  都是關乎於
[00:18:23.000 --> 00:18:30.000]  人聽了耶穌基督講話之後的反應
[00:18:30.000 --> 00:18:32.000]  而這些反應
[00:18:32.000 --> 00:18:35.000]  往往不是藉根於
[00:18:35.000 --> 00:18:38.000]  哪個人講話這麼簡單
[00:18:38.000 --> 00:18:40.000]  而是藉根於
[00:18:40.000 --> 00:18:46.000]  那個人講的信息的內容
[00:18:46.000 --> 00:18:48.000]  這個是一個很重要的學習
[00:18:48.000 --> 00:18:49.000]  特別我們做基督徒
[00:18:49.000 --> 00:18:53.000]  不能夠不學
[00:18:53.000 --> 00:18:54.000]  我們做基督徒
[00:18:54.000 --> 00:19:00.000]  千萬不可以因人廢言
[00:19:00.000 --> 00:19:02.000]  明白這句話是什麼意思嗎
[00:19:02.000 --> 00:19:04.000]  因為哪個人講
[00:19:04.000 --> 00:19:08.000]  所以他說的話就不值得聽
[00:19:08.000 --> 00:19:10.000]  反過來也可以這樣說
[00:19:10.000 --> 00:19:12.000]  你不是因為哪個人講
[00:19:12.000 --> 00:19:13.000]  所以那個人講的東西
[00:19:13.000 --> 00:19:18.000]  你一定要全部要聽
[00:19:18.000 --> 00:19:19.000]  耶穌曾經有一個
[00:19:19.000 --> 00:19:22.000]  很出名的說話
[00:19:22.000 --> 00:19:26.000]  他對著門徒說
[00:19:26.000 --> 00:19:30.000]  法尼塞人 和民是的說話
[00:19:30.000 --> 00:19:34.000]  你們要聽
[00:19:34.000 --> 00:19:35.000]  你沒有聽錯
[00:19:35.000 --> 00:19:37.000]  耶穌是這樣教他的門徒
[00:19:37.000 --> 00:19:40.000]  你們要聽
[00:19:40.000 --> 00:19:46.000]  但不要跟從
[00:19:46.000 --> 00:19:48.000]  同樣道理
[00:19:48.000 --> 00:19:51.000]  在舊約聖經裡面
[00:19:51.000 --> 00:19:54.000]  創世紀
[00:19:54.000 --> 00:19:58.000]  當蛇在伊甸園裡面
[00:19:58.000 --> 00:20:01.000]  去和人講的說話
[00:20:01.000 --> 00:20:05.000]  特別和女人講的說話
[00:20:05.000 --> 00:20:07.000]  他講的說話
[00:20:07.000 --> 00:20:10.000]  有沒有上帝的說話在裡面
[00:20:10.000 --> 00:20:14.000]  有啊
[00:20:14.000 --> 00:20:18.000]  叫他樹上的果子
[00:20:18.000 --> 00:20:20.000]  到處都可以吃
[00:20:20.000 --> 00:20:26.000]  除了那一棵樹上的果子
[00:20:26.000 --> 00:20:28.000]  你不可吃
[00:20:28.000 --> 00:20:29.000]  對不對
[00:20:29.000 --> 00:20:31.000]  不過加了兩個字
[00:20:31.000 --> 00:20:33.000]  加多了幾個字
[00:20:33.000 --> 00:20:38.000]  不可摸
[00:20:38.000 --> 00:20:41.000]  我們去聽人講說話
[00:20:41.000 --> 00:20:44.000]  甚至在教會聽傳道人講說話
[00:20:44.000 --> 00:20:46.000]  聽一個信徒講的說話
[00:20:46.000 --> 00:20:48.000]  不是因為他是牧師
[00:20:48.000 --> 00:20:50.000]  不是因為他是傳道人
[00:20:50.000 --> 00:20:51.000]  不是因為他是教會執事
[00:20:51.000 --> 00:20:56.000]  不是因為他是教會的領袖
[00:20:56.000 --> 00:20:59.000]  你就要去聽
[00:20:59.000 --> 00:21:00.000]  這個聽的意思
[00:21:00.000 --> 00:21:03.000]  他說的一定是對的
[00:21:03.000 --> 00:21:05.000]  不是的
[00:21:05.000 --> 00:21:06.000]  耶穌在這裡
[00:21:06.000 --> 00:21:09.000]  很清楚藉著馬太福音的作者
[00:21:09.000 --> 00:21:11.000]  馬太
[00:21:11.000 --> 00:21:13.000]  不是作者是記載者
[00:21:13.000 --> 00:21:15.000]  記載下來告訴他
[00:21:15.000 --> 00:21:19.000]  當人們聽到耶穌基督的話之後
[00:21:19.000 --> 00:21:23.000]  他們都希祈
[00:21:23.000 --> 00:21:27.000]  他的教訓
[00:21:27.000 --> 00:21:30.000]  是因人的說話的內容
[00:21:30.000 --> 00:21:33.000]  而作出回應
[00:21:33.000 --> 00:21:35.000]  所以第一節目
[00:21:35.000 --> 00:21:37.000]  今天有些人會覺得
[00:21:37.000 --> 00:21:38.000]  我要回教會
[00:21:38.000 --> 00:21:40.000]  我要找明牧師講道
[00:21:40.000 --> 00:21:42.000]  他一定好
