
[00:00:00.000 --> 00:00:03.640]  各位大英主媒《平安救約》向我們講說話
[00:05:47.800 --> 00:05:51.100]  這個是《出埃及記》的解釋
[00:05:51.100 --> 00:05:53.100]  另外一個版本就記載在
[00:05:53.100 --> 00:05:55.100]  《生命記》第五章
[00:05:55.100 --> 00:05:58.100]  這個版本的角度是完全不同的
[00:05:58.100 --> 00:06:00.200]  我讀一讀《生命記》第五章
[00:06:00.200 --> 00:06:02.400]  十二到十五節
[00:06:02.400 --> 00:06:05.800]  當朝耶和華里神所吩咐你的
[00:06:05.800 --> 00:06:08.300]  守安息日為聖日
[00:06:08.300 --> 00:06:09.000]  六日
[00:06:09.000 --> 00:06:11.300]  你要牢牢作你一切的功
[00:06:11.300 --> 00:06:12.400]  但是第七日
[00:06:12.400 --> 00:06:14.400]  是向耶和華里神
[00:06:14.400 --> 00:06:16.200]  當守的安息日
[00:06:16.200 --> 00:06:17.200]  這一日
[00:06:17.200 --> 00:06:22.000]  你和你的兒女不被牛奴生粥
[00:06:22.000 --> 00:06:24.600]  並且你城裡寄居的客人
[00:06:24.600 --> 00:06:27.100]  無論何功都不可作
[00:06:27.100 --> 00:06:29.900]  使你和你的不被
[00:06:29.900 --> 00:06:33.800]  可以和你一樣安息
[00:06:33.800 --> 00:06:37.800]  這裡首先提出一個很重要的觀念
[00:06:37.800 --> 00:06:42.400]  你和你的不被是平等的
[00:06:42.400 --> 00:06:44.200]  大家都休息
[00:06:44.200 --> 00:06:46.900]  所以星期天我們看到有很多
[00:06:46.900 --> 00:06:50.700]  在香港做工的工人姐姐
[00:06:50.700 --> 00:06:51.700]  無論是菲傭
[00:06:51.700 --> 00:06:52.200]  太傭
[00:06:52.200 --> 00:06:53.700]  欣傭等等
[00:06:53.700 --> 00:06:55.000]  他們全部出來了
[00:06:55.000 --> 00:06:57.000]  因為他們放假
[00:06:57.000 --> 00:06:57.500]  你知道嗎
[00:06:57.500 --> 00:06:59.200]  放假很重要的
[00:06:59.200 --> 00:07:01.600]  原來我們需要休息
[00:07:01.600 --> 00:07:03.500]  是平等的
[00:07:03.500 --> 00:07:06.200]  他說你都要紀念
[00:07:06.200 --> 00:07:07.300]  你在埃及地
[00:07:07.300 --> 00:07:10.300]  你做過勞僕的
[00:07:10.300 --> 00:07:13.700]  耶和華里神他是用大能的手
[00:07:13.700 --> 00:07:15.900]  和伸出來的膀臂
[00:07:15.900 --> 00:07:19.100]  將你從那裡伸出來
[00:07:19.100 --> 00:07:22.800]  因此耶和華里的神
[00:07:22.800 --> 00:07:25.200]  吩咐你守安息日
[00:07:25.200 --> 00:07:28.100]  生命記加了一個新的角度
[00:07:28.100 --> 00:07:30.500]  原來你以前是做勞僕的
[00:07:30.500 --> 00:07:32.600]  不過神用大能的手
[00:07:32.600 --> 00:07:34.800]  將你從埃及救了出來
[00:07:34.800 --> 00:07:36.800]  所以你現在改變了
[00:07:36.800 --> 00:07:39.100]  你要休息
[00:07:39.100 --> 00:07:40.500]  要記得
[00:07:40.500 --> 00:07:42.500]  祂是神
[00:07:42.500 --> 00:07:44.000]  求神幫助我們
[00:07:44.000 --> 00:07:47.000]  叫我們這個現代人
[00:07:47.000 --> 00:07:48.900]  我們每個星期有一天
[00:07:48.900 --> 00:07:51.800]  我們安靜來到神的面前
[00:07:51.800 --> 00:07:53.100]  思想起來
[00:07:53.100 --> 00:07:55.900]  神在我們身上有很多的恩典
[00:07:55.900 --> 00:07:57.400]  你今天有工作
[00:07:57.400 --> 00:07:59.100]  你今天星期天可以休息
[00:07:59.100 --> 00:08:00.800]  完全都是恩典
[00:08:00.800 --> 00:08:03.600]  我們要感謝讚美我們的神
[00:08:03.600 --> 00:08:05.400]  而且不單止安息日
[00:08:05.400 --> 00:08:07.900]  更加聖經裡面提到安息年
[00:08:07.900 --> 00:08:09.100]  提到禧年
[00:08:09.100 --> 00:08:12.300]  原來耕種土地到了第七年
[00:08:12.300 --> 00:08:14.300]  是不可以耕種的
[00:08:14.300 --> 00:08:16.600]  讓那些田地都休息
[00:08:16.600 --> 00:08:17.700]  今天這個世界
[00:08:17.700 --> 00:08:21.700]  為什麼這麼多環保的問題呢
[00:08:21.700 --> 00:08:24.700]  就是人過度的開發
[00:08:24.700 --> 00:08:26.600]  消耗那些土地
[00:08:26.600 --> 00:08:29.100]  以致那些土地沒有休息
[00:08:29.100 --> 00:08:32.800]  於是就開始貧窒
[00:08:32.800 --> 00:08:36.600]  那些土地的生產大不如前
[00:08:36.600 --> 00:08:39.400]  求神今天叫我們得著警醒
[00:08:39.400 --> 00:08:41.900]  原來聖經的設計
[00:08:41.900 --> 00:08:43.700]  是很奇妙
[00:08:43.700 --> 00:08:48.900]  神有很出自祂心意的安排
[00:08:48.900 --> 00:08:50.600]  叫我們到時候
[00:08:50.600 --> 00:08:53.400]  我們就要休息
[00:08:53.400 --> 00:08:58.000]  所以有人叫安息日是休息的神學
[00:08:58.000 --> 00:09:01.700]  我們要體會神做工是很有節奏
[00:09:01.700 --> 00:09:03.400]  很有規律的
[00:09:03.400 --> 00:09:07.300]  一切的事都是作息有時
[00:09:07.300 --> 00:09:09.300]  工作有時
[00:09:09.300 --> 00:09:10.700]  休息有時
[00:09:10.700 --> 00:09:13.100]  讓我們在主日的時候
[00:09:13.100 --> 00:09:15.800]  我們是安靜等候在神面前
[00:09:15.800 --> 00:09:17.000]  仰望祂
[00:09:17.000 --> 00:09:19.200]  當我們仰望等候的時候
[00:09:19.200 --> 00:09:22.400]  我們就能夠從常得力
[00:09:22.400 --> 00:09:24.100]  到了星期一的時候
[00:09:24.100 --> 00:09:26.700]  我們帶著喜樂新的心
[00:09:26.700 --> 00:09:29.500]  來迎接新的星期
[00:09:29.500 --> 00:09:32.900]  還有神創造人之後
[00:09:32.900 --> 00:09:34.700]  接著那天就休息
[00:09:34.700 --> 00:09:37.700]  所以人的第一天是先休息
[00:09:37.700 --> 00:09:39.400]  然後才開始工作
[00:09:39.400 --> 00:09:42.000]  讓我們從安息日
[00:09:42.000 --> 00:09:44.400]  我們有新的體會
[00:09:44.400 --> 00:09:45.900]  天父祝福你
