
[00:00:00.000 --> 00:00:01.960]  一連三堂的系列
[00:02:50.000 --> 00:02:53.000]  奧古斯丁寫的《The City of God》
[00:02:53.000 --> 00:02:55.000]  另外一本也是很經典的
[00:02:55.000 --> 00:02:58.000]  Chuck Colson寫的《The Kingdom in Conflict》
[00:02:58.000 --> 00:03:03.000]  911之後他寫了一本叫《The Church, God and Government》
[00:03:03.000 --> 00:03:08.000]  大家知道Chuck Colson是尼克遜總統的左右手
[00:03:08.000 --> 00:03:10.000]  水門事件被牽連
[00:03:10.000 --> 00:03:11.000]  入了監獄
[00:03:11.000 --> 00:03:13.000]  然後在監獄順處出來之後
[00:03:13.000 --> 00:03:15.000]  沒有再從政
[00:03:15.000 --> 00:03:17.000]  做了一個福音機構
[00:03:17.000 --> 00:03:19.000]  亦都寫了這本書
[00:03:19.000 --> 00:03:21.000]  但在這麼多本書中
[00:03:21.000 --> 00:03:23.000]  我覺得其中一本最幫到我的
[00:03:23.000 --> 00:03:26.000]  反而是《Christians and Politics》
[00:03:26.000 --> 00:03:28.000]  是Phillip Yancey寫的
[00:03:28.000 --> 00:03:30.000]  上星期都和大家分享過這本書
[00:03:30.000 --> 00:03:33.000]  今天我只是想和大家分享這本書
[00:03:33.000 --> 00:03:35.000]  在這本書結尾的時候
[00:03:35.000 --> 00:03:37.000]  它有五個結論
[00:03:37.000 --> 00:03:38.000]  五個conclusion
[00:03:38.000 --> 00:03:41.000]  我今天只是想和大家分享一個
[00:03:41.000 --> 00:03:43.000]  希望這一個conclusion可以幫助大家
[00:03:43.000 --> 00:03:46.000]  將來加州如果有任何的法案出來的時候
[00:03:46.000 --> 00:03:49.000]  你大概可以給一些guideline知道
[00:03:49.000 --> 00:03:51.000]  從什麼角度去思考
[00:03:51.000 --> 00:03:53.000]  應不應該支持你的法案
[00:03:53.000 --> 00:03:55.000]  這個conclusion是這樣的
[00:03:55.000 --> 00:03:57.000]  當一個基督徒要考慮
[00:03:57.000 --> 00:04:00.000]  是否支持某條法案的時候
[00:04:00.000 --> 00:04:02.000]  你要考慮一點
[00:04:02.000 --> 00:04:05.000]  你首先要考慮到底
[00:04:05.000 --> 00:04:07.000]  基督徒要分辨清楚
[00:04:07.000 --> 00:04:09.000]  不道德和不合法
[00:04:09.000 --> 00:04:12.000]  這兩件事一定要分辨清楚
[00:04:12.000 --> 00:04:15.000]  就是distinguish immoral and illegal
[00:04:15.000 --> 00:04:17.000]  因為很多基督徒是混淆了
[00:04:17.000 --> 00:04:20.000]  覺得所有聖經認為不道德的東西
[00:04:20.000 --> 00:04:22.000]  都應該變成不合法
[00:04:22.000 --> 00:04:24.000]  但你發覺這個世界不是這樣運作的
[00:04:24.000 --> 00:04:26.000]  這個世界是有些東西很道德
[00:04:26.000 --> 00:04:27.000]  但它不合法
[00:04:27.000 --> 00:04:29.000]  有些東西合法但它未必很道德
[00:04:29.000 --> 00:04:31.000]  所以首先你要明白
[00:04:31.000 --> 00:04:32.000]  有些東西是不道德
[00:04:32.000 --> 00:04:34.000]  有些東西是不合法
[00:04:34.000 --> 00:04:36.000]  你就不要混淆了
[00:04:36.000 --> 00:04:38.000]  不道德就必須變成不合法
[00:04:38.000 --> 00:04:40.000]  這是兩個不同的觀念
[00:04:40.000 --> 00:04:42.000]  例如我舉個例子
[00:04:42.000 --> 00:04:46.000]  好幾十年前
[00:04:46.000 --> 00:04:48.000]  都有一些基督徒提出
[00:04:48.000 --> 00:04:52.000]  不如我們將十誡列為美國的憲法
[00:04:52.000 --> 00:04:57.000]  你發覺十誡有很多已經立法的
[00:04:57.000 --> 00:04:58.000]  例如不可殺人
[00:04:58.000 --> 00:05:00.000]  不可偷東西
[00:05:00.000 --> 00:05:02.000]  不可做假見證
[00:05:02.000 --> 00:05:04.000]  被假證供給抓到都抓你
[00:05:04.000 --> 00:05:06.000]  這些已經立法
[00:05:06.000 --> 00:05:07.000]  但你發覺十誡裏面
[00:05:07.000 --> 00:05:10.000]  至少有兩屆是不能立法的
[00:05:10.000 --> 00:05:12.000]  例如孝敬父母
[00:05:12.000 --> 00:05:15.000]  孝敬父母是無法立法的
[00:05:15.000 --> 00:05:17.000]  中國大陸試過立法
[00:05:17.000 --> 00:05:18.000]  但後來就失敗
[00:05:18.000 --> 00:05:19.000]  因為有一段時間
[00:05:19.000 --> 00:05:21.000]  有些老人家
[00:05:21.000 --> 00:05:23.000]  尤其是農村的老人家
[00:05:23.000 --> 00:05:24.000]  家長就覺得
[00:05:24.000 --> 00:05:28.000]  年輕人出了大城市打工
[00:05:28.000 --> 00:05:30.000]  但有時過年過節
[00:05:30.000 --> 00:05:32.000]  因為中國叫春運
[00:05:32.000 --> 00:05:34.000]  所有人都外地勞工湧回農村
[00:05:34.000 --> 00:05:36.000]  所以火車票又買不到
[00:05:36.000 --> 00:05:37.000]  買不到火車票
[00:05:37.000 --> 00:05:39.000]  回不去探望父母
[00:05:39.000 --> 00:05:41.000]  老人家就很生氣
[00:05:41.000 --> 00:05:43.000]  完全不孝順
[00:05:43.000 --> 00:05:44.000]  於是很多抱怨
[00:05:44.000 --> 00:05:46.000]  於是政府就立例
[00:05:46.000 --> 00:05:47.000]  所有出外打工的子女
[00:05:47.000 --> 00:05:50.000]  一年必須回去探望父母一次
[00:05:50.000 --> 00:05:52.000]  就立了這條例
[00:05:52.000 --> 00:05:53.000]  立了這條例
[00:05:53.000 --> 00:05:55.000]  後來發覺執行不了
[00:05:55.000 --> 00:05:57.000]  因為沒有火車票就是沒有火車票
[00:05:57.000 --> 00:05:58.000]  因為你立了條例
[00:05:58.000 --> 00:05:59.000]  但你又沒有
[00:05:59.000 --> 00:06:01.000]  多了幾班列車
[00:06:01.000 --> 00:06:03.000]  沒有就沒有
[00:06:03.000 --> 00:06:04.000]  但立了這條例之後
[00:06:04.000 --> 00:06:07.000]  後來就多了一種生意
[00:06:07.000 --> 00:06:10.000]  叫代替你去探望父母
[00:06:10.000 --> 00:06:12.000]  因為旁邊有老汪的兒子
[00:06:12.000 --> 00:06:14.000]  今年沒有回來探望他
[00:06:14.000 --> 00:06:16.000]  舉報他就罰錢
[00:06:16.000 --> 00:06:17.000]  如果你給我兩百元
[00:06:17.000 --> 00:06:18.000]  我就扮你的兒子
[00:06:18.000 --> 00:06:20.000]  幫你探望你爹地媽咪
[00:06:20.000 --> 00:06:22.000]  就多了一種生意
[00:06:22.000 --> 00:06:23.000]  你就發覺
[00:06:23.000 --> 00:06:27.000]  立法其實是管制不了孝敬父母
[00:06:27.000 --> 00:06:30.000]  你怎樣定義孝敬父母
[00:06:30.000 --> 00:06:32.000]  是否必須一個月的人工
[00:06:32.000 --> 00:06:33.000]  至少百分之十
[00:06:33.000 --> 00:06:34.000]  納稅交給父母
[00:06:34.000 --> 00:06:36.000]  這樣為之孝敬父母
[00:06:36.000 --> 00:06:38.000]  規定一個月必須陪父母吃一餐飯
[00:06:38.000 --> 00:06:39.000]  叫孝敬父母
[00:06:39.000 --> 00:06:40.000]  你怎樣定義呢
[00:06:40.000 --> 00:06:43.000]  所以十屆有些東西叫孝敬父母
[00:06:43.000 --> 00:06:45.000]  是應該停在道德層面
[00:06:45.000 --> 00:06:47.000]  去鼓勵所有神的子民
[00:06:47.000 --> 00:06:49.000]  應該孝敬你的父母
[00:06:49.000 --> 00:06:51.000]  但你不能將它變成
[00:06:51.000 --> 00:06:53.000]  不孝敬父母不合法
[00:06:53.000 --> 00:06:54.000]  所以如果日後加州有人說
[00:06:54.000 --> 00:06:56.000]  我們立法管制大家孝敬父母
[00:06:56.000 --> 00:06:57.000]  大家就知道
[00:06:57.000 --> 00:06:58.000]  不要投這個法案
[00:06:58.000 --> 00:07:00.000]  因為執行不了
[00:07:00.000 --> 00:07:03.000]  所以十屆最後一屆
[00:07:03.000 --> 00:07:04.000]  也是很重要的一屆
[00:07:04.000 --> 00:07:05.000]  不可貪
[00:07:05.000 --> 00:07:08.000]  不可貪戀人的妻子和房屋
[00:07:08.000 --> 00:07:11.000]  請問貪可否立法管制呢
[00:07:11.000 --> 00:07:13.000]  因為這是心理層面
[00:07:13.000 --> 00:07:14.000]  你怎知道我貪
[00:07:14.000 --> 00:07:15.000]  我請你來我家吃飯
[00:07:15.000 --> 00:07:16.000]  你瞪了我新車兩眼
[00:07:16.000 --> 00:07:18.000]  說貪我的車
[00:07:18.000 --> 00:07:19.000]  告你
[00:07:19.000 --> 00:07:22.000]  貪是沒有辦法立法的
[00:07:22.000 --> 00:07:23.000]  所以大家要知道
[00:07:23.000 --> 00:07:24.000]  作為一個基督徒
[00:07:24.000 --> 00:07:26.000]  我們首先要分清楚
[00:07:26.000 --> 00:07:29.000]  不是所有聖經認為不道德的東西
[00:07:29.000 --> 00:07:31.000]  都需要變成不合法的
[00:07:31.000 --> 00:07:33.000]  因為有些道德層面
[00:07:33.000 --> 00:07:35.000]  是必須在道德層面處理
[00:07:35.000 --> 00:07:38.000]  不可以混淆所有不道德的
[00:07:38.000 --> 00:07:40.000]  立法規定立法
[00:07:40.000 --> 00:07:42.000]  變成不合法
[00:07:42.000 --> 00:07:43.000]  這是不行的
[00:07:43.000 --> 00:07:45.000]  所以大家要很清楚
[00:07:45.000 --> 00:07:48.000]  這是菲利普·燕斯這本書
[00:07:48.000 --> 00:07:50.000]  所介紹的觀念
[00:07:50.000 --> 00:07:53.000]  這個觀念其實影響很多層次
[00:07:53.000 --> 00:07:56.000]  例如其中一個我們可以考慮的
[00:07:56.000 --> 00:08:00.000]  就是一直到了新約的時候
[00:08:00.000 --> 00:08:02.000]  剛剛說的是舊約
[00:08:02.000 --> 00:08:03.000]  到了新約的例子
[00:08:03.000 --> 00:08:04.000]  到了加拉太書
[00:08:04.000 --> 00:08:06.000]  大家很清楚的聖靈的果子
[00:08:06.000 --> 00:08:08.000]  聖靈的果子是這麼說的
[00:08:08.000 --> 00:08:09.000]  聖靈所結的果子
[00:08:09.000 --> 00:08:11.000]  就是仁愛 喜樂 和平 忍耐
[00:08:11.000 --> 00:08:13.000]  恩慈 良善 信實 溫柔 節制
[00:08:13.000 --> 00:08:15.000]  這些全部都是聖靈的果子
[00:08:15.000 --> 00:08:16.000]  接著下面那句
[00:08:16.000 --> 00:08:21.000]  這樣的事沒有任何律法可以禁止
[00:08:21.000 --> 00:08:23.000]  意思就是說
[00:08:23.000 --> 00:08:25.000]  他剛剛所說的聖靈的果子
[00:08:25.000 --> 00:08:29.000]  這些有耐性 仁愛 喜樂 節制
[00:08:29.000 --> 00:08:34.000]  這些是沒有辦法用律法去制止的
[00:08:34.000 --> 00:08:36.000]  意思就是我不可以用律法來管制
[00:08:36.000 --> 00:08:39.000]  我就制止你不可以沒有耐性
[00:08:39.000 --> 00:08:40.000]  可不可以立法
[00:08:40.000 --> 00:08:42.000]  你跟我說話這麼大聲沒有耐性
[00:08:42.000 --> 00:08:43.000]  舉報他
[00:08:43.000 --> 00:08:44.000]  不行的
[00:08:44.000 --> 00:08:47.000]  這些不是立了法禁制就可以的
[00:08:47.000 --> 00:08:48.000]  例如說喜樂
[00:08:48.000 --> 00:08:50.000]  可不可以立法禁制
[00:08:50.000 --> 00:08:51.000]  不可以不喜樂
[00:08:51.000 --> 00:08:53.000]  愁眉苦臉
[00:08:53.000 --> 00:08:54.000]  抓你坐牢
[00:08:54.000 --> 00:08:55.000]  不行的
[00:08:55.000 --> 00:08:57.000]  這些全部
[00:08:57.000 --> 00:08:59.000]  保羅華都不是律法
[00:08:59.000 --> 00:09:02.000]  可以透過律法的禁止就出來的
[00:09:02.000 --> 00:09:04.000]  你沒有耐性
[00:09:04.000 --> 00:09:05.000]  或者你不喜樂
[00:09:05.000 --> 00:09:07.000]  你不節制不溫柔就抓你坐牢
[00:09:07.000 --> 00:09:08.000]  接著你就
[00:09:08.000 --> 00:09:11.000]  自從立了法之後我溫柔了
[00:09:11.000 --> 00:09:12.000]  是誤會的
[00:09:12.000 --> 00:09:14.000]  這些全部都是
[00:09:14.000 --> 00:09:17.000]  聖經所說是聖靈的果子
[00:09:17.000 --> 00:09:19.000]  唯有是聖靈進來
[00:09:19.000 --> 00:09:21.000]  你才生命可以長出一個
[00:09:21.000 --> 00:09:23.000]  現在不是因為立法
[00:09:23.000 --> 00:09:25.000]  是因為律法的管制
[00:09:25.000 --> 00:09:26.000]  奇怪
[00:09:26.000 --> 00:09:28.000]  我近來生命變得溫柔了
[00:09:28.000 --> 00:09:30.000]  我近來節制了
[00:09:30.000 --> 00:09:32.000]  這些不是立法管制
[00:09:32.000 --> 00:09:33.000]  所以大家明白
[00:09:33.000 --> 00:09:34.000]  無論新約舊約
[00:09:34.000 --> 00:09:36.000]  基本上很多的東西
[00:09:36.000 --> 00:09:39.000]  是停在所謂生命轉化
[00:09:39.000 --> 00:09:41.000]  或者道德的層面
[00:09:41.000 --> 00:09:43.000]  但不是立法的層面
[00:09:43.000 --> 00:09:44.000]  有些可以立法管制
[00:09:44.000 --> 00:09:45.000]  有些是不行的
[00:09:45.000 --> 00:09:47.000]  所以任何一條法案出來
[00:09:47.000 --> 00:09:50.000]  甚至有些基督徒的議員
[00:09:50.000 --> 00:09:51.000]  推出一條法案說
[00:09:51.000 --> 00:09:53.000]  作為基督徒你應該支持我這條法案
[00:09:53.000 --> 00:09:54.000]  因為這條法案
[00:09:54.000 --> 00:09:56.000]  聖經說是不道德的
[00:09:56.000 --> 00:09:57.000]  你要分清楚
[00:09:57.000 --> 00:09:59.000]  不是所有不道德的東西
[00:09:59.000 --> 00:10:01.000]  都應該變成不合法的
[00:10:01.000 --> 00:10:03.000]  因為有些就應該放在
[00:10:03.000 --> 00:10:04.000]  不道德的層面處理
[00:10:04.000 --> 00:10:06.000]  比你花很多錢
[00:10:06.000 --> 00:10:07.000]  有個campaign立法
[00:10:07.000 --> 00:10:09.000]  之後完全是執行不到
[00:10:09.000 --> 00:10:11.000]  因為第二個issue
[00:10:11.000 --> 00:10:13.000]  就是當你研究立法的時候
[00:10:13.000 --> 00:10:15.000]  你要考慮到的就是
[00:10:15.000 --> 00:10:17.000]  這條法律出來的時候
[00:10:17.000 --> 00:10:19.000]  它的可執行性有多高
[00:10:19.000 --> 00:10:21.000]  而影響你支不支持這條法案
[00:10:21.000 --> 00:10:23.000]  有些法案聽起來是很好的
[00:10:23.000 --> 00:10:24.000]  但是執行不到
[00:10:24.000 --> 00:10:26.000]  你發覺就奴才傷民
[00:10:26.000 --> 00:10:27.000]  at the end沒有效果
[00:10:27.000 --> 00:10:29.000]  但你花很多錢
[00:10:29.000 --> 00:10:33.000]  前一陣子有一篇論文出來寫
[00:10:33.000 --> 00:10:36.000]  他研究一個題目叫
[00:10:36.000 --> 00:10:39.000]  為什麼德國和日本是賣淫合法
[00:10:39.000 --> 00:10:41.000]  這個就是他的題目
[00:10:41.000 --> 00:10:43.000]  因為很多人會覺得
[00:10:43.000 --> 00:10:45.000]  如果你想起賣淫合法
[00:10:45.000 --> 00:10:47.000]  你應該想到意大利或者法國
[00:10:47.000 --> 00:10:49.000]  這些熱情奔放的國家
[00:10:49.000 --> 00:10:50.000]  應該賣淫合法
[00:10:50.000 --> 00:10:52.000]  但偏偏你認為
[00:10:52.000 --> 00:10:53.000]  那些熱情奔放的國家
[00:10:53.000 --> 00:10:55.000]  意大利 法國
[00:10:55.000 --> 00:10:57.000]  他們賣淫是不合法的
[00:10:57.000 --> 00:10:59.000]  但偏偏德國和日本
[00:10:59.000 --> 00:11:01.000]  賣淫是合法的
[00:11:01.000 --> 00:11:02.000]  那些人就覺得奇怪
[00:11:02.000 --> 00:11:03.000]  為什麼呢
[00:11:03.000 --> 00:11:04.000]  因為德國和日本給人的印象
[00:11:04.000 --> 00:11:06.000]  就是他們很苛刻
[00:11:06.000 --> 00:11:08.000]  他們做人很嚴謹
[00:11:08.000 --> 00:11:10.000]  日本人規規矩矩
[00:11:10.000 --> 00:11:13.000]  非常尊重律法
[00:11:13.000 --> 00:11:15.000]  為什麼一個這麼尊重律法
[00:11:15.000 --> 00:11:17.000]  規規矩矩的人原來這麼好色
[00:11:17.000 --> 00:11:19.000]  想不到吧
[00:11:19.000 --> 00:11:21.000]  德國人開玩笑都不跟你開
[00:11:21.000 --> 00:11:23.000]  這麼嚴謹的民族
[00:11:23.000 --> 00:11:25.000]  反而賣淫合法
[00:11:25.000 --> 00:11:27.000]  那些熱情奔放
[00:11:27.000 --> 00:11:29.000]  自由的國家
[00:11:29.000 --> 00:11:31.000]  反而賣淫合法
[00:11:31.000 --> 00:11:33.000]  他研究了很多歷史
[00:11:33.000 --> 00:11:35.000]  最後得出的結論是
[00:11:35.000 --> 00:11:38.000]  因為德國和日本
[00:11:38.000 --> 00:11:41.000]  是一個極度尊重律法的國家
[00:11:41.000 --> 00:11:43.000]  他的意思是
[00:11:43.000 --> 00:11:45.000]  只要你定出來的律法
[00:11:45.000 --> 00:11:47.000]  他們是100%努力遵守
[00:11:47.000 --> 00:11:49.000]  所以在定律法之前
[00:11:49.000 --> 00:11:51.000]  他一定要考慮
[00:11:51.000 --> 00:11:53.000]  這條法例可執行性有多高
[00:11:53.000 --> 00:11:55.000]  如果不高的話
[00:11:55.000 --> 00:11:56.000]  乾脆不定
[00:11:56.000 --> 00:11:57.000]  因為定了出來
[00:11:57.000 --> 00:11:58.000]  如果大家遵守不了
[00:11:58.000 --> 00:12:00.000]  就變成不尊重律法
[00:12:00.000 --> 00:12:03.000]  這就是他們背後的立場
[00:12:03.000 --> 00:12:05.000]  所以為什麼德國和日本
[00:12:05.000 --> 00:12:07.000]  反而一個這麼嚴謹的國家
[00:12:07.000 --> 00:12:09.000]  變成賣淫合法呢
[00:12:09.000 --> 00:12:11.000]  因為最後是沒有變的
[00:12:11.000 --> 00:12:13.000]  日本賣淫合法
[00:12:13.000 --> 00:12:15.000]  他一年的色情產業
[00:12:15.000 --> 00:12:17.000]  大概是160億美金
[00:12:17.000 --> 00:12:19.000]  在中國大陸賣淫是不合法的
[00:12:19.000 --> 00:12:21.000]  但色情的事業
[00:12:21.000 --> 00:12:23.000]  分分鐘是多於160億美金
[00:12:23.000 --> 00:12:25.000]  妓女的人數也不少於日本
[00:12:25.000 --> 00:12:27.000]  只不過分別在哪裡呢
[00:12:27.000 --> 00:12:29.000]  分別就是當你立了法之後
[00:12:29.000 --> 00:12:31.000]  中國大陸的賣淫事業
[00:12:31.000 --> 00:12:32.000]  是在地下進行
[00:12:32.000 --> 00:12:34.000]  那些妓女賺了錢之後
[00:12:34.000 --> 00:12:36.000]  就要交一部分的錢給黑社會
[00:12:36.000 --> 00:12:37.000]  因為黑社會保護她
[00:12:37.000 --> 00:12:38.000]  然後黑社會收到錢
[00:12:38.000 --> 00:12:40.000]  就交一部分的錢給警察
[00:12:40.000 --> 00:12:42.000]  那些黑警
[00:12:42.000 --> 00:12:44.000]  如果你在地上運作
[00:12:44.000 --> 00:12:45.000]  那些妓女賺到錢之後
[00:12:45.000 --> 00:12:47.000]  就要交一部分的錢納稅給政府
[00:12:47.000 --> 00:12:49.000]  這就是唯一的分別
[00:12:49.000 --> 00:12:53.000]  兩個都是一個龐大的賣淫的產業
[00:12:53.000 --> 00:12:55.000]  只不過在地上運行
[00:12:55.000 --> 00:12:56.000]  一個在地下運行
[00:12:56.000 --> 00:12:58.000]  最後都要納稅
[00:12:58.000 --> 00:12:59.000]  一個納稅給政府
[00:12:59.000 --> 00:13:00.000]  一個納稅給黑社會
[00:13:00.000 --> 00:13:01.000]  最後都是一樣的
[00:13:01.000 --> 00:13:03.000]  沒有變
[00:13:03.000 --> 00:13:05.000]  所以日本和德國
[00:13:05.000 --> 00:13:07.000]  就很清楚知道
[00:13:07.000 --> 00:13:08.000]  如果我立了法
[00:13:08.000 --> 00:13:10.000]  控制不了的話
[00:13:10.000 --> 00:13:11.000]  就變成大家
[00:13:11.000 --> 00:13:12.000]  你上有政策
[00:13:12.000 --> 00:13:14.000]  我下有對策
[00:13:14.000 --> 00:13:16.000]  就變成大家反而不尊重律法
[00:13:16.000 --> 00:13:18.000]  乾脆不要立這些法
[00:13:18.000 --> 00:13:20.000]  乾脆給你拿正牌來做
[00:13:20.000 --> 00:13:22.000]  至少我可以管你
[00:13:22.000 --> 00:13:24.000]  這就是那個觀念
[00:13:24.000 --> 00:13:25.000]  所以大家不要認為
[00:13:25.000 --> 00:13:26.000]  因為他們
[00:13:26.000 --> 00:13:28.000]  明白他們背後的觀念是這樣
[00:13:28.000 --> 00:13:30.000]  所以基督徒也一樣
[00:13:30.000 --> 00:13:31.000]  讓我們看到
[00:13:31.000 --> 00:13:32.000]  當我們知道
[00:13:32.000 --> 00:13:34.000]  不道德和不合法之間
[00:13:34.000 --> 00:13:36.000]  我們怎麼去選擇
[00:13:36.000 --> 00:13:38.000]  當我們將一樣不道德的東西
[00:13:38.000 --> 00:13:40.000]  將它立法變成不合法的時候
[00:13:40.000 --> 00:13:41.000]  你要考慮到
[00:13:41.000 --> 00:13:43.000]  將立法的時候
[00:13:43.000 --> 00:13:45.000]  這條法律的可執行性
[00:13:45.000 --> 00:13:47.000]  到底有多高
[00:13:47.000 --> 00:13:48.000]  如果有些法律
[00:13:48.000 --> 00:13:51.000]  你定出來根本執行不了
[00:13:51.000 --> 00:13:52.000]  最後你發覺
[00:13:52.000 --> 00:13:54.000]  那個effect是很大的
[00:13:54.000 --> 00:13:56.000]  就好像
[00:13:56.000 --> 00:13:58.000]  這個19世紀
[00:13:58.000 --> 00:13:59.000]  Early 19世紀
[00:13:59.000 --> 00:14:01.000]  那時的Temperance Movement一樣
[00:14:01.000 --> 00:14:03.000]  就是禁酒運動一樣
[00:14:03.000 --> 00:14:04.000]  禁酒
[00:14:04.000 --> 00:14:05.000]  你發覺
[00:14:05.000 --> 00:14:06.000]  沒有聖靈的帶領
[00:14:06.000 --> 00:14:07.000]  有節制
[00:14:07.000 --> 00:14:08.000]  是禁不了的
[00:14:08.000 --> 00:14:09.000]  禁了酒之後
[00:14:09.000 --> 00:14:11.000]  你知道禁酒的side effect是什麼
[00:14:11.000 --> 00:14:12.000]  禁酒的side effect
[00:14:12.000 --> 00:14:13.000]  就是出了黑手黨
[00:14:13.000 --> 00:14:15.000]  你知道紐約那些
[00:14:15.000 --> 00:14:17.000]  Italian Restaurant
[00:14:17.000 --> 00:14:18.000]  那些酒
[00:14:18.000 --> 00:14:20.000]  那些酒庫不是在地底
[00:14:20.000 --> 00:14:21.000]  就是將來
[00:14:21.000 --> 00:14:22.000]  那時因為政府禁酒
[00:14:22.000 --> 00:14:23.000]  所以所有的東西
[00:14:23.000 --> 00:14:24.000]  變成在地底進行
[00:14:24.000 --> 00:14:26.000]  所以所有當時黑社
[00:14:26.000 --> 00:14:28.000]  意大利黑手黨
[00:14:28.000 --> 00:14:30.000]  所有資金都是賣酒來的
[00:14:30.000 --> 00:14:32.000]  當然有個很好的good effect
[00:14:32.000 --> 00:14:33.000]  就是Temperance Movement
[00:14:33.000 --> 00:14:34.000]  出了AA
[00:14:34.000 --> 00:14:36.000]  AA就不是一個政府機構
[00:14:36.000 --> 00:14:37.000]  AA基本上是
[00:14:37.000 --> 00:14:39.000]  用福音幫人戒酒
[00:14:39.000 --> 00:14:40.000]  這個是反而將福音
