
[00:00:00.000 --> 00:00:00.880]  我們一起看圖稿
[00:06:46.640 --> 00:06:51.160]  有七、八個非、三、八個笨的時候
[00:06:51.160 --> 00:06:57.360]  我心想,簡直是情慾上那種沉溺在當中
[00:06:57.360 --> 00:07:00.480]  我以前在加拿大讀書的時候
[00:07:00.480 --> 00:07:09.320]  那個團契很多人都熱切在蔡英文的長輩之下
[00:07:09.320 --> 00:07:12.000]  在加拿大其實是很強的呼喚工作
[00:07:12.000 --> 00:07:16.320]  在威尼佩是一個很靜、是一個很舒服
[00:07:16.320 --> 00:07:19.880]  沒有那麼多誘惑、很冷
[00:07:19.880 --> 00:07:21.120]  大家用心讀書
[00:07:21.120 --> 00:07:23.680]  但是同時都會回教會
[00:07:23.680 --> 00:07:25.360]  在我的年代的時候
[00:07:25.360 --> 00:07:27.760]  我們香港人的教育、香港人的團契
[00:07:27.760 --> 00:07:31.600]  我想大概有七十至一百人的團契,很多
[00:07:31.600 --> 00:07:34.360]  我們每個人都很用心去侍奉
[00:07:34.360 --> 00:07:37.160]  參與教會的團契
[00:07:37.160 --> 00:07:40.720]  還有參加師班、做組長、上主修學
[00:07:40.720 --> 00:07:43.720]  很投入、很侍奉
[00:07:43.720 --> 00:07:47.240]  但是有一天都要離開的時間
[00:07:47.240 --> 00:07:50.040]  我們現在在加拿大讀書的時候
[00:07:50.040 --> 00:07:52.880]  都要回到香港工作
[00:07:52.880 --> 00:07:56.320]  因為這是我們的家鄉的時候
[00:07:56.320 --> 00:07:58.720]  在我的目測當中
[00:07:58.720 --> 00:08:02.880]  有十個,我想有兩個仍然都是回教會
[00:08:02.880 --> 00:08:05.920]  有八個通常都沒怎麼回教會
[00:08:05.920 --> 00:08:09.880]  我記得有一對年輕的情侶
[00:08:09.880 --> 00:08:13.760]  在教會的時候是很熱心去侍奉的
[00:08:13.760 --> 00:08:15.560]  不過回到香港的時候
[00:08:15.560 --> 00:08:18.440]  香港就是生活
[00:08:18.440 --> 00:08:21.560]  兩個又結了婚
[00:08:21.560 --> 00:08:26.760]  不過家裡有很強的拜祖先的文化
[00:08:26.760 --> 00:08:29.200]  所以在過程當中
[00:08:29.200 --> 00:08:31.200]  他們都會順服父母的
[00:08:31.200 --> 00:08:33.040]  孝順父母或者順服父母
[00:08:33.040 --> 00:08:36.120]  都會陪家人拜偶像
[00:08:36.120 --> 00:08:38.440]  或者拜祖先
[00:08:38.440 --> 00:08:40.040]  出來工作的時候
[00:08:40.040 --> 00:08:42.440]  發覺都很忙,都要謀生
[00:08:42.440 --> 00:08:46.720]  開始間中不回崇拜
[00:08:46.720 --> 00:08:48.440]  甚至當結了婚之後
[00:08:48.440 --> 00:08:50.360]  有小朋友的時候
[00:08:50.360 --> 00:08:52.240]  以小朋友為中心
[00:08:52.240 --> 00:08:53.840]  帶小朋友學那樣東西
[00:08:53.840 --> 00:08:55.440]  又學完踢球或者學音樂
[00:08:55.440 --> 00:08:58.040]  學完音樂之後又補習、補數
[00:08:58.040 --> 00:09:03.760]  沒時間帶小朋友甚至整個家庭回教會
[00:09:03.760 --> 00:09:05.320]  當回到香港的時候
[00:09:05.320 --> 00:09:08.160]  其實很多的挑戰、很多的衝擊
[00:09:08.160 --> 00:09:12.920]  以致不能夠堅持在上帝面前敬拜主
[00:09:12.920 --> 00:09:15.400]  反而有很多的妥協
[00:09:15.400 --> 00:09:17.520]  妥協和家人的妥協
[00:09:17.520 --> 00:09:19.480]  就是信仰上的妥協
[00:09:19.480 --> 00:09:21.760]  或者同一社會文化上的妥協
[00:09:21.760 --> 00:09:24.400]  甚至自己情緒上的妥協
[00:09:24.400 --> 00:09:27.360]  而偏離主導
[00:09:27.360 --> 00:09:28.320]  其實生活當中
[00:09:28.320 --> 00:09:30.320]  我覺得在加拿大生活的時候
[00:09:30.320 --> 00:09:31.680]  其實很專注的
[00:09:31.680 --> 00:09:32.840]  回到香港的時候
[00:09:32.840 --> 00:09:37.320]  反而令到我們更加有上的吸引
[00:09:37.320 --> 00:09:39.480]  令到我們不能夠再回教會
[00:09:39.480 --> 00:09:41.960]  或者專注於上帝的道路
[00:09:41.960 --> 00:09:43.680]  我想不單止這個歷程
[00:09:43.680 --> 00:09:46.440]  其實在澳洲可能都會是
[00:09:46.440 --> 00:09:48.840]  譬如在澳洲的時候
[00:09:48.840 --> 00:09:50.640]  我們有自己的香港人文化
[00:09:50.640 --> 00:09:51.960]  或者中國人文化
[00:09:51.960 --> 00:09:57.120]  或者甚至有我們信仰的文化當中
[00:09:57.120 --> 00:10:00.360]  來到澳洲有什麼挑戰呢
[00:10:00.360 --> 00:10:04.480]  我想另一個挑戰就是文化上的挑戰
[00:10:04.480 --> 00:10:06.120]  可能香港都會有
[00:10:06.120 --> 00:10:07.320]  例如是什麼呢
[00:10:07.320 --> 00:10:10.200]  Halloween 萬聖節
[00:10:10.200 --> 00:10:14.040]  萬聖節在香港或者澳洲都很普遍的
[00:10:14.040 --> 00:10:16.040]  學校就會跟你說
[00:10:16.040 --> 00:10:18.320]  很多鬼鬼怪怪都很小事
[00:10:18.320 --> 00:10:20.080]  弄一個南瓜
[00:10:20.080 --> 00:10:23.040]  或者弄一些佈置
[00:10:23.040 --> 00:10:25.280]  通常就是鬼的佈置
[00:10:25.280 --> 00:10:26.800]  學校開始
[00:10:26.800 --> 00:10:28.840]  香港的學校就不會傳
[00:10:28.840 --> 00:10:30.600]  我要講鬼的
[00:10:30.600 --> 00:10:32.440]  就是玩鬼的東西
[00:10:32.440 --> 00:10:37.040]  令到家長和小朋友很擔心
[00:10:37.040 --> 00:10:38.600]  他們另一個手法是什麼呢
[00:10:38.600 --> 00:10:40.800]  我們玩角色扮演
[00:10:40.800 --> 00:10:45.520]  或者那些不一定是扮鬼扮馬的
[00:10:45.520 --> 00:10:47.840]  你弄一個美國隊長也行
[00:10:47.840 --> 00:10:49.640]  你弄一個超人也行
[00:10:49.640 --> 00:10:51.120]  或者弄一個哈洛奇特也行
[00:10:51.120 --> 00:10:53.720]  總之你扮鬼扮馬不一定扮東西的
[00:10:53.720 --> 00:10:56.240]  務求就是小朋友在Halloween
[00:10:56.240 --> 00:10:57.920]  或者萬聖節當中
[00:10:57.920 --> 00:10:59.080]  都能夠投入
[00:10:59.080 --> 00:11:02.240]  能夠參與
[00:11:02.240 --> 00:11:05.000]  這些文化改頭換面
[00:11:05.000 --> 00:11:07.880]  讓我們能夠讓更多人妥協
[00:11:07.880 --> 00:11:09.840]  去參與這個Halloween的文化
[00:11:09.840 --> 00:11:11.680]  萬聖節的文化
[00:11:11.680 --> 00:11:14.800]  目的就是純粹為了玩
[00:11:14.800 --> 00:11:16.920]  但是同時對於我們的信仰來說
[00:11:16.920 --> 00:11:18.560]  我們要謹守
[00:11:18.560 --> 00:11:20.360]  我們很多時候在生命當中
[00:11:20.360 --> 00:11:27.000]  為何不被妥協而去持守我們的信仰
[00:11:27.000 --> 00:11:28.040]  正如我剛才所講
[00:11:28.040 --> 00:11:29.760]  那兩位年青人
[00:11:29.760 --> 00:11:32.600]  昔日在教當中是很敬虔的
[00:11:32.600 --> 00:11:33.840]  很多是侍奉的
[00:11:33.840 --> 00:11:35.800]  讀了很多聖經的
[00:11:35.800 --> 00:11:38.280]  但是因為在生活上的妥協
[00:11:38.280 --> 00:11:39.200]  文化上的妥協
[00:11:39.200 --> 00:11:40.880]  甚至自己家庭上
[00:11:40.880 --> 00:11:42.320]  很多想做的事
[00:11:42.320 --> 00:11:44.200]  很想做到的事
[00:11:44.200 --> 00:11:45.640]  因為妥協緣故
[00:11:45.640 --> 00:11:48.560]  而沒有再跟隨上帝的道
[00:11:48.560 --> 00:11:50.920]  今天在你的生命當中
[00:11:50.920 --> 00:11:53.600]  你有甚麼是已經妥協了的
[00:11:53.600 --> 00:11:58.320]  沒有持守上帝的道的呢
[00:11:58.320 --> 00:12:00.560]  所羅門在聖經文當中
[00:12:00.560 --> 00:12:01.400]  在第四節
[00:12:01.400 --> 00:12:03.040]  好像仿佛聖經刻意說
[00:12:03.040 --> 00:12:05.160]  所羅門年老的時候
[00:12:05.160 --> 00:12:06.080]  我就在想
[00:12:06.080 --> 00:12:08.320]  是不是年老就有問題的呢
[00:12:08.320 --> 00:12:09.320]  是不是年老
[00:12:09.320 --> 00:12:11.200]  所以年紀老的時候
[00:12:11.200 --> 00:12:13.680]  以至偏離上帝的呢
[00:12:13.680 --> 00:12:17.040]  你看看聶王記上三章七節的時候
[00:12:17.040 --> 00:12:18.800]  在三章刻意說
[00:12:18.800 --> 00:12:20.400]  其實所羅門年老的時候
[00:12:20.400 --> 00:12:22.800]  在一個基片發夢的時候
[00:12:22.800 --> 00:12:23.520]  所羅門說
[00:12:23.520 --> 00:12:24.360]  我年幼
[00:12:24.360 --> 00:12:26.680]  我不知道怎樣去服侍你
[00:12:26.680 --> 00:12:30.000]  所以上帝你可不可以給我智慧
[00:12:30.000 --> 00:12:31.240]  在年幼當中
[00:12:31.240 --> 00:12:32.240]  知道自己不行
[00:12:32.240 --> 00:12:33.600]  你祈求上帝
[00:12:33.600 --> 00:12:34.640]  但是到了年老
[00:12:34.640 --> 00:12:37.720]  是不是因為甚麼問題而來呢
[00:12:37.720 --> 00:12:39.320]  他刻意說因為年老
[00:12:39.320 --> 00:12:42.920]  而偏離了上帝呢
[00:12:42.920 --> 00:12:46.840]  整段經文有很多事情是正在發生的
[00:12:46.840 --> 00:12:49.600]  出現了六次「心」字
[00:12:49.600 --> 00:12:50.600]  譬如在第二節說
[00:12:50.600 --> 00:12:51.720]  你門的心
[00:12:51.720 --> 00:12:52.800]  第三節說
[00:12:52.800 --> 00:12:54.400]  你他的心
[00:12:54.400 --> 00:12:56.840]  第四節我自己再翻譯多一點給大家
[00:12:56.840 --> 00:12:58.720]  因為在中文看不到的
[00:12:58.720 --> 00:13:00.200]  在所羅門年老的時候
[00:13:00.200 --> 00:13:03.880]  他的妻子將他的心轉來跟從別臣
[00:13:03.880 --> 00:13:06.280]  他的心完全沒有真誠
[00:13:06.280 --> 00:13:07.360]  向著夜和華
[00:13:07.360 --> 00:13:11.600]  他的臣正如他父親大衛的心一樣
[00:13:11.600 --> 00:13:15.080]  在第九節說他的心
[00:13:15.080 --> 00:13:19.640]  在整個一節照第十三節
[00:13:19.640 --> 00:13:21.920]  不斷說「心」字
[00:13:21.920 --> 00:13:24.640]  年老跟「心」有甚麼關係呢
[00:13:24.640 --> 00:13:28.040]  而同時出現了誘惑
[00:13:28.040 --> 00:13:29.440]  第二、第三、第四節
[00:13:29.440 --> 00:13:31.520]  出現了四次跟「偏離」
[00:13:31.520 --> 00:13:33.160]  在粵文當中同一個字
[00:13:33.160 --> 00:13:34.960]  出現了四次
[00:13:34.960 --> 00:13:40.960]  再一個解釋更清楚就是「轉離」
[00:13:40.960 --> 00:13:42.800]  當我們的心
[00:13:42.800 --> 00:13:46.360]  我想很多時候不是關年老與否的事
[00:13:46.360 --> 00:13:47.880]  在我成長的歷程當中
[00:13:47.880 --> 00:13:49.560]  有很多長輩
[00:13:49.560 --> 00:13:51.880]  尤其是熟齡的長輩都令我很敬佩
[00:13:51.880 --> 00:13:53.280]  在他身上能夠見到
[00:13:53.280 --> 00:13:55.520]  如何做一個基督徒
[00:13:55.520 --> 00:13:58.480]  或者如何做一個好的見證
[00:13:58.480 --> 00:14:02.720]  讓我能夠很敬佩長輩
[00:14:02.720 --> 00:14:03.720]  能夠聽他們說
[00:14:03.720 --> 00:14:06.520]  在他身上學到很多東西
[00:14:06.520 --> 00:14:09.960]  反而是在說「心」的問題
[00:14:09.960 --> 00:14:12.960]  「心」轉離了上帝
[00:14:12.960 --> 00:14:15.480]  在一篇文章中刻意說
[00:14:15.480 --> 00:14:21.280]  因為「心」的緣故而「偏離」了上帝
[00:14:21.280 --> 00:14:24.720]  在十二月份的時候
[00:14:24.720 --> 00:14:29.200]  我太太回到香港
[00:14:29.200 --> 00:14:30.360]  我一個人
[00:14:30.360 --> 00:14:33.880]  可以到處試試玩一下
[00:14:33.880 --> 00:14:35.560]  或者我喜歡玩
[00:14:35.560 --> 00:14:36.880]  其中一個是釣魚
[00:14:36.880 --> 00:14:40.720]  我嘗試玩釣魚
[00:14:40.720 --> 00:14:42.080]  釣魚的時候
[00:14:42.080 --> 00:14:43.840]  其實我並不熟悉
[00:14:43.840 --> 00:14:46.560]  我發現釣魚見過兩次
[00:14:46.560 --> 00:14:49.920]  無論在坐艇或岸上釣魚
[00:14:49.920 --> 00:14:51.720]  我見到有人釣魚釣進去
[00:14:51.720 --> 00:14:53.880]  有一條很長的魚竿
[00:14:53.880 --> 00:14:55.960]  有一條鯉魚釣進去
[00:14:55.960 --> 00:14:57.560]  釣釣釣的時候
[00:14:57.560 --> 00:14:58.800]  沒有東西釣
[00:14:58.800 --> 00:15:00.280]  有些人沒有東西釣
[00:15:00.280 --> 00:15:01.480]  那怎麼辦呢
[00:15:01.480 --> 00:15:03.240]  我見到他旁邊有一個桶
[00:15:03.240 --> 00:15:05.040]  我不知道你有沒有見過有一個桶
[00:15:05.040 --> 00:15:08.240]  有個湯殼這麼大的
[00:15:08.240 --> 00:15:09.520]  一撈
[00:15:09.520 --> 00:15:11.520]  然後一撒進去
[00:15:11.520 --> 00:15:12.200]  我問他怎麼回事
[00:15:12.200 --> 00:15:13.760]  為什麼在釣魚呢
[00:15:13.760 --> 00:15:14.880]  為什麼有個桶
[00:15:14.880 --> 00:15:16.160]  然後有個湯殼
[00:15:16.160 --> 00:15:16.760]  一撈
[00:15:16.760 --> 00:15:17.160]  撒進去
[00:15:17.160 --> 00:15:18.120]  我走過去看看
[00:15:18.120 --> 00:15:20.480]  那次在岸上釣魚的時候
[00:15:20.480 --> 00:15:23.680]  原來全都是魚餌
[00:15:23.680 --> 00:15:24.320]  我心想
[00:15:24.320 --> 00:15:27.440]  為什麼這個人這麼大
[00:15:27.440 --> 00:15:28.040]  耍金錢
[00:15:28.040 --> 00:15:29.240]  或者這麼慷慨
[00:15:29.240 --> 00:15:32.600]  扔了魚餌進去呢
[00:15:32.600 --> 00:15:33.960]  原來
[00:15:33.960 --> 00:15:35.960]  當你拋魚餌的時候 它的目的是什麼呢?
[00:15:35.960 --> 00:15:37.960]  是吸引魚走過來
[00:15:37.960 --> 00:15:39.960]  魚走過來吃
[00:15:39.960 --> 00:15:42.960]  如果魚不走過來 魚怎麼釣呢?
[00:15:42.960 --> 00:15:48.960]  當你用湯匙把魚餌撒進去的時候
[00:15:48.960 --> 00:15:50.960]  魚會自然來
[00:15:50.960 --> 00:15:52.960]  就可以釣到大魚
[00:15:52.960 --> 00:15:57.960]  魚呢 我心想 好棒啊
[00:15:57.960 --> 00:15:59.960]  那裡又可以吃 那裡又可以吃
[00:15:59.960 --> 00:16:00.960]  那裡又可以吃 那裡又可以吃
[00:16:00.960 --> 00:16:03.960]  吃著吃著就會上釣
[00:16:03.960 --> 00:16:06.960]  其實我們的心也一樣
[00:16:06.960 --> 00:16:09.960]  我們面對誘惑
[00:16:09.960 --> 00:16:13.960]  面對一些誘惑的時候
[00:16:13.960 --> 00:16:17.960]  其實我們沒所謂
[00:16:17.960 --> 00:16:20.960]  先做一下 先試一下
[00:16:20.960 --> 00:16:22.960]  看一點AV沒問題
[00:16:22.960 --> 00:16:23.960]  一點而已
[00:16:23.960 --> 00:16:27.960]  或者在過程當中
[00:16:27.960 --> 00:16:30.960]  有很多貪心
[00:16:30.960 --> 00:16:32.960]  一點點而已 沒所謂的
[00:16:32.960 --> 00:16:35.960]  或者我們玩一點Halloween活動
[00:16:35.960 --> 00:16:39.960]  一點點沒問題的
[00:16:39.960 --> 00:16:41.960]  但是當我們一點點
[00:16:41.960 --> 00:16:43.960]  再一點點
[00:16:43.960 --> 00:16:45.960]  再一點點的時候
[00:16:45.960 --> 00:16:48.960]  是不是真的還是一點點呢?
[00:16:48.960 --> 00:16:50.960]  我們的心好像覺得
[00:16:50.960 --> 00:16:53.960]  那些一點點
[00:16:53.960 --> 00:16:55.960]  有時候不上教會也沒問題的
[00:16:55.960 --> 00:16:56.960]  我們去旅行
[00:16:56.960 --> 00:16:59.960]  或者我們一年一次都可以
[00:16:59.960 --> 00:17:01.960]  但是有時候我們可能是
[00:17:01.960 --> 00:17:03.960]  正常的 放假嘛 是不是?
[00:17:03.960 --> 00:17:04.960]  但是有時候就是
[00:17:04.960 --> 00:17:06.960]  今天有小朋友
[00:17:06.960 --> 00:17:08.960]  我家裡的小朋友
[00:17:08.960 --> 00:17:10.960]  有些好像是開沙會
[00:17:10.960 --> 00:17:13.960]  回去一次沒問題的
[00:17:13.960 --> 00:17:15.960]  今天我們家裡有些時間表
[00:17:15.960 --> 00:17:18.960]  有些活動去旅行都沒問題的
[00:17:18.960 --> 00:17:19.960]  我們很多時候
[00:17:19.960 --> 00:17:21.960]  容讓自己有一點點的
[00:17:21.960 --> 00:17:22.960]  很多妥協的
[00:17:22.960 --> 00:17:26.960]  我們一點一點的時候
[00:17:26.960 --> 00:17:28.960]  就好像一條魚一樣
[00:17:28.960 --> 00:17:30.960]  那裡有一點點吃 吃一下
[00:17:30.960 --> 00:17:33.960]  那裡有一點點吃 又吃一下
[00:17:33.960 --> 00:17:36.960]  偶然 久而久之的話
[00:17:36.960 --> 00:17:38.960]  其實我們好像很容易
[00:17:38.960 --> 00:17:40.960]  被人釣上來
[00:17:40.960 --> 00:17:43.960]  我們的心 弟兄姊妹
[00:17:43.960 --> 00:17:45.960]  我們的心很多時候
[00:17:45.960 --> 00:17:48.960]  被誘惑一步一步
[00:17:48.960 --> 00:17:53.960]  是令我們轉離向其他東西
[00:17:53.960 --> 00:17:54.960]  轉離上帝
[00:17:54.960 --> 00:17:56.960]  而去可能轉向自己
