
[00:00:00.000 --> 00:00:02.140]  剛才的思綱很好
[00:07:49.860 --> 00:07:51.460]  他都長大了
[00:07:51.460 --> 00:07:52.820]  我提醒他
[00:07:52.820 --> 00:07:55.260]  「可能你也要看看醫生」
[00:07:55.260 --> 00:07:58.360]  因為都持續了一段時間
[00:07:58.360 --> 00:07:59.840]  雖然他工作很忙
[00:07:59.840 --> 00:08:03.240]  但我催促之下他也去了看醫生
[00:08:03.240 --> 00:08:06.080]  一個星期後我就問他
[00:08:06.080 --> 00:08:07.780]  「有沒有好到?」
[00:08:07.780 --> 00:08:09.380]  他說「沒有好到」
[00:08:09.380 --> 00:08:10.940]  你試想想很嚴重
[00:08:10.940 --> 00:08:14.680]  看完醫生連續幾個星期
[00:08:14.680 --> 00:08:16.920]  我說「你吃了什麼藥」
[00:08:16.920 --> 00:08:18.720]  我也想了解一下他吃了什麼藥
[00:08:18.720 --> 00:08:19.980]  他說「我沒吃藥」
[00:08:19.980 --> 00:08:22.420]  我說「什麼?為什麼你沒吃藥?」
[00:08:22.420 --> 00:08:23.520]  他說「是啊」
[00:08:23.520 --> 00:08:24.660]  你知道外國那些
[00:08:24.660 --> 00:08:26.000]  他們給了一個藥方
[00:08:26.000 --> 00:08:29.260]  他們要去撿藥
[00:08:29.260 --> 00:08:32.900]  他說「我沒時間去買藥」
[00:08:32.900 --> 00:08:37.080]  我說「難怪你也繼續痛」
[00:08:37.080 --> 00:08:39.500]  很多時候我們也會
[00:08:39.500 --> 00:08:40.740]  我們有些問題
[00:08:40.740 --> 00:08:42.820]  我們去看了醫生
[00:08:42.820 --> 00:08:44.940]  如果我們看了醫生不吃藥
[00:08:44.940 --> 00:08:47.940]  那對你的病情有沒有幫助呢?
[00:08:47.940 --> 00:08:48.980]  我相信
[00:08:48.980 --> 00:08:51.660]  我相信醫生會醫好我
[00:08:51.660 --> 00:08:53.620]  「不過你沒去吃藥」
[00:08:53.620 --> 00:08:55.060]  「那有沒有用?」
[00:08:55.060 --> 00:08:56.460]  「沒用的」
[00:08:56.460 --> 00:08:58.860]  後來我也說「你是忙」
[00:08:58.860 --> 00:09:00.960]  「不過你快點去吃藥」
[00:09:00.960 --> 00:09:03.700]  「因為你這樣下去也沒辦法」
[00:09:03.700 --> 00:09:05.900]  另外大家都知道
[00:09:05.900 --> 00:09:08.240]  你也知道香港人很喜歡減肥
[00:09:08.240 --> 00:09:10.400]  減肥了很多種方法
[00:09:10.400 --> 00:09:12.080]  或者不要說減肥
[00:09:12.080 --> 00:09:14.440]  或者我們每個人都想健康一點
[00:09:14.440 --> 00:09:16.740]  尤其是到了這個年紀
[00:09:16.740 --> 00:09:19.340]  很多時候我們聽了很多的意見
[00:09:19.340 --> 00:09:20.740]  很多的看法
[00:09:20.740 --> 00:09:22.660]  其實減肥也不離開
[00:09:22.660 --> 00:09:24.460]  你吃東西小心一點
[00:09:24.460 --> 00:09:26.260]  多做點運動
[00:09:26.260 --> 00:09:30.260]  但為什麼很多人都減不了肥?
[00:09:30.260 --> 00:09:31.360]  落實不了
[00:09:31.360 --> 00:09:32.200]  是不是?
[00:09:32.200 --> 00:09:33.900]  或者他說完的話
[00:09:33.900 --> 00:09:36.360]  「嗯,我也不知道是否正確」
[00:09:36.360 --> 00:09:38.040]  「不知道行不行」
[00:09:38.040 --> 00:09:41.400]  很多時候可能我的兒子也會覺得
[00:09:41.400 --> 00:09:43.200]  「那個醫生不知道是否相信得過」
[00:09:43.200 --> 00:09:44.940]  「哎呀,藥也是不行不行」
[00:09:44.940 --> 00:09:47.080]  所以原來這個也反映出
[00:09:47.080 --> 00:09:50.680]  其實可能是沒有很大的信心
[00:09:50.680 --> 00:09:53.180]  在下一段的經文
[00:09:53.180 --> 00:09:55.080]  剛才大兄也讀了
[00:09:55.080 --> 00:09:56.520]  他說「很重要」
[00:09:56.520 --> 00:09:58.920]  原來很多人都相信的
[00:09:58.920 --> 00:10:00.520]  他在這裡特別提到
[00:10:00.520 --> 00:10:02.220]  鬼魔也相信的
[00:10:02.220 --> 00:10:03.160]  是不是?
[00:10:03.160 --> 00:10:05.160]  還信得發抖
[00:10:05.160 --> 00:10:06.560]  什麼意思?
[00:10:06.560 --> 00:10:09.260]  我們想起上帝、想起神
[00:10:09.260 --> 00:10:11.500]  我們每個人可能不同
[00:10:11.500 --> 00:10:13.600]  有些人覺得很敬畏
[00:10:13.600 --> 00:10:16.200]  有些人覺得我們很親切
[00:10:16.200 --> 00:10:19.440]  但是原來信神的人
[00:10:19.440 --> 00:10:20.680]  信神的鬼魔
[00:10:20.680 --> 00:10:21.780]  在這裡所說
[00:10:21.780 --> 00:10:22.580]  可以發抖
[00:10:22.580 --> 00:10:24.380]  為什麼會發抖呢?
[00:10:24.380 --> 00:10:25.580]  因為他不是不相信
[00:10:25.580 --> 00:10:27.480]  他相信祂的存在
[00:10:27.480 --> 00:10:31.380]  但是他不相信的就是
[00:10:31.380 --> 00:10:32.080]  看你信不信
[00:10:32.080 --> 00:10:34.420]  就是其實你如何反應
[00:10:34.420 --> 00:10:35.120]  是不是?
[00:10:35.120 --> 00:10:37.160]  神為你做了這些事情
[00:10:37.160 --> 00:10:39.260]  對鬼魔來說就是對付我
[00:10:39.260 --> 00:10:40.700]  我當然害怕
[00:10:40.700 --> 00:10:44.360]  但是當我們其實如何去反應的時候
[00:10:44.360 --> 00:10:48.860]  才真正反映出我們的信心是什麼
[00:10:48.860 --> 00:10:52.080]  因為信心和行為是相輔相成的
[00:10:52.080 --> 00:10:53.040]  是不是?
[00:10:53.040 --> 00:10:59.720]  因為原來信心是靠行為才能成全的
[00:10:59.720 --> 00:11:02.120]  這個大家都不難理解
[00:11:02.120 --> 00:11:03.960]  我相信大家可能
[00:11:03.960 --> 00:11:06.160]  特別家裡有小朋友
[00:11:06.160 --> 00:11:08.260]  你一定會很愛你的弟弟
[00:11:08.260 --> 00:11:10.620]  做家長的事不會
[00:11:10.620 --> 00:11:13.160]  一定可能很愛你的太太
[00:11:13.160 --> 00:11:16.360]  但是如果你說很愛你的弟弟
[00:11:16.360 --> 00:11:18.300]  但是你很忙的
[00:11:18.300 --> 00:11:20.240]  可能工作很忙
[00:11:20.240 --> 00:11:21.940]  可能侍奉很忙
[00:11:21.940 --> 00:11:23.540]  很多事情很忙
[00:11:23.540 --> 00:11:24.700]  最後
[00:11:24.700 --> 00:11:26.440]  你不是真的可以花很多時間
[00:11:26.440 --> 00:11:27.880]  給你的弟弟
[00:11:27.880 --> 00:11:31.280]  你不是真的可以對你的弟弟很有耐性
[00:11:31.280 --> 00:11:34.240]  你讓他們覺得你很浪費他們的時間
[00:11:34.240 --> 00:11:35.920]  到最後
[00:11:35.920 --> 00:11:38.260]  我們可不可以成全到
[00:11:38.260 --> 00:11:41.080]  我們對這些小朋友的愛呢?
[00:11:41.080 --> 00:11:42.960]  很多事情我們知道
[00:11:42.960 --> 00:11:45.800]  聖經告訴我們要怎麼做
[00:11:45.800 --> 00:11:48.800]  但是要真真正正成全到
[00:11:48.800 --> 00:11:52.900]  讓我們真真正正得到祝福的時候
[00:11:52.900 --> 00:11:54.900]  我們真的要去走
[00:11:54.900 --> 00:11:57.100]  走的時候當然有很多問題
[00:11:57.100 --> 00:11:59.740]  當然可能走兩步會退一步
[00:11:59.740 --> 00:12:02.280]  但是走就是那個重要的
[00:12:02.280 --> 00:12:05.080]  我不是說你一走一步即天
[00:12:05.080 --> 00:12:06.240]  登天
[00:12:06.240 --> 00:12:09.380]  要養育一個小朋友不容易
[00:12:09.380 --> 00:12:12.680]  要維持一個很好的夫妻關係是不容易
[00:12:12.680 --> 00:12:14.720]  但是我們是不是憑著信
[00:12:14.720 --> 00:12:16.960]  就令我們的行為
[00:12:16.960 --> 00:12:19.660]  來去成全這個信
[00:12:19.660 --> 00:12:22.060]  以致我們能夠真真正正
[00:12:22.060 --> 00:12:25.560]  完完全全得到在關係裡面的祝福
[00:12:25.560 --> 00:12:27.500]  得到神的認許呢?
[00:12:27.500 --> 00:12:30.100]  所以今天我想跟大家說
[00:12:30.100 --> 00:12:33.080]  其實在我們最初
[00:12:33.080 --> 00:12:34.580]  因信清義
[00:12:34.580 --> 00:12:36.140]  到最後
[00:12:36.140 --> 00:12:39.380]  就是完完全全在神面前
[00:12:39.380 --> 00:12:41.720]  得到祂的讚賞
[00:12:41.720 --> 00:12:45.520]  中間有一段的距離
[00:12:45.520 --> 00:12:48.720]  我們就叫做成長和成勝
[00:12:48.720 --> 00:12:51.560]  今天我想跟大家說說
[00:12:51.560 --> 00:12:54.000]  構成這些距離的原因
[00:12:54.000 --> 00:12:58.460]  以及有什麼神賜給我們的方法
[00:12:58.460 --> 00:13:03.140]  令到我們這個距離可以縮短呢?
[00:13:03.140 --> 00:13:07.340]  我會用三個大家都很熟悉的聖經故事
[00:13:07.340 --> 00:13:09.140]  第一個的距離
[00:13:09.140 --> 00:13:12.920]  是很多時候我們不明白
[00:13:12.920 --> 00:13:15.780]  很多時候我們看了聖經
[00:13:15.780 --> 00:13:17.220]  我們不明白
[00:13:17.220 --> 00:13:19.180]  我們就有一個 tendency 就是
[00:13:19.180 --> 00:13:22.020]  那不明白我就不去做了
[00:13:22.020 --> 00:13:23.520]  是不是?
[00:13:23.520 --> 00:13:25.860]  聖經有一個很好的例子
[00:13:25.860 --> 00:13:27.860]  大家都記得奶晚
[00:13:27.860 --> 00:13:31.460]  奶晚是一個很大的元帥
[00:13:31.460 --> 00:13:32.540]  當時呢
[00:13:32.540 --> 00:13:35.400]  其實他當時是德寧
[00:13:35.400 --> 00:13:39.340]  以色列其實是處於下風的
[00:13:39.340 --> 00:13:43.000]  所以當時因為他是一個
[00:13:43.000 --> 00:13:46.340]  很有能力的將軍
[00:13:46.340 --> 00:13:48.840]  但是呢美中不足的一件事
[00:13:48.840 --> 00:13:51.120]  就是他患了大麻瘋
[00:13:51.120 --> 00:13:53.680]  當時來說你患了大麻瘋
[00:13:53.680 --> 00:13:56.620]  是一個絕症來的
[00:13:56.620 --> 00:13:58.260]  但是有些人就提他
[00:13:58.260 --> 00:14:00.060]  他有一個侍女就提他
[00:14:00.060 --> 00:14:01.920]  不如你去以色列
[00:14:01.920 --> 00:14:03.660]  他們有一些的聖人
[00:14:03.660 --> 00:14:05.100]  有一些的侍者
[00:14:05.100 --> 00:14:07.200]  可能可以醫好你
[00:14:07.200 --> 00:14:08.360]  這件事來說
[00:14:08.360 --> 00:14:13.240]  他的皇帝也立刻派了很多的禮物
[00:14:13.240 --> 00:14:16.380]  隨團去見伊利沙
[00:14:16.380 --> 00:14:18.840]  但是伊利沙竟然沒有親自見他
[00:14:18.840 --> 00:14:20.340]  只是派了一個侍者
[00:14:20.340 --> 00:14:21.540]  就跟他說
[00:14:21.540 --> 00:14:22.620]  你去約丹河
[00:14:22.620 --> 00:14:23.920]  沐浴七次
[00:14:23.920 --> 00:14:26.320]  你的浴就必定復原
[00:14:26.320 --> 00:14:28.160]  你就可以潔淨了
[00:14:28.160 --> 00:14:32.660]  但是奶晚的反應是非常憤怒
[00:14:32.660 --> 00:14:33.860]  為什麼呢
[00:14:33.860 --> 00:14:37.160]  奶晚他是做大事的人
[00:14:37.160 --> 00:14:41.260]  每一件事他都覺得是大鑼大鼓大場面
[00:14:41.260 --> 00:14:42.960]  我一大隊人
[00:14:42.960 --> 00:14:44.660]  給了這麼多禮物
[00:14:44.660 --> 00:14:45.700]  來朝見你
[00:14:45.700 --> 00:14:47.600]  第一你不見我
[00:14:47.600 --> 00:14:49.300]  那已經很不給面子了
[00:14:49.300 --> 00:14:51.100]  第二什麼
[00:14:51.100 --> 00:14:54.240]  你叫我去你那個約丹河
[00:14:54.240 --> 00:14:56.320]  沐浴七次
[00:14:56.320 --> 00:14:58.520]  第一他不明白
[00:14:58.520 --> 00:15:00.180]  他第一個反應是
[00:15:00.180 --> 00:15:03.420]  大馬士革的亞馬那河
[00:15:03.420 --> 00:15:05.620]  和法爾法河
[00:15:05.620 --> 00:15:08.800]  不是比以色列一切的水更好嗎
[00:15:08.800 --> 00:15:11.320]  在我家鄉那兩條河
[00:15:11.320 --> 00:15:12.400]  更加壯觀
[00:15:12.400 --> 00:15:13.440]  更加大
[00:15:13.440 --> 00:15:14.800]  更加漂亮
[00:15:14.800 --> 00:15:17.400]  你為什麼要我來你那裡
[00:15:17.400 --> 00:15:20.200]  於尊降貴 你親自來見我
[00:15:20.200 --> 00:15:21.740]  你祈禱一下
[00:15:21.740 --> 00:15:23.600]  那我就會好
[00:15:23.600 --> 00:15:25.280]  我們很多時候對神
[00:15:25.280 --> 00:15:26.980]  去處理方法
[00:15:26.980 --> 00:15:31.180]  有很多我們自己本身的期望
[00:15:31.180 --> 00:15:32.880]  一件這麼大的事
[00:15:32.880 --> 00:15:36.080]  你當然要我禁食
[00:15:36.080 --> 00:15:38.980]  要我不斷祈禱
[00:15:38.980 --> 00:15:40.620]  但是這麼簡單
[00:15:40.620 --> 00:15:42.900]  就去約丹河
[00:15:42.900 --> 00:15:44.620]  所以他不明白
[00:15:44.620 --> 00:15:47.700]  他就去爭拗 和神爭拗
[00:15:47.700 --> 00:15:49.160]  這件這麼大的事
[00:15:49.160 --> 00:15:50.840]  我們很多時候都爭拗
[00:15:50.840 --> 00:15:52.660]  很多時候都和神爭拗
[00:15:52.660 --> 00:15:55.500]  我記得我小時候
[00:15:55.500 --> 00:15:57.140]  派中學的時候
[00:15:57.140 --> 00:16:00.380]  派了一間也不是我第一個志願的學校
[00:16:00.380 --> 00:16:04.180]  那時覺得神應該會照顧我
[00:16:04.180 --> 00:16:06.080]  也不是第二志願
[00:16:06.080 --> 00:16:08.480]  更加不是第三志願
[00:16:08.480 --> 00:16:10.180]  所以對我來說
[00:16:10.180 --> 00:16:13.320]  為什麼這樣作弄我
[00:16:13.320 --> 00:16:17.520]  但是很不情不願入讀那間學校之後
[00:16:17.520 --> 00:16:19.820]  才發覺原來那間學校
[00:16:19.820 --> 00:16:21.300]  就是最適合我
[00:16:21.300 --> 00:16:24.640]  而且也是我認識神的地方
[00:16:24.640 --> 00:16:26.960]  很多時候我們不願意
[00:16:26.960 --> 00:16:29.340]  或者覺得我讀書這麼厲害
[00:16:29.340 --> 00:16:31.080]  為什麼三志願都進不了
[00:16:31.080 --> 00:16:34.440]  原來神有祂自己很特別的美意
[00:16:34.440 --> 00:16:37.540]  最後其實賴萬
[00:16:37.540 --> 00:16:42.120]  那些博人真是祂的福氣
[00:16:42.120 --> 00:16:44.020]  提醒他一件事
[00:16:44.020 --> 00:16:46.960]  他說先知吩咐你做一件大事
[00:16:46.960 --> 00:16:48.060]  你不會去做嗎?
[00:16:48.060 --> 00:16:48.760]  可能先知說
[00:16:48.760 --> 00:16:50.060]  你走去哪裏?
[00:16:50.060 --> 00:16:51.220]  哪個山丘?
[00:16:51.220 --> 00:16:52.860]  要打贏哪場仗?
[00:16:52.860 --> 00:16:54.500]  你立刻去做吧
[00:16:54.500 --> 00:16:55.800]  大事嘛
[00:16:55.800 --> 00:16:57.760]  但是這麼小的事
[00:16:57.760 --> 00:16:58.800]  你就得潔淨了
[00:16:58.800 --> 00:17:00.660]  為什麼你不去做呢?
[00:17:00.660 --> 00:17:04.640]  至少賴萬他也有一點點的謙卑
[00:17:04.640 --> 00:17:06.700]  也肯聽一些他的博人
[00:17:06.700 --> 00:17:08.440]  因為他是博人嘛
[00:17:08.440 --> 00:17:10.440]  你懂什麼呢?
[00:17:10.440 --> 00:17:14.140]  所以他最後就能夠得到醫治
[00:17:14.140 --> 00:17:16.620]  所以信心和行為的關係
[00:17:16.620 --> 00:17:18.680]  其實很微妙的
[00:17:18.680 --> 00:17:20.520]  可能有一點信心
[00:17:20.520 --> 00:17:22.360]  你走的時候
[00:17:22.360 --> 00:17:26.060]  你的行為又令到你的信心更加大
[00:17:26.060 --> 00:17:27.600]  大家也有試過
[00:17:27.600 --> 00:17:29.200]  在小事上
[00:17:29.200 --> 00:17:30.500]  我們信靠神
[00:17:30.500 --> 00:17:33.040]  不明白照做
[00:17:33.040 --> 00:17:34.800]  但是在那些事上
[00:17:34.800 --> 00:17:38.540]  就算賴萬他醫好了
[00:17:38.540 --> 00:17:40.500]  他明不明白呢?
[00:17:40.500 --> 00:17:42.540]  其實也不明白
[00:17:42.540 --> 00:17:44.180]  醫生給你吃藥
