
[00:00:00.000 --> 00:00:03.000]  各位來賓
[00:05:35.000 --> 00:05:38.000]  就是引用法國的一個雜誌
[00:05:38.000 --> 00:05:40.000]  這個The Point
[00:05:40.000 --> 00:05:42.000]  它就是一個觀點
[00:05:42.000 --> 00:05:45.000]  講到新的一個年代2021年
[00:05:45.000 --> 00:05:48.000]  其實是因為新冠病毒的影響底下
[00:05:48.000 --> 00:05:52.000]  整個的所謂西歐
[00:05:52.000 --> 00:05:55.000]  包括英國和美國
[00:05:55.000 --> 00:05:58.000]  和我們中國
[00:05:58.000 --> 00:06:02.000]  不同的領袖都在競賽一樣
[00:06:02.000 --> 00:06:05.000]  究竟是怎樣去面對這個疫情
[00:06:05.000 --> 00:06:09.000]  在2020進入2021年
[00:06:09.000 --> 00:06:12.000]  通常每年我們特別中國人
[00:06:12.000 --> 00:06:16.000]  就會有很多人去買那些所謂運程書
[00:06:16.000 --> 00:06:18.000]  但我們作為神的兒女
[00:06:18.000 --> 00:06:21.000]  我們真的不要去相信這些迷信的東西
[00:06:21.000 --> 00:06:24.000]  每一年你試一下在年尾的時候
[00:06:24.000 --> 00:06:26.000]  如果你真的去做研究
[00:06:26.000 --> 00:06:28.000]  你去對比的時候
[00:06:28.000 --> 00:06:32.000]  這些所謂的運程書一定不會百分百準確
[00:06:32.000 --> 00:06:36.000]  因為他們都只是一些推斷
[00:06:36.000 --> 00:06:40.000]  而且亦都有很多根本不值得一信
[00:06:40.000 --> 00:06:42.000]  反而我們需要的
[00:06:42.000 --> 00:06:46.000]  就是在思想上我們要去了解
[00:06:46.000 --> 00:06:49.000]  其實我們今天在這個世界
[00:06:49.000 --> 00:06:53.000]  我們所面對的各樣的一種轉變底下
[00:06:53.000 --> 00:06:56.000]  我們應該要學習的一些思想
[00:06:56.000 --> 00:07:06.000]  在中國在過去這幾年
[00:07:06.000 --> 00:07:08.000]  一去到年中的時候
[00:07:08.000 --> 00:07:14.000]  他們都是開辦一些很大型的演講會
[00:07:14.000 --> 00:07:18.000]  我在這裡引自亞洲周刊
[00:07:18.000 --> 00:07:20.000]  在剛剛過去這個星期
[00:07:20.000 --> 00:07:23.000]  一篇文章裡頭說到
[00:07:23.000 --> 00:07:26.000]  在12月30日在廈門市
[00:07:26.000 --> 00:07:29.000]  由這位吳曉波先生
[00:07:29.000 --> 00:07:32.000]  一個年中的大秀
[00:07:32.000 --> 00:07:34.000]  雖然在疫情下
[00:07:34.000 --> 00:07:38.000]  仍然有七千名現場觀眾戴著口罩
[00:07:38.000 --> 00:07:41.000]  隔著座位這樣坐
[00:07:41.000 --> 00:07:44.000]  而透過直播的芒果TV
[00:07:44.000 --> 00:07:46.000]  收看人數你猜有多少
[00:07:46.000 --> 00:07:49.000]  是超過四億人
[00:07:49.000 --> 00:07:51.000]  他這裡就說反映著
[00:07:51.000 --> 00:07:54.000]  其實今天中國的年青一代
[00:07:54.000 --> 00:07:56.000]  還有一些企業家
[00:07:56.000 --> 00:08:01.000]  他們都是很來看重所謂思維
[00:08:01.000 --> 00:08:03.000]  新的思維
[00:08:03.000 --> 00:08:05.000]  去面對這個新的世代
[00:08:05.000 --> 00:08:08.000]  怎樣來作出應變
[00:08:08.000 --> 00:08:13.000]  還有他很著重產業要來自衛化
[00:08:13.000 --> 00:08:16.000]  這個強調正正是反映著
[00:08:16.000 --> 00:08:18.000]  我們今天這個年間
[00:08:18.000 --> 00:08:23.000]  有很多這方面的資訊
[00:08:23.000 --> 00:08:27.000]  有很多資訊不代表我們有智慧
[00:08:27.000 --> 00:08:29.000]  其實真正的智慧
[00:08:29.000 --> 00:08:32.000]  我們相信是源自上帝
[00:08:32.000 --> 00:08:34.000]  我們必須要去敬畏神
[00:08:34.000 --> 00:08:37.000]  另外一個大秀
[00:08:37.000 --> 00:08:39.000]  就在下面那張照片
[00:08:39.000 --> 00:08:41.000]  就在12月31日
[00:08:41.000 --> 00:08:46.000]  來自武漢一個演講大會
[00:08:46.000 --> 00:08:50.000]  這些大會都是講回顧和前瞻
[00:08:50.000 --> 00:08:54.000]  講者就是羅振宇先生
[00:08:54.000 --> 00:08:57.000]  他很重視中國的本土優勢
[00:08:57.000 --> 00:09:01.000]  以這個題目時間的朋友
[00:09:01.000 --> 00:09:06.000]  去強調中國的組織網絡化這種特性
[00:09:06.000 --> 00:09:08.000]  他在結束的時候
[00:09:08.000 --> 00:09:13.000]  他講到面對大變局的時代
[00:09:13.000 --> 00:09:16.000]  我們應該有一個最佳的態度
[00:09:16.000 --> 00:09:20.000]  就是面對複雜保持歡喜
[00:09:20.000 --> 00:09:21.000]  面對複雜
[00:09:21.000 --> 00:09:23.000]  這個真是一個複雜
[00:09:23.000 --> 00:09:28.000]  而有很多的多元化的觀點意見
[00:09:28.000 --> 00:09:30.000]  一個這樣的時代
[00:09:30.000 --> 00:09:32.000]  甚至最近我看到一篇文章
[00:09:32.000 --> 00:09:34.000]  我覺得很有意思
[00:09:34.000 --> 00:09:37.000]  他講到人工智能2.0
[00:09:37.000 --> 00:09:40.000]  我想AI大家已經不陌生
[00:09:40.000 --> 00:09:44.000]  人工智能我們將來要住的房屋
[00:09:44.000 --> 00:09:46.000]  甚至現在已經有了
[00:09:46.000 --> 00:09:51.000]  你是全部一個人工智能化的
[00:09:51.000 --> 00:09:53.000]  這個2.0的意思就是
[00:09:53.000 --> 00:09:55.000]  不單止是有機械人
[00:09:55.000 --> 00:09:58.000]  他說會加上智能的心理學
[00:09:58.000 --> 00:09:59.000]  智能的大腦學
[00:09:59.000 --> 00:10:00.000]  智能的行為學
[00:10:00.000 --> 00:10:02.000]  智能的情感學
[00:10:02.000 --> 00:10:03.000]  智能的社會學
[00:10:03.000 --> 00:10:04.000]  智能的經濟學
[00:10:04.000 --> 00:10:06.000]  智能的仿生學等等
[00:10:06.000 --> 00:10:10.000]  就是要參照和模擬人類
[00:10:10.000 --> 00:10:12.000]  和大自然世界的定律
[00:10:12.000 --> 00:10:15.000]  務求為這些人工智能
[00:10:15.000 --> 00:10:17.000]  注入仿真
[00:10:17.000 --> 00:10:19.000]  疑似人的一種處境
[00:10:19.000 --> 00:10:22.000]  更貼近人類的行為習慣
[00:10:22.000 --> 00:10:25.000]  看下去的時候
[00:10:25.000 --> 00:10:28.000]  有點像科幻小說電影
[00:10:28.000 --> 00:10:31.000]  將來要發生
[00:10:31.000 --> 00:10:34.000]  現在不是說很遠的將來
[00:10:34.000 --> 00:10:36.000]  其實現在在我們這個時代
[00:10:36.000 --> 00:10:38.000]  已經正在發生
[00:10:38.000 --> 00:10:41.000]  但是我們有一樣很肯定的
[00:10:41.000 --> 00:10:43.000]  就是人工智能
[00:10:43.000 --> 00:10:48.000]  就算加上這些所謂進化的2.0
[00:10:48.000 --> 00:10:53.000]  都不能夠去取代我們人那種獨特性
[00:10:53.000 --> 00:10:56.000]  因為人是照著上帝
[00:10:56.000 --> 00:10:59.000]  他自己的形象和樣式去做的
[00:10:59.000 --> 00:11:03.000]  人是有我們很豐富的人生的劣力
[00:11:03.000 --> 00:11:06.000]  和經驗去累積匯聚
[00:11:06.000 --> 00:11:09.000]  而得出的一些人生的智慧
[00:11:09.000 --> 00:11:13.000]  這些機械是沒有辦法
[00:11:13.000 --> 00:11:16.000]  去完全大量倒模或者複製
[00:11:16.000 --> 00:11:17.000]  可以做得到的
[00:11:17.000 --> 00:11:19.000]  上帝給我們每一個人
[00:11:19.000 --> 00:11:22.000]  有獨特的一個才剛和恩賜
[00:11:22.000 --> 00:11:26.000]  所以我們需要去依靠上帝
[00:11:26.000 --> 00:11:29.000]  而不是去以為
[00:11:29.000 --> 00:11:32.000]  科學可以解決所有的問題
[00:11:32.000 --> 00:11:37.000]  人類是極之需要有一個謙卑的心
[00:11:37.000 --> 00:11:40.000]  就是回到神自己的面前
[00:11:40.000 --> 00:11:42.000]  我們去面對上帝
[00:11:42.000 --> 00:11:45.000]  祂先是統領宇宙萬有
[00:11:45.000 --> 00:11:47.000]  祂不單只是創造主
[00:11:47.000 --> 00:11:50.000]  祂仍然在這個世界掌權
[00:11:50.000 --> 00:11:53.000]  我們人類很多的問題
[00:11:53.000 --> 00:11:57.000]  都是源自我們離開了上帝
[00:11:57.000 --> 00:11:59.000]  原初創造的心意
[00:11:59.000 --> 00:12:01.000]  我們人心有敗壞
[00:12:01.000 --> 00:12:05.000]  離開了上帝的律例而產生的惡果
[00:12:05.000 --> 00:12:07.000]  今天在崇拜的封面文章
[00:12:07.000 --> 00:12:11.000]  我是特別節錄在十年前
[00:12:11.000 --> 00:12:13.000]  我寫的一篇文章叫
[00:12:13.000 --> 00:12:16.000]  迎接新挑戰齊心抗疫
[00:12:16.000 --> 00:12:18.000]  那個疫不是疫情那個疫
[00:12:18.000 --> 00:12:21.000]  那個疫就是疫警那個疫
[00:12:21.000 --> 00:12:23.000]  十年前發生什麼事呢
[00:12:23.000 --> 00:12:26.000]  我相信大家應該還記憶猶新
[00:12:26.000 --> 00:12:30.000]  2008年雷曼兄弟事件破產那件事
[00:12:30.000 --> 00:12:39.000]  引發出來的整個流雨按揭的骨牌效應
[00:12:39.000 --> 00:12:47.000]  帶來很多百年一遇的金融海嘯
[00:12:47.000 --> 00:12:53.000]  而當時有很多人辛辛苦苦累積一生的財產
[00:12:53.000 --> 00:12:57.000]  就是一夜之間蒸發了
[00:12:57.000 --> 00:13:04.000]  這件事引來很多人心裏非常悲傷難過
[00:13:04.000 --> 00:13:08.000]  究竟人生我們是被金錢操縱我們
[00:13:08.000 --> 00:13:11.000]  還是我們是作金錢的好管家
[00:13:11.000 --> 00:13:13.000]  究竟我們今天做生意
[00:13:13.000 --> 00:13:17.000]  我們今天做在社會上任何的事情
[00:13:17.000 --> 00:13:19.000]  我們是不是對得起上帝
[00:13:19.000 --> 00:13:22.000]  照著祂的原初做人的原意
[00:13:22.000 --> 00:13:25.000]  我們能夠彼此以恩慈相待
[00:13:25.000 --> 00:13:27.000]  人生可以有計劃
[00:13:27.000 --> 00:13:29.000]  但我們需要敬畏神
[00:13:29.000 --> 00:13:33.000]  如果我們是自嬌自傲自大的話
[00:13:33.000 --> 00:13:39.000]  以為我們是可以操控不單止自己
[00:13:39.000 --> 00:13:41.000]  甚至是別人的話
[00:13:41.000 --> 00:13:43.000]  其實我們沒有可能
[00:13:43.000 --> 00:13:44.000]  因為這個世界
[00:13:44.000 --> 00:13:46.000]  今天是這個時代
[00:13:46.000 --> 00:13:49.000]  我們要好好認定是上主
[00:13:49.000 --> 00:13:51.000]  祂私恩憐憫
[00:13:51.000 --> 00:13:57.000]  我今天和大家看的經文取自二弗所書
[00:13:57.000 --> 00:13:59.000]  在書卷裏面
[00:13:59.000 --> 00:14:05.000]  讓我們一起來認識神的真正智慧和心意
[00:14:05.000 --> 00:14:07.000]  頭三章裏面
[00:14:07.000 --> 00:14:13.000]  給我們看見神賦予教會的永恆計劃和目的
[00:14:13.000 --> 00:14:15.000]  神在地上設立教會
[00:14:15.000 --> 00:14:17.000]  是要使用教會
[00:14:17.000 --> 00:14:20.000]  在社會當中能夠彰顯
[00:14:20.000 --> 00:14:24.000]  祂創造人的原意和目的
[00:14:24.000 --> 00:14:27.000]  而神的指紋在四到六章
[00:14:27.000 --> 00:14:30.000]  就是要彰顯這個蒙救贖之後
[00:14:30.000 --> 00:14:35.000]  我們這個新人類應該有的本質和生活的表現
[00:14:35.000 --> 00:14:39.000]  在我們今天要看的經文的前段
[00:14:39.000 --> 00:14:41.000]  由四章開始
[00:14:41.000 --> 00:14:45.000]  說到我們需要謙卑、溫柔、忍耐
[00:14:45.000 --> 00:14:50.000]  說到我們要竭力保守聖靈所賜合而為一
[00:14:50.000 --> 00:14:57.000]  說到我們要以一個基督給我們新的生命那種價值觀
[00:14:57.000 --> 00:15:02.000]  我們要實踐我們的信仰在我們的社會當中
[00:15:02.000 --> 00:15:05.000]  也說到我們要用愛心去行事
[00:15:05.000 --> 00:15:08.000]  因為我們是蒙神揀選、蒙愛的一群
[00:15:08.000 --> 00:15:12.000]  我們必須用愛來對待別人
[00:15:12.000 --> 00:15:15.000]  更加說到我們是光明之子
[00:15:15.000 --> 00:15:17.000]  我們不要行在黑暗的當中
[00:15:17.000 --> 00:15:21.000]  一切是違反上帝祂自己的原意
[00:15:21.000 --> 00:15:26.000]  這些律例我們不要來示意去破壞
[00:15:26.000 --> 00:15:33.000]  我們需要在這個社會上做一個守法和明義的一個人
[00:15:33.000 --> 00:15:35.000]  我們需要很好的
[00:15:35.000 --> 00:15:42.000]  在後文說到我們因著信奉基督的緣故
[00:15:42.000 --> 00:15:45.000]  帶來三重的家庭和諧的關係
[00:15:45.000 --> 00:15:49.000]  包括丈夫和太太、父母和兒女
[00:15:49.000 --> 00:15:51.000]  以及主人與僕人
[00:15:51.000 --> 00:15:55.000]  這個大綱讓我們回顧
[00:15:55.000 --> 00:15:57.000]  今天我們要看這段經文
[00:15:57.000 --> 00:16:03.000]  讓我們明白「教徒行事為人」一個很重要的關鍵
[00:16:03.000 --> 00:16:07.000]  你是不是過著一個智慧的人生呢?
[00:16:07.000 --> 00:16:12.000]  智慧的生活是源自你如何去認識上帝
[00:16:12.000 --> 00:16:14.000]  我們一起先讀這段經文
[00:16:14.000 --> 00:16:16.000]  在第十五到十七節
[00:16:16.000 --> 00:16:19.000]  已忽所書第五章十五到十七節
[00:16:19.000 --> 00:16:20.000]  我們一起讀
[00:16:20.000 --> 00:16:23.000]  你們要謹慎行事
[00:16:23.000 --> 00:16:25.000]  不要像無知的人
[00:16:25.000 --> 00:16:27.000]  要像智慧的人
[00:16:27.000 --> 00:16:29.000]  要把握時機
[00:16:29.000 --> 00:16:31.000]  因為現今的世代邪惡
[00:16:31.000 --> 00:16:33.000]  不要作糊塗人
[00:16:33.000 --> 00:16:37.000]  要明白主的旨意而行
[00:16:37.000 --> 00:16:42.000]  保羅在這小段先跟我們說
[00:16:42.000 --> 00:16:44.000]  是一個命令
[00:16:44.000 --> 00:16:48.000]  這個命令是要謹慎行事
[00:16:48.000 --> 00:16:50.000]  但在原文希臘文裡
[00:16:50.000 --> 00:16:55.000]  這個謹慎是用一個動詞
[00:16:55.000 --> 00:17:01.000]  這個動詞是用「慷」
[00:17:01.000 --> 00:17:04.000]  「阿奎博斯」這個字
[00:17:04.000 --> 00:17:07.000]  是要細察
[00:17:07.000 --> 00:17:10.000]  你要看得清清楚楚
[00:17:10.000 --> 00:17:12.000]  然後你就要走出來
[00:17:12.000 --> 00:17:14.000]  你去生活出來
[00:17:14.000 --> 00:17:17.000]  這個是很重要的一個關鍵
[00:17:17.000 --> 00:17:19.000]  我們如何看得清楚之後
[00:17:19.000 --> 00:17:21.000]  如何去生活呢?
[00:17:21.000 --> 00:17:23.000]  他就用三個對比說出來
[00:17:23.000 --> 00:17:26.000]  這三個對比就是「不要」和「要」
[00:17:26.000 --> 00:17:29.000]  不要像一個無知的人
[00:17:29.000 --> 00:17:34.000]  原初和合本的翻譯就是愚昧的人
[00:17:34.000 --> 00:17:36.000]  要像智慧的人
[00:17:36.000 --> 00:17:39.000]  要真是活像智者
[00:17:39.000 --> 00:17:42.000]  活像智者其中一樣東西
[00:17:42.000 --> 00:17:44.000]  就是你要把握時機
[00:17:44.000 --> 00:17:46.000]  把握時機就是
[00:17:46.000 --> 00:17:49.000]  把握這個原文的意思就是
[00:17:49.000 --> 00:17:53.000]  「贖回」這個意思
[00:17:53.000 --> 00:17:56.000]  贖回一個時機
[00:17:56.000 --> 00:17:59.000]  或者也叫做契機
[00:17:59.000 --> 00:18:01.000]  是一個特別的時段
[00:18:01.000 --> 00:18:02.000]  一個時間
[00:18:02.000 --> 00:18:07.000]  你人生裡有沒有因為沒有來尋求
[00:18:07.000 --> 00:18:10.000]  上帝祂自己的意象和帶領
[00:18:10.000 --> 00:18:14.000]  以致我們錯失很多的契機
[00:18:14.000 --> 00:18:16.000]  我們今天如果是明白了之後
[00:18:16.000 --> 00:18:20.000]  我們要有智慧地贖回
[00:18:20.000 --> 00:18:23.000]  我們不要只是哀嘆
[00:18:23.000 --> 00:18:24.000]  我們錯過了
[00:18:24.000 --> 00:18:26.000]  我們反而應該更加振作
[00:18:26.000 --> 00:18:28.000]  不要做糊塗人
[00:18:28.000 --> 00:18:31.000]  要明白主的旨意而行
[00:18:31.000 --> 00:18:35.000]  所以這裡讓我們看見
[00:18:35.000 --> 00:18:37.000]  另外有兩個對比
[00:18:37.000 --> 00:18:38.000]  要把握時機
[00:18:38.000 --> 00:18:40.000]  不要做糊塗人
[00:18:40.000 --> 00:18:42.000]  第三個對比
[00:18:42.000 --> 00:18:48.000]  在這段經文我們可以看見第十八節
[00:18:48.000 --> 00:18:50.000]  不要醉酒
[00:18:50.000 --> 00:18:52.000]  酒會叫人放蕩
[00:18:52.000 --> 00:18:54.000]  要被聖靈充滿
[00:18:54.000 --> 00:18:56.000]  這是第三個對比
[00:18:56.000 --> 00:18:58.000]  所以在第十八到二十一節
[00:18:58.000 --> 00:19:00.000]  我們一起讀
[00:19:00.000 --> 00:19:02.000]  不要醉酒
[00:19:02.000 --> 00:19:04.000]  酒能使人放蕩
[00:19:04.000 --> 00:19:06.000]  要被聖靈充滿
[00:19:06.000 --> 00:19:09.000]  要用詩篇讚美詩
[00:19:09.000 --> 00:19:11.000]  靈歌彼此對說
[00:19:11.000 --> 00:19:14.000]  口唱心和地讚美主
[00:19:14.000 --> 00:19:16.000]  凡事要奉我們主耶穌基督的名
[00:19:16.000 --> 00:19:18.000]  上上感謝父神
[00:19:18.000 --> 00:19:20.000]  要全敬畏基督的心
[00:19:20.000 --> 00:19:22.000]  彼此信服
[00:19:22.000 --> 00:19:27.000]  在這段經文補充第三個對比時
[00:19:27.000 --> 00:19:31.000]  是說一個信徒不要醉酒
[00:19:31.000 --> 00:19:35.000]  因為他要針對爾忽所當時的環境
[00:19:35.000 --> 00:19:39.000]  爾忽所是一個拜偶像非常厲害的地方
[00:19:39.000 --> 00:19:43.000]  其中他們拜的一個神明叫做Denisius
[00:19:43.000 --> 00:19:45.000]  就是一個酒神
[00:19:45.000 --> 00:19:50.000]  他們往往彼此在宴會裏面大吃大喝
[00:19:50.000 --> 00:19:52.000]  喝到醉醺醺
[00:19:52.000 --> 00:19:57.000]  甚至他們在神廟裏與那些神祭
[00:19:57.000 --> 00:20:02.000]  那些廟宇裏面的祭女交合
[00:20:02.000 --> 00:20:06.000]  他們認為這樣就是親近神的一種方式
[00:20:06.000 --> 00:20:09.000]  非常的荒唐而且是放任
[00:20:09.000 --> 00:20:13.000]  在聖經裏面說你們不要做這些事
[00:20:13.000 --> 00:20:15.000]  反而要做什麼
[00:20:15.000 --> 00:20:17.000]  要被聖靈充滿
[00:20:17.000 --> 00:20:19.000]  而他說要被聖靈充滿
[00:20:19.000 --> 00:20:23.000]  是用了五個分詞去形容
[00:20:23.000 --> 00:20:25.000]  怎樣為之被聖靈充滿
[00:20:25.000 --> 00:20:30.000]  我們很多時候因為靈恩派一些教派所強調的
[00:20:30.000 --> 00:20:32.000]  以為聖靈充滿就是講方言
[00:20:32.000 --> 00:20:35.000]  其實在聖經裏面反而不是著重這種講方言
[00:20:35.000 --> 00:20:38.000]  反而聖經裏面說的被聖靈充滿
[00:20:38.000 --> 00:20:41.000]  是有以下這五種特性
[00:20:41.000 --> 00:20:43.000]  就是這裏所說的
[00:20:43.000 --> 00:20:45.000]  對說 Speaking
[00:20:45.000 --> 00:20:47.000]  口唱是 Singing
[00:20:47.000 --> 00:20:50.000]  心和 Making music
[00:20:50.000 --> 00:20:53.000]  感謝 Giving thanks
[00:20:53.000 --> 00:20:57.000]  和順服 Submitting to each other
[00:20:57.000 --> 00:21:01.000]  當你看到這五個分詞
[00:21:01.000 --> 00:21:05.000]  你就看見原來我們今天的生命
[00:21:05.000 --> 00:21:07.000]  當我們是對準上帝
[00:21:07.000 --> 00:21:09.000]  祂成為我們的意象
[00:21:09.000 --> 00:21:11.000]  我們願意謙卑去到神的面前
[00:21:11.000 --> 00:21:13.000]  尋求祂自己的大靈
[00:21:13.000 --> 00:21:16.000]  我們願意明白了祂的心意的時候
[00:21:16.000 --> 00:21:18.000]  我們被神的靈充滿我們
[00:21:18.000 --> 00:21:20.000]  去重讚祂
[00:21:20.000 --> 00:21:23.000]  叫我們七天的生活都在這裏敬拜
[00:21:23.000 --> 00:21:25.000]  其實今天你的工作
[00:21:25.000 --> 00:21:26.000]  你的家庭
[00:21:26.000 --> 00:21:27.000]  你的教會
[00:21:27.000 --> 00:21:29.000]  內外的生活見證
[00:21:29.000 --> 00:21:34.000]  一切其實都是要彰顯上帝這份榮耀
[00:21:34.000 --> 00:21:37.000]  和祂原初創造我們這份美意
[00:21:37.000 --> 00:21:41.000]  呈現在不同的人際關係當中
[00:21:41.000 --> 00:21:45.000]  今天我們有沒有照著上主這份喜悅來生活呢?
[00:21:45.000 --> 00:21:48.000]  就決定了你的人生是否有智慧
[00:21:48.000 --> 00:21:52.000]  我們今天說到
[00:21:52.000 --> 00:21:53.000]  經文是到這裏
[00:21:53.000 --> 00:21:55.000]  我們可以在這裏完結
[00:21:55.000 --> 00:21:58.000]  當然如果我在這裏完結的時候
