
[00:00:00.000 --> 00:00:02.380]  好,弟兄姊妹,早晨,平安
[00:02:30.440 --> 00:02:34.280]  但是亦都失去了我們的方向
[00:02:34.280 --> 00:02:37.520]  我記得有一個這樣的媽媽
[00:02:37.520 --> 00:02:41.180]  分享過有一個真實的故事
[00:02:41.180 --> 00:02:44.160]  那個媽媽每一次聖誕節
[00:02:44.160 --> 00:02:47.260]  就會買一塊很大的火腿回來
[00:02:47.260 --> 00:02:51.400]  來焗做她的聖誕大餐的一部份
[00:02:51.400 --> 00:02:53.400]  每一次焗火腿的時候
[00:02:53.400 --> 00:02:58.320]  她都會將頭和尾的那一部分切掉
[00:02:58.320 --> 00:03:01.460]  切掉火腿頭和尾的那一部分
[00:03:01.460 --> 00:03:02.960]  然後才放進去焗
[00:03:02.960 --> 00:03:04.660]  焗完出來就切成一塊塊
[00:03:04.660 --> 00:03:07.160]  然後分上來吃
[00:03:07.160 --> 00:03:10.040]  一直年年如是地這樣做
[00:03:10.040 --> 00:03:14.560]  有一次她的女兒問她媽媽
[00:03:14.560 --> 00:03:17.960]  媽媽為什麼要將頭和尾那一部分切掉
[00:03:17.960 --> 00:03:20.440]  是不是覺得不好吃
[00:03:20.440 --> 00:03:21.840]  她媽媽說
[00:03:21.840 --> 00:03:24.200]  我想都可能不好吃的
[00:03:24.200 --> 00:03:26.500]  不過我都不知道為什麼要切掉
[00:03:26.500 --> 00:03:31.340]  因為我見婆婆都是這樣做
[00:03:31.340 --> 00:03:33.640]  我們下一次見到面婆婆的時候
[00:03:33.640 --> 00:03:37.340]  讓我問一下婆婆為什麼要將頭和尾切掉
[00:03:37.340 --> 00:03:40.960]  下一次我們家庭聚會去探望婆婆的時候
[00:03:40.960 --> 00:03:44.960]  我媽媽就問婆婆
[00:03:44.960 --> 00:03:47.560]  我們焗火腿的時候
[00:03:47.560 --> 00:03:51.360]  為什麼要將頭和尾那一部分切掉
[00:03:51.360 --> 00:03:54.060]  你有沒有人猜到婆婆怎樣回答
[00:03:54.060 --> 00:04:00.160]  婆婆就說
[00:04:00.160 --> 00:04:02.660]  因為焗爐不夠大
[00:04:02.660 --> 00:04:05.860]  那些火腿大了就切掉頭和尾那一部分
[00:04:05.860 --> 00:04:09.560]  但是你知道現在的新焗爐是很大
[00:04:09.560 --> 00:04:11.260]  根本就沒有這個需要
[00:04:11.260 --> 00:04:15.360]  但是因為一直年年都是如是地這樣做
[00:04:15.360 --> 00:04:17.360]  見到人這樣做就跟著這樣做
[00:04:17.360 --> 00:04:19.560]  沒有問過原因的時候
[00:04:19.560 --> 00:04:23.960]  根本就是年年浪費了很多頭和尾的火腿
[00:04:23.960 --> 00:04:26.360]  是沒有這樣的需要
[00:04:26.360 --> 00:04:27.760]  我想我們都是一樣
[00:04:27.760 --> 00:04:29.460]  這個都是人之常情
[00:04:29.460 --> 00:04:34.160]  其實當我們不斷不斷重複做同樣的事
[00:04:34.160 --> 00:04:36.760]  亦都是見到人都是這樣做
[00:04:36.760 --> 00:04:37.960]  我們又跟著這樣做的時候
[00:04:37.960 --> 00:04:39.560]  但是如果沒有反省
[00:04:39.560 --> 00:04:41.960]  究竟為什麼要這樣做
[00:04:41.960 --> 00:04:45.960]  有些什麼的精髓我們要傳下去
[00:04:45.960 --> 00:04:50.960]  其實就很容易搞出剛才那些笑話
[00:04:50.960 --> 00:04:52.760]  火腿切了頭兩部分
[00:04:52.760 --> 00:04:53.960]  頭尾沒有所謂的
[00:04:53.960 --> 00:04:55.360]  吃少一點而已
[00:04:55.360 --> 00:04:59.960]  但是教會如果我們的方向沒有搞清楚
[00:04:59.960 --> 00:05:01.360]  釐定清楚
[00:05:01.360 --> 00:05:05.160]  一個星期跟一個星期
[00:05:05.160 --> 00:05:06.560]  一個月跟一個月
[00:05:06.560 --> 00:05:07.760]  一年復一年
[00:05:07.760 --> 00:05:12.360]  都是這樣來去的時候
[00:05:12.360 --> 00:05:15.960]  恐怕我們將來回去見神的面的時候
[00:05:15.960 --> 00:05:17.760]  神問我們交賬的時候
[00:05:17.760 --> 00:05:19.760]  不只跟著人這樣做
[00:05:19.760 --> 00:05:21.760]  頭和尾切了
[00:05:21.760 --> 00:05:25.160]  這樣就有很大的問題
[00:05:25.160 --> 00:05:27.360]  所以我們就溫習一下
[00:05:27.360 --> 00:05:31.760]  我們教會的使命和我們的目標
[00:05:31.760 --> 00:05:33.160]  首先你要知道
[00:05:33.160 --> 00:05:38.960]  其實教會雖然每個星期我們有聚會
[00:05:38.960 --> 00:05:40.760]  我們教會所做的事
[00:05:40.760 --> 00:05:46.960]  其實是不斷地每個星期重複地做
[00:05:46.960 --> 00:05:48.560]  但是你要想一下
[00:05:48.560 --> 00:05:51.360]  其實都是背後有一些東西
[00:05:51.360 --> 00:05:54.560]  來主導我們的教會
[00:05:54.560 --> 00:05:56.560]  主導是什麼意思呢
[00:05:56.560 --> 00:06:01.960]  就是導引、控制和驅使
[00:06:01.960 --> 00:06:04.360]  導引、控制和驅使
[00:06:04.360 --> 00:06:06.960]  教會所做的每一樣東西
[00:06:06.960 --> 00:06:09.360]  其實不是傳統來的
[00:06:09.360 --> 00:06:11.960]  是背後有一些東西
[00:06:11.960 --> 00:06:15.560]  是導引去控制著
[00:06:15.560 --> 00:06:18.360]  也是推動著去這樣做
[00:06:18.360 --> 00:06:20.560]  你有沒有想過呢
[00:06:20.560 --> 00:06:22.560]  就是你講牛的時候
[00:06:22.560 --> 00:06:23.960]  就是不同的東西
[00:06:23.960 --> 00:06:26.560]  導引、控制和驅使是不同的
[00:06:26.560 --> 00:06:27.560]  講牛的時候
[00:06:27.560 --> 00:06:30.160]  可能你騎著馬在旁邊講的
[00:06:30.160 --> 00:06:35.560]  駕車的時候可能你坐在司機位上駕駛的
[00:06:35.560 --> 00:06:37.960]  你導引、控制和驅使
[00:06:37.960 --> 00:06:39.160]  做不同的東西
[00:06:39.160 --> 00:06:41.960]  是有不同的方法的
[00:06:41.960 --> 00:06:43.160]  不知道你有沒有想過
[00:06:43.160 --> 00:06:47.160]  我們的教會其實是有些什麼
[00:06:47.160 --> 00:06:51.160]  來導引、控制和驅使的呢
[00:06:51.160 --> 00:06:53.760]  這個也是很重要的一個問題
[00:06:53.760 --> 00:06:55.360]  因為我們重重複複
[00:06:55.360 --> 00:06:58.560]  每個星期都是做如是的事情的時候
[00:06:58.560 --> 00:07:01.160]  究竟我們為什麼要這樣做
[00:07:01.160 --> 00:07:02.760]  究竟我們做的時候
[00:07:02.760 --> 00:07:06.360]  有什麼指引著我們去做
[00:07:06.360 --> 00:07:13.360]  而我們做的動力驅使著我們的是什麼呢
[00:07:13.360 --> 00:07:15.960]  因為唯有我們知道了
[00:07:15.960 --> 00:07:18.360]  那些東西找得出來
[00:07:18.360 --> 00:07:22.960]  我們就知道可以循著軌道來走
[00:07:22.960 --> 00:07:28.760]  其實不同的教會又有不同的
[00:07:28.760 --> 00:07:32.560]  在它背後主導著它的東西
[00:07:32.560 --> 00:07:35.960]  第一樣有些教會
[00:07:35.960 --> 00:07:40.960]  主導著它的就是傳統
[00:07:40.960 --> 00:07:44.760]  那我們怎麼知道
[00:07:44.760 --> 00:07:47.560]  譬如一些用傳統主導著的教會
[00:07:47.560 --> 00:07:52.560]  通常是我們怎麼去確認得到呢
[00:07:52.560 --> 00:07:54.560]  其實很多時候
[00:07:54.560 --> 00:07:56.760]  你看它做的事情
[00:07:56.760 --> 00:07:58.560]  它都是不斷重重複複的時候
[00:07:58.560 --> 00:07:59.960]  它都是說一樣東西
[00:07:59.960 --> 00:08:03.160]  就是我們一向都是這樣做的
[00:08:03.160 --> 00:08:08.960]  那些就是傳統主導著的教會
[00:08:08.960 --> 00:08:11.960]  有很多東西不需要問為什麼
[00:08:11.960 --> 00:08:13.360]  跟著做就可以了
[00:08:13.360 --> 00:08:15.160]  我們一向都是這樣做的
[00:08:15.160 --> 00:08:17.760]  這個就是傳統主導著的教會
[00:08:17.760 --> 00:08:20.760]  而在傳統主導著的教會
[00:08:20.760 --> 00:08:24.760]  很多時候的目標其實只有一個
[00:08:24.760 --> 00:08:26.760]  就是維持現狀
[00:08:26.760 --> 00:08:31.360]  因為維持現狀大家就最舒服的
[00:08:31.360 --> 00:08:35.360]  這個就是傳統主導著的教會
[00:08:35.360 --> 00:08:36.760]  我們就問
[00:08:36.760 --> 00:08:41.560]  我們的教會是不是用傳統來主導的呢
[00:08:41.560 --> 00:08:42.960]  那當然
[00:08:42.960 --> 00:08:45.960]  如果是用傳統來主導不是那麼理想
[00:08:45.960 --> 00:08:50.360]  只是維持現狀感覺舒服感覺良好
[00:08:50.360 --> 00:08:53.560]  這個未必是神想教會存在
[00:08:53.560 --> 00:08:57.560]  完成計劃和旨意的目標
[00:08:57.560 --> 00:08:59.160]  第二個問題
[00:08:59.160 --> 00:09:08.760]  有些教會就是由著領導者的個性和魅力來主導
[00:09:08.760 --> 00:09:10.360]  譬如
[00:09:10.360 --> 00:09:11.960]  我不知道你知不知道
[00:09:11.960 --> 00:09:14.760]  有些大教會其實很多人去
[00:09:14.760 --> 00:09:19.560]  其實是很仰望著一位名牧師
[00:09:19.560 --> 00:09:21.560]  可能很喜歡聽他講道
[00:09:21.560 --> 00:09:23.960]  我也見過不止一間這樣的教會
[00:09:23.960 --> 00:09:25.960]  當那個牧師退休之後
[00:09:25.960 --> 00:09:29.360]  那間教會就開始衰落了
[00:09:29.360 --> 00:09:34.160]  因為靠著一個明星級的領袖來帶領
[00:09:34.160 --> 00:09:37.160]  如果領袖不在的時候
[00:09:37.160 --> 00:09:39.560]  就可以這麼說
[00:09:39.560 --> 00:09:44.360]  剩下來的就變成了毫無吸引力
[00:09:44.360 --> 00:09:45.760]  這一類型的教會
[00:09:45.760 --> 00:09:50.960]  就是靠領袖的個性和魅力來指引
[00:09:50.960 --> 00:09:53.360]  而在這樣的教會我們怎樣去看呢?
[00:09:53.360 --> 00:09:55.960]  所以很多時候做那些事情
[00:09:55.960 --> 00:09:57.160]  就只是問一句
[00:09:57.160 --> 00:10:00.160]  領袖想要做些什麼呢?
[00:10:00.160 --> 00:10:04.160]  當然如果領袖是跟從神的當然是好
[00:10:04.160 --> 00:10:06.560]  但是很容易也會帶來一個弱點
[00:10:06.560 --> 00:10:07.360]  就是說
[00:10:07.360 --> 00:10:10.160]  那個領袖的強悍就成為教會的強悍
[00:10:10.160 --> 00:10:14.160]  那個領袖的弱點也主導著教會的議題
[00:10:14.160 --> 00:10:17.360]  這也是一個問題
[00:10:17.360 --> 00:10:23.960]  因為神才是教會的主導
[00:10:23.960 --> 00:10:26.160]  好,另外一種
[00:10:26.160 --> 00:10:32.160]  有一種教會主導的方向就是財政
[00:10:32.160 --> 00:10:34.160]  很多時候
[00:10:34.160 --> 00:10:35.960]  怎樣知道呢?
[00:10:35.960 --> 00:10:38.360]  就是想做每一件事情
[00:10:38.360 --> 00:10:40.960]  都是問一個問題
[00:10:40.960 --> 00:10:45.560]  要多少錢?
[00:10:45.560 --> 00:10:49.360]  不是想問神要我們做什麼
[00:10:49.360 --> 00:10:52.760]  而是想問我們的錢
[00:10:52.760 --> 00:10:54.760]  怎樣可以省
[00:10:54.760 --> 00:10:55.360]  是不是?
[00:10:55.360 --> 00:10:58.560]  或者不論我們有多少
[00:10:58.560 --> 00:11:00.160]  都不知道要多少錢
[00:11:00.160 --> 00:11:03.960]  當然做任何事情都是要講錢的
[00:11:03.960 --> 00:11:05.560]  是不是?
[00:11:05.560 --> 00:11:08.160]  但是錢做主導
[00:11:08.160 --> 00:11:12.560]  跟有計劃地來運用錢是不同的
[00:11:12.560 --> 00:11:15.160]  舉個例子你就明白了
[00:11:15.160 --> 00:11:16.560]  兩個人
[00:11:16.560 --> 00:11:18.360]  可能他們拍拖了
[00:11:18.360 --> 00:11:20.560]  他們計劃要結婚
[00:11:20.560 --> 00:11:22.760]  結婚當然要用錢,是不是?
[00:11:22.760 --> 00:11:27.160]  我看過一些電視節目
[00:11:27.160 --> 00:11:29.560]  你結婚那些大排筵席
[00:11:29.560 --> 00:11:33.760]  可能幾年的人工都cover不到
[00:11:33.760 --> 00:11:36.760]  差不多夠買結婚用的預算
[00:11:36.760 --> 00:11:39.760]  用很多錢的,是不是?
[00:11:39.760 --> 00:11:43.160]  分別就在這裡
[00:11:43.160 --> 00:11:45.960]  如果沒錢是不是不結婚呢?
[00:11:45.960 --> 00:11:50.360]  如果兩個人真的各樣東西都成熟
[00:11:50.360 --> 00:11:51.760]  時機各樣東西
[00:11:51.760 --> 00:11:53.360]  是欠錢的
[00:11:53.360 --> 00:11:55.760]  那是不是沒錢不結婚呢?
[00:11:55.760 --> 00:11:57.760]  你就知道有些大英姐妹搖頭
[00:11:57.760 --> 00:11:59.360]  當然不是,是不是?
[00:11:59.360 --> 00:12:01.160]  如果沒錢不結婚
[00:12:01.160 --> 00:12:04.360]  就是錢做主導
[00:12:04.360 --> 00:12:06.760]  但是如果她沒錢
[00:12:06.760 --> 00:12:08.760]  但是這件事要做的都做
[00:12:08.760 --> 00:12:10.560]  可能沒錢就省一點
[00:12:10.560 --> 00:12:12.160]  可能不要放那麼多酒
[00:12:12.160 --> 00:12:16.560]  不要各樣東西重選,是不是?
[00:12:16.560 --> 00:12:18.960]  分別就在這裡
[00:12:18.960 --> 00:12:22.560]  教會不是用財政做主導
[00:12:22.560 --> 00:12:25.360]  教會是應該問
[00:12:25.360 --> 00:12:27.960]  神要我們做什麼做主導
[00:12:27.960 --> 00:12:30.760]  如果神要我們做一件事
[00:12:30.760 --> 00:12:33.560]  沒錢我們省下來都要做
[00:12:33.560 --> 00:12:35.160]  是不是?
[00:12:35.160 --> 00:12:39.160]  如果我們只是從錢著想的時候
[00:12:39.160 --> 00:12:41.360]  神未必會給的
[00:12:41.360 --> 00:12:43.960]  不夠我們為神籌
[00:12:43.960 --> 00:12:45.760]  要做的事我們繼續做
[00:12:45.760 --> 00:12:47.560]  神會給的,是不是?
[00:12:47.560 --> 00:12:49.960]  這個是信心的問題
[00:12:49.960 --> 00:12:51.160]  很多時候
[00:12:51.160 --> 00:12:52.360]  聖經提了一樣東西
[00:12:52.360 --> 00:12:54.760]  在新約聖經特別講到錢的時候
[00:12:54.760 --> 00:12:56.760]  就提了一樣東西
[00:12:56.760 --> 00:12:58.560]  人將他們的信心
[00:12:58.560 --> 00:13:02.960]  放在物質金錢那裡
[00:13:02.960 --> 00:13:05.760]  其實這個是偶像
[00:13:05.760 --> 00:13:08.760]  是在拜偶像
[00:13:08.760 --> 00:13:10.360]  所以聖經說
[00:13:10.360 --> 00:13:12.960]  貪心的就與拜偶像一樣
[00:13:12.960 --> 00:13:15.560]  就是這個意思
[00:13:15.560 --> 00:13:18.560]  接下來
[00:13:18.560 --> 00:13:21.760]  有些教會是節目做主導的
[00:13:21.760 --> 00:13:23.160]  節目做主導
[00:13:23.160 --> 00:13:26.160]  現在我們疫情很多
[00:13:26.160 --> 00:13:28.360]  都沒什麼節目了,基本上
[00:13:28.360 --> 00:13:30.560]  但是
[00:13:30.560 --> 00:13:31.760]  可能曾幾何時
[00:13:31.760 --> 00:13:34.360]  或者以前有些教會
[00:13:34.360 --> 00:13:35.360]  用節目做主導
[00:13:35.360 --> 00:13:37.560]  玩一番教會
[00:13:37.560 --> 00:13:39.560]  節目表密麻麻的
[00:13:39.560 --> 00:13:41.160]  幾點幾點就是師班練習
[00:13:41.160 --> 00:13:42.760]  幾點幾點就是兒童主學
[00:13:42.760 --> 00:13:44.560]  幾點幾點就是
[00:13:44.560 --> 00:13:46.960]  那樣東西是密麻麻的
[00:13:46.960 --> 00:13:49.360]  就是越是多節目
[00:13:49.360 --> 00:13:51.960]  就越顯得好像很充實
[00:13:51.960 --> 00:13:54.560]  很有活力
[00:13:54.560 --> 00:13:57.760]  這個是節目做主導
[00:13:57.760 --> 00:13:59.360]  有沒有
[00:13:59.360 --> 00:14:01.960]  大家想不想像到情況是怎樣
[00:14:01.960 --> 00:14:04.560]  我記得有一次
[00:14:04.560 --> 00:14:06.360]  有一個牧師聊天
[00:14:06.360 --> 00:14:07.760]  不是我們教會的
[00:14:07.760 --> 00:14:09.760]  但是如有雷同實屬巧合
[00:14:09.760 --> 00:14:11.960]  他就聊天
[00:14:11.960 --> 00:14:13.760]  另外一個牧師
[00:14:13.760 --> 00:14:16.160]  就去一間教會那裡
[00:14:16.160 --> 00:14:17.760]  來到去港島
[00:14:17.760 --> 00:14:21.360]  那個牧師就去教會的港島
[00:14:21.360 --> 00:14:22.960]  他就知道那間教會
[00:14:22.960 --> 00:14:25.160]  其實尺寸就都有
[00:14:25.160 --> 00:14:26.960]  平時聚會港島的時候
[00:14:26.960 --> 00:14:31.360]  應該有五六十人的
[00:14:31.360 --> 00:14:32.960]  他去那裡
[00:14:32.960 --> 00:14:35.560]  星期天出現去那個港島
[00:14:35.560 --> 00:14:38.960]  港島之前十五分鐘就去到
[00:14:38.960 --> 00:14:40.160]  去到就發覺
[00:14:40.160 --> 00:14:43.960]  為什麼那間教會沒有人的呢
[00:14:43.960 --> 00:14:46.960]  可能只有兩三個人在那裡
[00:14:46.960 --> 00:14:48.760]  其他人都去哪了
[00:14:48.760 --> 00:14:50.960]  應該有五六十人的
[00:14:50.960 --> 00:14:55.160]  他以為自己早到就等一下
[00:14:55.160 --> 00:14:56.960]  一邊等一邊等
[00:14:56.960 --> 00:14:59.360]  等到開會前五分鐘
[00:14:59.360 --> 00:15:01.160]  都只有幾丁人
[00:15:01.160 --> 00:15:02.960]  說減那些東西
[00:15:02.960 --> 00:15:05.360]  究竟什麼事情呢
[00:15:05.360 --> 00:15:08.960]  於是後來就上台港島
[00:15:08.960 --> 00:15:11.160]  時間就開始了
[00:15:11.160 --> 00:15:12.560]  時間開始
[00:15:12.560 --> 00:15:16.160]  上台港島的時候就發覺
[00:15:16.160 --> 00:15:17.760]  咦
[00:15:17.760 --> 00:15:18.760]  即是他坐在前面
[00:15:18.760 --> 00:15:20.560]  他沒有留意後面的情況
[00:15:20.560 --> 00:15:23.560]  到上台港島的時候
[00:15:23.560 --> 00:15:27.560]  就發覺真的有五六十人坐在那裡
[00:15:27.560 --> 00:15:30.760]  但是他留意到一件事
[00:15:30.760 --> 00:15:33.560]  留意到什麼呢
[00:15:33.560 --> 00:15:35.960]  五六十人之中
[00:15:35.960 --> 00:15:41.760]  有三四十人穿了絲斑袍
[00:15:41.760 --> 00:15:44.360]  完了之後就走一圈
[00:15:44.360 --> 00:15:45.560]  聊聊天
[00:15:45.560 --> 00:15:47.160]  嘩 這麼奇怪
[00:15:47.160 --> 00:15:52.560]  為什麼之前一個人都沒有的呢
[00:15:52.560 --> 00:15:53.560]  接著那些人就說
[00:15:53.560 --> 00:15:56.160]  我們因為要練詩
[00:15:56.160 --> 00:15:58.160]  開始之前 開堂之前要練詩
[00:15:58.160 --> 00:16:00.760]  練到last minute才下來
[00:16:00.760 --> 00:16:02.160]  就是這樣
[00:16:02.160 --> 00:16:04.760]  他又沒有
[00:16:04.760 --> 00:16:05.960]  完了之後就走了
[00:16:05.960 --> 00:16:11.160]  但是在一個神學院的講座那裡
[00:16:11.160 --> 00:16:13.160]  他講回這個經驗出來
[00:16:13.160 --> 00:16:15.160]  他說很明顯
[00:16:15.160 --> 00:16:19.560]  這個情況就是以一些節目做主導
[00:16:19.560 --> 00:16:21.360]  或者program做主導
[00:16:21.360 --> 00:16:24.960]  某些東西基本上佔據了整間教會的資源
[00:16:24.960 --> 00:16:25.960]  你想一下
[00:16:25.960 --> 00:16:28.960]  哪裡有人做招待
[00:16:28.960 --> 00:16:32.360]  六十人左右
[00:16:32.360 --> 00:16:36.960]  通常最少有三分一的人
[00:16:36.960 --> 00:16:40.760]  是不參與任何的侍奉
[00:16:40.760 --> 00:16:42.360]  來崇拜的
[00:16:42.360 --> 00:16:44.360]  其他參與教會侍奉的人
[00:16:44.360 --> 00:16:45.960]  全部走上絲斑
[00:16:45.960 --> 00:16:47.960]  你說那個教會怎樣
[00:16:47.960 --> 00:16:49.360]  主學都沒有人上
[00:16:49.360 --> 00:16:50.960]  更加沒有人教
[00:16:50.960 --> 00:16:54.960]  所有的東西只有一個節目做了主導
[00:16:54.960 --> 00:16:56.960]  就是很大的問題
[00:16:56.960 --> 00:16:58.960]  我不是說我們教會是這樣
[00:16:58.960 --> 00:17:00.960]  但是這個是一個實際的case
[00:17:00.960 --> 00:17:02.960]  是一個神學院的老師分享出來的
[00:17:02.960 --> 00:17:06.960]  而這個是一個危險
[00:17:06.960 --> 00:17:10.960]  如果教會只是著重某一些的program
[00:17:10.960 --> 00:17:12.960]  我知道有些教會很著重某一些的program
[00:17:12.960 --> 00:17:14.960]  譬如可能舉例來說
[00:17:14.960 --> 00:17:16.960]  兒童侍奉做主導的
[00:17:16.960 --> 00:17:19.960]  所有的東西就是圍著小孩騰騰轉
[00:17:19.960 --> 00:17:23.960]  成人忙到主要學自己都上不了
[00:17:23.960 --> 00:17:31.960]  這樣也是節目做主導
[00:17:31.960 --> 00:17:37.960]  接著有些教會就是用建築物做主導
[00:17:37.960 --> 00:17:39.960]  Church Hill就說過
[00:17:39.960 --> 00:17:43.960]  We shape our buildings and then they shape us
[00:17:43.960 --> 00:17:45.960]  建築物做主導
[00:17:45.960 --> 00:17:47.960]  就是用了很多人力財力
[00:17:47.960 --> 00:17:50.960]  在維持著教會的建築上
[00:17:50.960 --> 00:17:52.960]  我相信有些大英姐妹
[00:17:52.960 --> 00:17:57.960]  如果你的房子是你自己的物業
[00:17:57.960 --> 00:17:59.960]  你都明白要維修的房子
[00:17:59.960 --> 00:18:01.960]  都很多工作
[00:18:01.960 --> 00:18:04.960]  總是有這個壞那個壞
[00:18:04.960 --> 00:18:05.960]  弄完這個好了
[00:18:05.960 --> 00:18:06.960]  然後第二個又壞
[00:18:06.960 --> 00:18:08.960]  所以很多事情要做
[00:18:08.960 --> 00:18:12.960]  所以有些男士一放假就去home depot
[00:18:12.960 --> 00:18:14.960]  你明白
[00:18:14.960 --> 00:18:16.960]  教會都是如是
[00:18:16.960 --> 00:18:19.960]  尤其是教會的建築物就更老
[00:18:19.960 --> 00:18:22.960]  這個東西要做那個東西要做
[00:18:22.960 --> 00:18:23.960]  是明白的
[00:18:23.960 --> 00:18:26.960]  但是建築物做主導是什麼意思呢
[00:18:26.960 --> 00:18:29.960]  這個是前幾個月
[00:18:29.960 --> 00:18:33.960]  我有一次去牧師那裡開會
[00:18:33.960 --> 00:18:36.960]  和一個牧師聊天
[00:18:36.960 --> 00:18:38.960]  那個牧師就
[00:18:38.960 --> 00:18:42.960]  我知道他那間教會最近就擴展
[00:18:42.960 --> 00:18:47.960]  有一塊地建了一個新的建築物
[00:18:47.960 --> 00:18:49.960]  我就知道差不多建好了
[00:18:49.960 --> 00:18:51.960]  我就去和他聊天
[00:18:51.960 --> 00:18:56.960]  恭喜你們教會建了一個新的建築物
[00:18:56.960 --> 00:18:58.960]  聽說都很漂亮
[00:18:58.960 --> 00:19:02.960]  裡面還可以打球
[00:19:02.960 --> 00:19:04.960]  他一講就說
[00:19:04.960 --> 00:19:06.960]  我真的很激氣
[00:19:06.960 --> 00:19:08.960]  為什麼這麼激氣
[00:19:08.960 --> 00:19:11.960]  他說我們明明建了這個建築物
[00:19:11.960 --> 00:19:17.960]  是想著可以傳福音
[00:19:17.960 --> 00:19:18.960]  在weekday的時候
[00:19:18.960 --> 00:19:21.960]  可能叫一些大英姐妹回來教會
[00:19:21.960 --> 00:19:23.960]  多一些團契活動
[00:19:23.960 --> 00:19:25.960]  譬如吃東西、打球
[00:19:25.960 --> 00:19:27.960]  可以用來傳福音
[00:19:27.960 --> 00:19:29.960]  可以更容易邀請人
[00:19:29.960 --> 00:19:32.960]  但是他說現在建了這個建築物
[00:19:32.960 --> 00:19:34.960]  什麼都不能做
[00:19:34.960 --> 00:19:40.960]  因為用了一些NBA級的籃球木地板
[00:19:40.960 --> 00:19:43.960]  然後進去的人
[00:19:43.960 --> 00:19:46.960]  因為為了木地板不要被刮花
[00:19:46.960 --> 00:19:52.960]  進去的人又不能穿某一類型的鞋
[00:19:52.960 --> 00:19:54.960]  你明白嗎
[00:19:54.960 --> 00:19:59.960]  那些貴地板要某些球鞋不掉色才可以進去
[00:19:59.960 --> 00:20:01.960]  然後平時吃東西
[00:20:01.960 --> 00:20:03.960]  搬桌子、搬椅子
[00:20:03.960 --> 00:20:06.960]  又不可以被刮花的緣故
[00:20:06.960 --> 00:20:08.960]  盡量少動
[00:20:08.960 --> 00:20:12.960]  搞到很多東西都不能做
