
[00:00:00.000 --> 00:00:02.000]  我們今天的主題就是
[00:01:19.200 --> 00:01:20.200]  不要被酒充滿
[00:01:20.200 --> 00:01:22.200]  不要被酒來控制你
[00:01:22.200 --> 00:01:23.200]  是要被聖靈充滿
[00:01:23.200 --> 00:01:24.200]  是被聖靈掌控
[00:01:24.200 --> 00:01:26.200]  大概是這個意思
[00:01:26.200 --> 00:01:28.200]  我們看一看裏面的內容
[00:01:28.200 --> 00:01:29.200]  每一點
[00:01:29.200 --> 00:01:30.200]  三點
[00:01:30.200 --> 00:01:31.200]  好
[00:01:31.200 --> 00:01:32.200]  不要像愚昧人
[00:01:32.200 --> 00:01:33.200]  當像智慧人
[00:01:33.200 --> 00:01:35.200]  如果你看回二弗所書五章十五節
[00:01:35.200 --> 00:01:38.200]  其實第一句話就是先跟信徒說
[00:01:38.200 --> 00:01:40.200]  要謹慎行事
[00:01:40.200 --> 00:01:42.200]  你有沒有謹慎行事啊?
[00:01:42.200 --> 00:01:44.200]  如果謹慎行事是什麼意思啊?
[00:01:44.200 --> 00:01:45.200]  就是做事有分寸啊
[00:01:45.200 --> 00:01:46.200]  不要亂來啊
[00:01:46.200 --> 00:01:47.200]  有章法啊
[00:01:47.200 --> 00:01:49.200]  或者是想過度過
[00:01:49.200 --> 00:01:50.200]  心思熟慮啊
[00:01:50.200 --> 00:01:53.200]  現在我們這幾年最聽得多的就是這幾個字
[00:01:53.200 --> 00:01:55.200]  就是經過真真正正的考量
[00:01:55.200 --> 00:01:58.200]  想得很清楚了
[00:01:58.200 --> 00:01:59.200]  然後纔去做
[00:01:59.200 --> 00:02:00.200]  如果反過來呢
[00:02:00.200 --> 00:02:02.200]  不謹慎行事有什麼後果啊?
[00:02:02.200 --> 00:02:05.200]  如果不謹慎行事的人通常有什麼後果啊?
[00:02:05.200 --> 00:02:07.200]  撞板多過喫飯啊
[00:02:07.200 --> 00:02:08.200]  或者會得罪人多
[00:02:08.200 --> 00:02:09.200]  輕負人少啊
[00:02:09.200 --> 00:02:13.200]  又或者是對自己和別人都會有虧損
[00:02:13.200 --> 00:02:15.200]  但是這裏是不是單單指我們
[00:02:15.200 --> 00:02:16.200]  是小心做事
[00:02:16.200 --> 00:02:17.200]  謹慎說話呢?
[00:02:17.200 --> 00:02:19.200]  當然屬靈上面呢
[00:02:19.200 --> 00:02:20.200]  是比這個更加多一點
[00:02:20.200 --> 00:02:21.200]  我們看一看
[00:02:21.200 --> 00:02:23.200]  第六節
[00:02:23.200 --> 00:02:25.200]  其實剛纔我不是說了一大段經文
[00:02:25.200 --> 00:02:27.200]  爲什麼我們要從第六節開始呢?
[00:02:27.200 --> 00:02:29.200]  第六節第一句說話就是什麼呢?
[00:02:29.200 --> 00:02:31.200]  你們不要被人虛浮的話來欺負
[00:02:31.200 --> 00:02:32.200]  你叫虛浮的話
[00:02:32.200 --> 00:02:34.200]  虛是什麼意思啊?
[00:02:34.200 --> 00:02:35.200]  你講話很虛啊
[00:02:35.200 --> 00:02:36.200]  說你這個人很虛啊
[00:02:36.200 --> 00:02:37.200]  真的不要了
[00:02:37.200 --> 00:02:38.200]  說你講話很虛啊
[00:02:38.200 --> 00:02:39.200]  虛無縹緲
[00:02:39.200 --> 00:02:41.200]  就是說你講話沒有重點的
[00:02:41.200 --> 00:02:43.200]  沒有一些實質的內容
[00:02:43.200 --> 00:02:45.200]  或者表面上講得很漂亮
[00:02:45.200 --> 00:02:46.200]  但是其實呢
[00:02:46.200 --> 00:02:47.200]  那個內容不是真理來的
[00:02:47.200 --> 00:02:49.200]  這個就是虛浮
[00:02:49.200 --> 00:02:50.200]  一樣意思
[00:02:50.200 --> 00:02:51.200]  就是說不是很踏實的
[00:02:51.200 --> 00:02:52.200]  不是很紮實的
[00:02:52.200 --> 00:02:54.200]  是和真理是違反的
[00:02:54.200 --> 00:02:55.200]  所以其實這個簡單來講
[00:02:55.200 --> 00:02:56.200]  虛浮的話
[00:02:56.200 --> 00:02:58.200]  就是說虛空的說話
[00:02:58.200 --> 00:02:59.200]  不是真理的
[00:02:59.200 --> 00:03:00.200]  這個很重要
[00:03:00.200 --> 00:03:02.200]  在我們現今的世代裏面
[00:03:02.200 --> 00:03:03.200]  特別近這十年
[00:03:03.200 --> 00:03:04.200]  或者十幾年裏面
[00:03:04.200 --> 00:03:05.200]  我發覺有一個
[00:03:05.200 --> 00:03:07.200]  就是一直都有很多異端的
[00:03:07.200 --> 00:03:08.200]  由這個
[00:03:08.200 --> 00:03:10.200]  這個初期教會的年代
[00:03:10.200 --> 00:03:11.200]  到現在都很多異端
[00:03:11.200 --> 00:03:12.200]  但是呢
[00:03:12.200 --> 00:03:13.200]  近年有一個異端
[00:03:13.200 --> 00:03:14.200]  我特別今天呢
[00:03:14.200 --> 00:03:16.200]  和大家來介紹一下
[00:03:16.200 --> 00:03:18.200]  就叫成官神學
[00:03:18.200 --> 00:03:20.200]  或者英文叫Prosperity Theology
[00:03:20.200 --> 00:03:22.200]  爲什麼突然要把英文放出來呢
[00:03:22.200 --> 00:03:23.200]  你不要想成功呢
[00:03:23.200 --> 00:03:25.200]  照反來就是Success Theology
[00:03:25.200 --> 00:03:26.200]  不是這個意思
[00:03:26.200 --> 00:03:27.200]  是Prosperity Theology
[00:03:27.200 --> 00:03:29.200]  Prosperity的意思就是說
[00:03:29.200 --> 00:03:31.200]  很富裕啊
[00:03:31.200 --> 00:03:33.200]  很有錢啊
[00:03:33.200 --> 00:03:35.200]  或者你要什麼就有什麼
[00:03:35.200 --> 00:03:36.200]  物質很豐富啊
[00:03:36.200 --> 00:03:38.200]  或者你是求什麼呢
[00:03:38.200 --> 00:03:39.200]  神都一定給你的
[00:03:39.200 --> 00:03:40.200]  大概是這個意思
[00:03:40.200 --> 00:03:41.200]  所以成官神學呢
[00:03:41.200 --> 00:03:42.200]  簡單來講就是
[00:03:42.200 --> 00:03:44.200]  他們標榜就是這樣
[00:03:44.200 --> 00:03:46.200]  只要你有信心
[00:03:46.200 --> 00:03:49.200]  你百病都能夠驅除
[00:03:49.200 --> 00:03:51.200]  就是事業愛情兩得意的
[00:03:51.200 --> 00:03:52.200]  是不是這樣的
[00:03:52.200 --> 00:03:54.200]  你所認識的聖經是不是這樣的
[00:03:54.200 --> 00:03:56.200]  或者聖經的人物是不是這樣的
[00:03:56.200 --> 00:03:57.200]  掃羅的經歷
[00:03:57.200 --> 00:03:59.200]  保羅的經歷是不是這樣的
[00:03:59.200 --> 00:04:00.200]  他求主呢
[00:04:00.200 --> 00:04:01.200]  三次求主
[00:04:01.200 --> 00:04:04.200]  挪開他身體當中一根刺
[00:04:04.200 --> 00:04:06.200]  解荊家相信這根刺就是眼疾
[00:04:06.200 --> 00:04:08.200]  因爲相傳他有眼疾
[00:04:08.200 --> 00:04:09.200]  所以保羅的書信
[00:04:09.200 --> 00:04:11.200]  大部分不是他親筆寫的
[00:04:11.200 --> 00:04:12.200]  是找人代筆的
[00:04:12.200 --> 00:04:13.200]  就是他口述
[00:04:13.200 --> 00:04:14.200]  有人代筆的
[00:04:14.200 --> 00:04:15.200]  所以其實
[00:04:15.200 --> 00:04:16.200]  如果我們看回聖經
[00:04:16.200 --> 00:04:17.200]  無論是一些實際的人物
[00:04:17.200 --> 00:04:19.200]  或者是一貫的教導
[00:04:19.200 --> 00:04:21.200]  其實都是和成功神學所宣傳的
[00:04:21.200 --> 00:04:22.200]  什麼都行
[00:04:22.200 --> 00:04:23.200]  什麼都行
[00:04:23.200 --> 00:04:25.200]  其實不是一樣的
[00:04:25.200 --> 00:04:30.200]  我們來深入瞭解一下這個異端
[00:04:30.200 --> 00:04:32.200]  他的提倡人就是Kenneth Hagin
[00:04:32.200 --> 00:04:34.200]  這個就是美國人
[00:04:34.200 --> 00:04:38.200]  他是最初創立和推動這件事情的
[00:04:38.200 --> 00:04:40.200]  當然他有很多的接盤人
[00:04:40.200 --> 00:04:42.200]  很多前仆後繼
[00:04:42.200 --> 00:04:43.200]  很多假的師傅
[00:04:43.200 --> 00:04:44.200]  假的傳道
[00:04:44.200 --> 00:04:45.200]  假的牧師
[00:04:45.200 --> 00:04:47.200]  都承繼了這件事情
[00:04:47.200 --> 00:04:48.200]  或者這個主義
[00:04:48.200 --> 00:04:49.200]  或者這個觀念
[00:04:49.200 --> 00:04:51.200]  或者這套學術
[00:04:51.200 --> 00:04:52.200]  甚至將他發揚光大
[00:04:52.200 --> 00:04:55.200]  甚至吸引了很多的人
[00:04:55.200 --> 00:04:56.200]  我介紹一個最近期的
[00:04:56.200 --> 00:04:58.200]  我一定要開名的
[00:04:58.200 --> 00:04:59.200]  一定要認識他
[00:04:59.200 --> 00:05:01.200]  他在網上很出名的
[00:05:01.200 --> 00:05:02.200]  Joe Austin
[00:05:02.200 --> 00:05:03.200]  有沒有聽過
[00:05:03.200 --> 00:05:04.200]  在美國Texas裏面
[00:05:04.200 --> 00:05:06.200]  他的教會是很大很多人
[00:05:06.200 --> 00:05:07.200]  你都想象到
[00:05:07.200 --> 00:05:09.200]  如果他這樣講福音的話
[00:05:09.200 --> 00:05:10.200]  你們不需要怕
[00:05:10.200 --> 00:05:11.200]  只要信
[00:05:11.200 --> 00:05:14.200]  凡是信的人一定是神有恩典
[00:05:14.200 --> 00:05:16.200]  福氣賜給你的
[00:05:16.200 --> 00:05:18.200]  就這樣聽好像沒有什麼問題
[00:05:18.200 --> 00:05:19.200]  對不對
[00:05:19.200 --> 00:05:22.200]  但是信仰其實不是單單這樣的
[00:05:22.200 --> 00:05:23.200]  一會兒我們看下去
[00:05:23.200 --> 00:05:24.200]  你就會知道
[00:05:24.200 --> 00:05:26.200]  信仰是不是單單我們拿東西
[00:05:26.200 --> 00:05:28.200]  在手中挖東西
[00:05:28.200 --> 00:05:31.200]  好像一個自動提款機那樣
[00:05:31.200 --> 00:05:32.200]  當然不是這樣
[00:05:32.200 --> 00:05:33.200]  任何愛的關係都不是這樣
[00:05:33.200 --> 00:05:35.200]  你和你的配偶
[00:05:35.200 --> 00:05:36.200]  或者和你的子女或者父母
[00:05:36.200 --> 00:05:37.200]  是不是這樣的
[00:05:37.200 --> 00:05:38.200]  他的作用
[00:05:38.200 --> 00:05:39.200]  他存在的價值
[00:05:39.200 --> 00:05:41.200]  只是爲你提供生活所需
[00:05:41.200 --> 00:05:43.200]  或者他只是哄你
[00:05:43.200 --> 00:05:44.200]  或者你說什麼
[00:05:44.200 --> 00:05:45.200]  做什麼都是對的
[00:05:45.200 --> 00:05:46.200]  沒有錯的
[00:05:46.200 --> 00:05:48.200]  會不會對你有教導
[00:05:48.200 --> 00:05:50.200]  引導或者跟你說清楚
[00:05:50.200 --> 00:05:51.200]  什麼叫黑什麼叫白
[00:05:51.200 --> 00:05:52.200]  什麼叫真什麼叫錯
[00:05:52.200 --> 00:05:55.200]  真正的父母是不是這樣的
[00:05:55.200 --> 00:05:56.200]  應該要教子女
[00:05:56.200 --> 00:05:58.200]  有錯就應該要改
[00:05:58.200 --> 00:06:02.200]  所以其實他們這一派學說
[00:06:02.200 --> 00:06:04.200]  很多方派學者將他們的福音
[00:06:04.200 --> 00:06:06.200]  他們宣傳的福音就是這樣
[00:06:06.200 --> 00:06:09.200]  所以將福音給一個形容詞
[00:06:09.200 --> 00:06:11.200]  最貼切就是不外乎這個
[00:06:11.200 --> 00:06:13.200]  就是健康與財富的福音
[00:06:13.200 --> 00:06:15.200]  就是說你只要信耶穌也好
[00:06:15.200 --> 00:06:16.200]  你所有
[00:06:16.200 --> 00:06:17.200]  剛纔那樣說
[00:06:17.200 --> 00:06:18.200]  你要健康就要健康
[00:06:18.200 --> 00:06:19.200]  你要財富就要財富
[00:06:19.200 --> 00:06:22.200]  你要什麼就有什麼
[00:06:22.200 --> 00:06:23.200]  他的問題就是
[00:06:23.200 --> 00:06:25.200]  將人放在全宇宙的中心
[00:06:25.200 --> 00:06:27.200]  所有的東西都要圍着人來轉
[00:06:27.200 --> 00:06:28.200]  包括神都是一樣的
[00:06:28.200 --> 00:06:30.200]  所以其實神一定是爲人服務
[00:06:30.200 --> 00:06:32.200]  所以你求什麼
[00:06:32.200 --> 00:06:34.200]  他一定會給你什麼
[00:06:34.200 --> 00:06:35.200]  他是不會say no的
[00:06:35.200 --> 00:06:36.200]  但不是這樣的
[00:06:36.200 --> 00:06:37.200]  我們看回聖經的教導
[00:06:37.200 --> 00:06:39.200]  看回聖經人物的遭遇
[00:06:39.200 --> 00:06:42.200]  在自己本身的信仰的歷程當中
[00:06:42.200 --> 00:06:44.200]  如果我們所行所做的
[00:06:44.200 --> 00:06:45.200]  或者所求的事情
[00:06:45.200 --> 00:06:46.200]  是不合乎真理的
[00:06:46.200 --> 00:06:47.200]  神會不會say yes
[00:06:47.200 --> 00:06:48.200]  弟兄姐妹
[00:06:48.200 --> 00:06:49.200]  你很想
[00:06:49.200 --> 00:06:50.200]  但神是不會的
[00:06:50.200 --> 00:06:51.200]  爲了你的好處
[00:06:51.200 --> 00:06:52.200]  因爲如果say yes的話
[00:06:52.200 --> 00:06:54.200]  你就會在這個罪惡的道路上奔走
[00:06:54.200 --> 00:06:55.200]  是不是
[00:06:55.200 --> 00:06:56.200]  以致滅亡
[00:06:56.200 --> 00:06:58.200]  所以神會在適當的時候
[00:06:58.200 --> 00:06:59.200]  會say no
[00:06:59.200 --> 00:07:01.200]  或者是你先等一等
[00:07:01.200 --> 00:07:03.200]  按照神的時間來行事
[00:07:03.200 --> 00:07:04.200]  這個是最美好的
[00:07:04.200 --> 00:07:05.200]  所以其實
[00:07:05.200 --> 00:07:06.200]  這一派的學說成功神學
[00:07:06.200 --> 00:07:07.200]  Prosperity Theology
[00:07:07.200 --> 00:07:08.200]  其實最大的問題
[00:07:08.200 --> 00:07:12.200]  就是把人放在宇宙中心
[00:07:12.200 --> 00:07:15.200]  以致神 耶穌 基督 上帝 天父
[00:07:15.200 --> 00:07:17.200]  都要爲他們服務
[00:07:17.200 --> 00:07:18.200]  明白我的意思嗎
[00:07:18.200 --> 00:07:21.200]  好了 再看下去
[00:07:21.200 --> 00:07:22.200]  我們既然說
[00:07:22.200 --> 00:07:24.200]  他們這個異端人有問題的話
[00:07:24.200 --> 00:07:26.200]  我們拿出證據來
[00:07:26.200 --> 00:07:27.200]  拿出證據
[00:07:27.200 --> 00:07:28.200]  最好的證據是什麼
[00:07:28.200 --> 00:07:29.200]  當然是聖經的話語
[00:07:29.200 --> 00:07:31.200]  我們一起來讀讀這些經文
[00:07:31.200 --> 00:07:32.200]  第一節的經文
[00:07:32.200 --> 00:07:34.200]  路加福音十二章十五節
[00:07:34.200 --> 00:07:35.200]  預備起
[00:07:39.200 --> 00:07:41.200]  記不記得我們剛纔說
[00:07:41.200 --> 00:07:43.200]  以弗所宣五章十五節
[00:07:43.200 --> 00:07:44.200]  其實不要仗愚昧人
[00:07:44.200 --> 00:07:45.200]  當衆智慧人
[00:07:45.200 --> 00:07:46.200]  其實提一句
[00:07:46.200 --> 00:07:48.200]  就是要謹慎行事
[00:07:48.200 --> 00:07:50.200]  我們在解釋經文上
[00:07:50.200 --> 00:07:51.200]  有個原則就是
[00:07:51.200 --> 00:07:52.200]  以聖經解聖經
[00:07:52.200 --> 00:07:53.200]  就是以經解經
[00:07:53.200 --> 00:07:54.200]  就是用其他的經文
[00:07:54.200 --> 00:07:56.200]  相同或者相關的經文
[00:07:56.200 --> 00:07:57.200]  來解釋
[00:07:57.200 --> 00:07:58.200]  我們想看的那一段經文
[00:07:58.200 --> 00:07:59.200]  我們今天要看的經文
[00:07:59.200 --> 00:08:01.200]  就是以弗所宣五章十五節
[00:08:01.200 --> 00:08:02.200]  你們要謹慎行事
[00:08:02.200 --> 00:08:03.200]  不要仗愚昧人
[00:08:03.200 --> 00:08:04.200]  當衆智慧人
[00:08:04.200 --> 00:08:05.200]  所以我們看一看
[00:08:05.200 --> 00:08:08.200]  路加福音十二章十五節
[00:08:08.200 --> 00:08:10.200]  剛剛你們讀完那一節的經文
[00:08:10.200 --> 00:08:12.200]  去了解什麼叫謹慎
[00:08:12.200 --> 00:08:14.200]  在路加福音裏面提到
[00:08:14.200 --> 00:08:15.200]  謹慎是什麼
[00:08:15.200 --> 00:08:16.200]  要自守
[00:08:16.200 --> 00:08:17.200]  就是自己守住
[00:08:17.200 --> 00:08:18.200]  守住什麼
[00:08:18.200 --> 00:08:19.200]  守住你的錢
[00:08:19.200 --> 00:08:20.200]  守財奴
[00:08:20.200 --> 00:08:21.200]  不是這一件事
[00:08:21.200 --> 00:08:22.200]  是守住你的心
[00:08:22.200 --> 00:08:23.200]  因爲我們的心
[00:08:23.200 --> 00:08:25.200]  很容易被我們自己的私慾
[00:08:25.200 --> 00:08:26.200]  或者我們的想法
[00:08:26.200 --> 00:08:28.200]  來控制或者佔據了
[00:08:28.200 --> 00:08:30.200]  以至我們在信仰的理解上
[00:08:30.200 --> 00:08:32.200]  都會按照我們自己的想法
[00:08:32.200 --> 00:08:33.200]  來理解經文
[00:08:33.200 --> 00:08:35.200]  我們這個在解經上叫
[00:08:35.200 --> 00:08:40.200]  將我們的意思讀入經文裏面
[00:08:40.200 --> 00:08:41.200]  Exegesis
[00:08:41.200 --> 00:08:43.200]  如果你們要知道這個詞
[00:08:43.200 --> 00:08:45.200]  Exegesis就是讀入去
[00:08:45.200 --> 00:08:47.200]  不是將經文讀出來
[00:08:47.200 --> 00:08:49.200]  Exegesis
[00:08:49.200 --> 00:08:51.200]  所以其實我們要明白這個道理
[00:08:51.200 --> 00:08:52.200]  謹慎自守
[00:08:52.200 --> 00:08:53.200]  要保守我們的心
[00:08:53.200 --> 00:08:54.200]  我們的心是什麼意思
[00:08:54.200 --> 00:08:55.200]  要純正
[00:08:55.200 --> 00:08:56.200]  是要按照神的意思
[00:08:56.200 --> 00:08:58.200]  來了解明白
[00:08:58.200 --> 00:08:59.200]  遵行神的話語
[00:08:59.200 --> 00:09:00.200]  不是我們的想法
[00:09:00.200 --> 00:09:02.200]  是強加在神的身上
[00:09:02.200 --> 00:09:03.200]  以致曲解聖經
[00:09:03.200 --> 00:09:05.200]  所以我們解經的人
[00:09:05.200 --> 00:09:06.200]  我們講道的人
[00:09:06.200 --> 00:09:07.200]  我們要遵守一個原則
[00:09:07.200 --> 00:09:09.200]  就是以正義分解真理的道
[00:09:09.200 --> 00:09:11.200]  這句話是聖經的說話
[00:09:11.200 --> 00:09:13.200]  我們不可以憑我們自己的私意
[00:09:13.200 --> 00:09:15.200]  我有個想法
[00:09:15.200 --> 00:09:16.200]  我鄧奇有個想法
[00:09:16.200 --> 00:09:17.200]  然後我就找些經文
[00:09:17.200 --> 00:09:18.200]  來支持我這個想法
[00:09:18.200 --> 00:09:19.200]  這個不是一個正確
[00:09:19.200 --> 00:09:20.200]  或者不是一個好的
[00:09:20.200 --> 00:09:23.200]  釋經的一個途徑
[00:09:23.200 --> 00:09:24.200]  正確的釋經途徑就是
[00:09:24.200 --> 00:09:25.200]  聖經怎麼講
[00:09:25.200 --> 00:09:27.200]  所以爲什麼要讀釋經學
[00:09:27.200 --> 00:09:29.200]  解釋聖經學問
[00:09:29.200 --> 00:09:31.200]  釋經學讀神學
[00:09:31.200 --> 00:09:34.200]  就是聖經有一些規則
[00:09:34.200 --> 00:09:35.200]  原則或者一貫的
[00:09:35.200 --> 00:09:36.200]  怎麼來解釋
[00:09:36.200 --> 00:09:38.200]  才能夠將裏面正確的意思
[00:09:38.200 --> 00:09:39.200]  解釋出來
[00:09:39.200 --> 00:09:40.200]  這個很重要
[00:09:40.200 --> 00:09:41.200]  所以謹慎自守
[00:09:41.200 --> 00:09:43.200]  我們要保守我們的心
[00:09:43.200 --> 00:09:45.200]  免去一切的私慾
[00:09:45.200 --> 00:09:47.200]  如果再具體一點
[00:09:47.200 --> 00:09:48.200]  就是免去一切貪心
[00:09:48.200 --> 00:09:49.200]  如果你再記得
[00:09:49.200 --> 00:09:51.200]  剛纔我講的成功神學
[00:09:51.200 --> 00:09:52.200]  最大的問題
[00:09:52.200 --> 00:09:53.200]  就是將人放在中心
[00:09:53.200 --> 00:09:54.200]  其實我們要什麼就有什麼
[00:09:54.200 --> 00:09:55.200]  簡單來講
[00:09:55.200 --> 00:09:56.200]  要什麼就有什麼
[00:09:56.200 --> 00:09:57.200]  所以這種是貪的
[00:09:57.200 --> 00:09:58.200]  對不對
[00:09:58.200 --> 00:09:59.200]  所以聖經說
[00:09:59.200 --> 00:10:00.200]  我們應該按照神的意思
[00:10:00.200 --> 00:10:02.200]  神給我們的恩典
[00:10:02.200 --> 00:10:03.200]  給我們的福氣
[00:10:03.200 --> 00:10:05.200]  是剛剛好的
[00:10:05.200 --> 00:10:06.200]  不會缺乏的
[00:10:06.200 --> 00:10:07.200]  也不會過多的
[00:10:07.200 --> 00:10:08.200]  很多時候我們人
[00:10:08.200 --> 00:10:09.200]  很喜歡團織很多東西
[00:10:09.200 --> 00:10:10.200]  對不對
[00:10:10.200 --> 00:10:12.200]  各位女士姐妹們
[00:10:12.200 --> 00:10:13.200]  不要這樣
[00:10:13.200 --> 00:10:14.200]  女士姐妹好像很歧視
[00:10:14.200 --> 00:10:16.200]  弟兄也是一樣
[00:10:16.200 --> 00:10:17.200]  弟兄喜歡團織什麼
[00:10:17.200 --> 00:10:18.200]  團織圖像
[00:10:18.200 --> 00:10:19.200]  那些無謂的
[00:10:19.200 --> 00:10:20.200]  不知道
[00:10:20.200 --> 00:10:21.200]  我不團織的
[00:10:21.200 --> 00:10:22.200]  不過我就知道
[00:10:22.200 --> 00:10:23.200]  好像有很多
[00:10:23.200 --> 00:10:24.200]  姐妹呢
[00:10:24.200 --> 00:10:25.200]  通常團織什麼
[00:10:25.200 --> 00:10:28.200]  LV袋
[00:10:28.200 --> 00:10:30.200]  鞋好像聽說
[00:10:30.200 --> 00:10:31.200]  以前那個
[00:10:31.200 --> 00:10:32.200]  前菲律賓那個
[00:10:32.200 --> 00:10:33.200]  總統夫人
[00:10:33.200 --> 00:10:34.200]  有三千雙鞋
[00:10:34.200 --> 00:10:35.200]  所以你有一段時間
[00:10:35.200 --> 00:10:36.200]  都沒有去到
[00:10:36.200 --> 00:10:38.200]  那個水平
[00:10:38.200 --> 00:10:39.200]  所以你可以放手
[00:10:39.200 --> 00:10:40.200]  放膽買
[00:10:40.200 --> 00:10:41.200]  不是
[00:10:41.200 --> 00:10:42.200]  我都明白
[00:10:42.200 --> 00:10:44.200]  鞋因爲襯衣服
[00:10:44.200 --> 00:10:46.200]  十多雙夠不夠
[00:10:46.200 --> 00:10:47.200]  二十多雙夠不夠
[00:10:47.200 --> 00:10:48.200]  差不多了
[00:10:48.200 --> 00:10:49.200]  所以這裏說
[00:10:49.200 --> 00:10:52.200]  我們不需要去強求
[00:10:52.200 --> 00:10:54.200]  過於我們需要的東西
[00:10:54.200 --> 00:10:55.200]  但是這個
[00:10:55.200 --> 00:10:56.200]  也是需要智慧
[00:10:56.200 --> 00:10:57.200]  和需要信服的
[00:10:57.200 --> 00:10:58.200]  神給我們的恩典
[00:10:58.200 --> 00:10:59.200]  是正確的
[00:10:59.200 --> 00:11:00.200]  因爲人的生命
[00:11:00.200 --> 00:11:03.200]  不在乎家道豐富
[00:11:03.200 --> 00:11:05.200]  人有很多的價值
[00:11:05.200 --> 00:11:07.200]  人生有很多的價值
[00:11:07.200 --> 00:11:09.200]  人生有很多的
[00:11:09.200 --> 00:11:11.200]  用時間的方式和方法
[00:11:11.200 --> 00:11:12.200]  有很多目標
[00:11:12.200 --> 00:11:13.200]  我不知道你今時今日
[00:11:13.200 --> 00:11:14.200]  你追求的目標是什麼
[00:11:14.200 --> 00:11:16.200]  去到你現在這個階段
[00:11:16.200 --> 00:11:17.200]  在學的
[00:11:17.200 --> 00:11:19.200]  可能求學業成績優異
[00:11:19.200 --> 00:11:20.200]  或者工作的
[00:11:20.200 --> 00:11:22.200]  是求升職加薪
[00:11:22.200 --> 00:11:23.200]  如果是退休的
[00:11:23.200 --> 00:11:24.200]  就什麼
[00:11:24.200 --> 00:11:25.200]  就是環遊世界
[00:11:25.200 --> 00:11:27.200]  抱孫 湊孫等等
[00:11:27.200 --> 00:11:29.200]  但是這些都是好的
[00:11:29.200 --> 00:11:30.200]  但是人生會不會有
[00:11:30.200 --> 00:11:32.200]  更加高層次的目標呢
[00:11:32.200 --> 00:11:33.200]  我經常有一句說話
[00:11:33.200 --> 00:11:34.200]  提醒自己
[00:11:34.200 --> 00:11:35.200]  就是用有限的人生
[00:11:35.200 --> 00:11:37.200]  活出無限的價值
[00:11:37.200 --> 00:11:38.200]  我們每個人的人生
[00:11:38.200 --> 00:11:39.200]  都有限的
[00:11:39.200 --> 00:11:40.200]  都有expiry date
[00:11:40.200 --> 00:11:41.200]  我們每個人出廠
[00:11:41.200 --> 00:11:42.200]  就是出世
[00:11:42.200 --> 00:11:43.200]  不是出廠
[00:11:43.200 --> 00:11:44.200]  出廠好像很壞
[00:11:44.200 --> 00:11:45.200]  出世的時候
[00:11:45.200 --> 00:11:46.200]  其實我們每個人
