
[00:00:00.000 --> 00:00:01.400]  不知道大家還記不記得
[00:04:17.280 --> 00:04:19.640]  這樣才有私隱
[00:04:19.640 --> 00:04:20.520]  明白我的意思嗎
[00:04:20.520 --> 00:04:25.880]  你總是會找到一些好的說話來提出來
[00:04:25.880 --> 00:04:28.600]  讓你的客人
[00:04:28.600 --> 00:04:29.160]  怎樣
[00:04:29.160 --> 00:04:30.680]  容易接受
[00:04:30.680 --> 00:04:33.360]  或者購買那個物品
[00:04:33.360 --> 00:04:33.920]  大家看到了
[00:04:33.920 --> 00:04:35.120]  當我們做什麼推銷的時候
[00:04:35.120 --> 00:04:37.920]  我們總是會用一些方法
[00:04:37.920 --> 00:04:39.080]  用一些技巧
[00:04:39.080 --> 00:04:42.000]  來將貨品賣出去
[00:04:42.000 --> 00:04:44.080]  但奇怪
[00:04:44.080 --> 00:04:45.680]  保羅在這裡
[00:04:45.680 --> 00:04:47.560]  講得很清楚
[00:04:47.560 --> 00:04:49.920]  他知道十字架的道理
[00:04:49.920 --> 00:04:52.760]  並不容易被當時文化所接受
[00:04:52.760 --> 00:04:54.160]  但保羅仍然說
[00:04:54.160 --> 00:04:55.920]  我並不用智慧的言語
[00:04:55.920 --> 00:04:58.040]  免得基督的十字架落了空
[00:04:58.040 --> 00:04:59.480]  好了我們要問的問題就是
[00:04:59.480 --> 00:05:01.880]  什麼叫做智慧的言語
[00:05:01.880 --> 00:05:04.120]  什麼叫做智慧的言語
[00:05:04.120 --> 00:05:07.960]  在哥倫多前後書裡面
[00:05:07.960 --> 00:05:09.600]  我們要明白
[00:05:09.600 --> 00:05:12.200]  保羅這裡用的智慧這個字
[00:05:12.200 --> 00:05:16.040]  其實是包含了很濃厚當時的文化色彩裡面
[00:05:16.040 --> 00:05:20.320]  背後有很多文化的地方需要去理解
[00:05:20.320 --> 00:05:21.880]  以致我們更加能夠掌握
[00:05:21.880 --> 00:05:23.680]  保羅這裡所講的智慧的言語
[00:05:23.680 --> 00:05:26.360]  是在講些什麼
[00:05:26.360 --> 00:05:28.600]  好了大家都知道
[00:05:28.600 --> 00:05:32.160]  希臘文化最出名是什麼
[00:05:32.160 --> 00:05:33.000]  哲學
[00:05:33.000 --> 00:05:33.720]  是不是
[00:05:33.720 --> 00:05:37.440]  所以我們今天很多琅琅想想的哲學家的名字
[00:05:37.440 --> 00:05:39.120]  都是來自希臘的文化
[00:05:39.120 --> 00:05:40.720]  什麼蘇格拉底
[00:05:40.720 --> 00:05:41.680]  柏拉圖
[00:05:41.680 --> 00:05:42.800]  阿里士多德
[00:05:42.800 --> 00:05:45.640]  我們講了很多出名的哲學家
[00:05:45.640 --> 00:05:48.360]  他們都是希臘人
[00:05:48.360 --> 00:05:52.280]  雖然巴勒斯坦當時
[00:05:52.280 --> 00:05:56.920]  是羅馬政權底下的地方
[00:05:56.920 --> 00:05:58.400]  但是文化上面
[00:05:58.400 --> 00:05:59.800]  當時巴勒斯坦一帶
[00:05:59.800 --> 00:06:05.280]  文化上面是仍然受著希臘文化所影響著的
[00:06:05.280 --> 00:06:10.000]  大概在主前146年
[00:06:10.000 --> 00:06:14.800]  羅馬的軍隊攻入哥倫多這個城市
[00:06:14.800 --> 00:06:17.280]  將整個城市完全的毀滅
[00:06:17.280 --> 00:06:18.840]  一直的荒廢
[00:06:18.840 --> 00:06:22.200]  荒廢到一個地步是沒有人居住的
[00:06:22.200 --> 00:06:24.400]  直到主前44年
[00:06:24.400 --> 00:06:27.120]  羅馬政府才開始將它重建
[00:06:27.120 --> 00:06:28.560]  要重建的嘛
[00:06:28.560 --> 00:06:29.480]  百業待興
[00:06:29.480 --> 00:06:31.440]  叫那些人鼓勵那些人
[00:06:31.440 --> 00:06:35.640]  去到哥倫多已經被毀滅的城市裏面
[00:06:35.640 --> 00:06:37.200]  再進去那裏住
[00:06:37.200 --> 00:06:38.080]  再進去那裏
[00:06:38.080 --> 00:06:42.080]  也是重建這個城市
[00:06:42.080 --> 00:06:44.760]  當時你可以講
[00:06:44.760 --> 00:06:45.880]  這個城市
[00:06:45.880 --> 00:06:48.920]  每個人去到這個城市是怎樣的
[00:06:48.920 --> 00:06:50.240]  做生意
[00:06:50.240 --> 00:06:51.280]  賺錢
[00:06:51.280 --> 00:06:52.200]  是不是
[00:06:52.200 --> 00:06:55.920]  也都由於當時哥倫多這個位置
[00:06:55.920 --> 00:06:57.120]  是一個很
[00:06:57.120 --> 00:06:59.000]  由於它是一個海港
[00:06:59.000 --> 00:07:01.520]  所以是一個很好的做生意的位置
[00:07:01.520 --> 00:07:04.280]  所以很快這個城市就興旺起來了
[00:07:04.280 --> 00:07:06.040]  大家可以想像一下
[00:07:06.040 --> 00:07:09.720]  一個被毀滅了很久的一個城市
[00:07:09.720 --> 00:07:11.520]  突然之間一大班人進去
[00:07:11.520 --> 00:07:15.360]  突然之間很多的生意來往
[00:07:15.360 --> 00:07:16.880]  大家可以想像怎樣
[00:07:16.880 --> 00:07:18.080]  今天香港人所講的
[00:07:18.080 --> 00:07:19.240]  遍地黃金
[00:07:19.240 --> 00:07:20.080]  只要你肯做
[00:07:20.080 --> 00:07:21.760]  只要你有頭腦的話
[00:07:21.760 --> 00:07:22.960]  你就可以發達
[00:07:22.960 --> 00:07:25.040]  你還可以在那裏建立你自己的事業
[00:07:25.040 --> 00:07:26.200]  所以大家可以想像
[00:07:26.200 --> 00:07:33.120]  當時成功是當時那一班去到哥倫多這個地方的人
[00:07:33.120 --> 00:07:36.360]  他們所追求的東西
[00:07:36.360 --> 00:07:38.160]  但是剛才不是講過了
[00:07:38.160 --> 00:07:41.040]  在希臘文化裏面很著重的就是智慧
[00:07:41.040 --> 00:07:41.560]  是不是
[00:07:41.560 --> 00:07:42.440]  所以有哲學家
[00:07:42.440 --> 00:07:43.520]  智慧
[00:07:43.520 --> 00:07:46.200]  所以當時他們所追求的成功
[00:07:46.200 --> 00:07:49.040]  是其中一個最重要表達的方式
[00:07:49.040 --> 00:07:50.080]  就是智慧
[00:07:50.080 --> 00:07:53.280]  就是這個
[00:07:53.280 --> 00:07:54.640]  其中一個就是
[00:07:54.640 --> 00:07:57.200]  他們很推崇的
[00:07:57.200 --> 00:08:01.720]  就是一個精巧詭辯的修辭學
[00:08:01.720 --> 00:08:03.240]  那是什麽來的
[00:08:03.240 --> 00:08:05.040]  原來他們很喜歡
[00:08:05.040 --> 00:08:06.720]  有些人
[00:08:06.720 --> 00:08:07.960]  演講者
[00:08:07.960 --> 00:08:12.120]  用一些很修飾過的詞語
[00:08:12.120 --> 00:08:14.680]  來表達一些智慧
[00:08:14.680 --> 00:08:16.280]  所以他們很嚮往
[00:08:16.280 --> 00:08:21.280]  很追求這些智慧的表達
[00:08:21.280 --> 00:08:24.840]  當一個人能夠用很精巧的言語
[00:08:24.840 --> 00:08:26.880]  去表達一個演說的時候
[00:08:26.880 --> 00:08:28.960]  他們就覺得這是一個成功
[00:08:28.960 --> 00:08:30.360]  這就是一個智慧
[00:08:30.360 --> 00:08:32.360]  這就代表著社會的地位
[00:08:32.360 --> 00:08:36.360]  甚至是權力的一個表達
[00:08:36.360 --> 00:08:39.440]  在這個文化裏面
[00:08:39.440 --> 00:08:43.080]  人們就漸漸由於這麽追求這件事
[00:08:43.080 --> 00:08:44.960]  所以開始有一個行業
[00:08:44.960 --> 00:08:50.000]  就是做演講家
[00:08:50.000 --> 00:08:52.520]  就是靠此而為生
[00:08:52.520 --> 00:08:54.320]  所以對於一些有錢的人
[00:08:54.320 --> 00:08:55.040]  我有錢
[00:08:55.040 --> 00:08:56.080]  但是我沒有這個技能
[00:08:56.080 --> 00:08:56.920]  那怎麽辦呢
[00:08:56.920 --> 00:09:00.160]  他們有一個文化就是
[00:09:00.160 --> 00:09:01.560]  他們會聘請
[00:09:01.560 --> 00:09:02.280]  給錢
[00:09:02.280 --> 00:09:03.200]  請一些人
[00:09:03.200 --> 00:09:09.280]  甚至包起一些很有能力的演說家
[00:09:09.280 --> 00:09:10.240]  包起他們
[00:09:10.240 --> 00:09:14.640]  代表我來表達智慧
[00:09:14.640 --> 00:09:19.720]  所以當時很多吃這行飯的演說家
[00:09:19.720 --> 00:09:23.440]  就是靠他們的口來為生
[00:09:23.440 --> 00:09:24.720]  大家記不記得
[00:09:24.720 --> 00:09:27.200]  保羅在哥倫多教會
[00:09:27.200 --> 00:09:32.040]  有沒有接受過哥倫多人的供養
[00:09:32.040 --> 00:09:33.800]  哥倫多教會是其中一間
[00:09:33.800 --> 00:09:38.120]  保羅是堅決拒絕哥倫多人給錢他
[00:09:38.120 --> 00:09:39.560]  所以為什麽
[00:09:39.560 --> 00:09:41.280]  保羅一直傳科學的時候
[00:09:41.280 --> 00:09:43.000]  一直自己織帳篷
[00:09:43.000 --> 00:09:44.120]  自己來賺錢
[00:09:44.120 --> 00:09:48.720]  為什麽他不接受哥倫多人的供養
[00:09:48.720 --> 00:09:51.320]  背後的文化背景就是這裡
[00:09:51.320 --> 00:09:56.280]  因為哥倫多人要供養一些
[00:09:56.280 --> 00:09:59.880]  靠演說為生的演說家
[00:09:59.880 --> 00:10:03.720]  用他們來表達他們的身份與地位
[00:10:03.720 --> 00:10:05.000]  所以保羅不想混淆
[00:10:05.000 --> 00:10:06.520]  所以保羅不接受
[00:10:06.520 --> 00:10:10.400]  漸漸這種演說的技巧
[00:10:10.400 --> 00:10:13.880]  成為當時哥倫多人一個很普遍的現象
[00:10:13.880 --> 00:10:15.600]  那些人聽得多
[00:10:15.600 --> 00:10:17.040]  就開始懂得
[00:10:17.040 --> 00:10:22.640]  欣賞、懂得怎樣去品評一個演說家
[00:10:22.640 --> 00:10:24.000]  演說得好不好
[00:10:24.000 --> 00:10:26.360]  好了
[00:10:26.360 --> 00:10:30.280]  保羅寫這封信的時候
[00:10:30.280 --> 00:10:33.440]  哥倫多教會一般估計
[00:10:33.440 --> 00:10:36.480]  是被建立了三到四年左右
[00:10:36.480 --> 00:10:39.400]  而保羅留在哥倫多教會
[00:10:39.400 --> 00:10:41.560]  服侍這班信徒
[00:10:41.560 --> 00:10:43.800]  大概留了他九個月左右
[00:10:43.800 --> 00:10:45.360]  所以大家可以想象
[00:10:45.360 --> 00:10:47.880]  哥倫多教會裏面的信徒
[00:10:47.880 --> 00:10:50.520]  其實基本上都是一班
[00:10:50.520 --> 00:10:52.800]  不是信了很久的信徒
[00:10:52.800 --> 00:10:56.720]  大部份都是信了幾年
[00:10:56.720 --> 00:10:59.320]  所以我們不會感到詫異
[00:10:59.320 --> 00:11:01.440]  這一班初信的信徒
[00:11:01.440 --> 00:11:04.360]  帶著他們過往的生活方式
[00:11:04.360 --> 00:11:07.120]  他們文化的價值觀、世界觀
[00:11:07.120 --> 00:11:09.480]  帶到進來教會那裏
[00:11:09.480 --> 00:11:12.760]  我們仍然相當的看重世界的智慧
[00:11:12.760 --> 00:11:15.480]  覺得在世界裏面的智慧
[00:11:15.480 --> 00:11:18.000]  就是代表著他們的成功
[00:11:18.000 --> 00:11:22.000]  代表著天才
[00:11:22.000 --> 00:11:25.520]  亦都是引致他們教會出現了很多的問題
[00:11:25.520 --> 00:11:28.400]  所以大家看哥倫多書信的時候
[00:11:28.400 --> 00:11:30.400]  保羅是用了很多的篇幅
[00:11:30.400 --> 00:11:33.160]  來處理哥倫多教會
[00:11:33.160 --> 00:11:36.920]  當時所發生的種種問題
[00:11:36.920 --> 00:11:39.680]  好了,接著保羅就說
[00:11:39.680 --> 00:11:42.280]  我不用智慧的言語
[00:11:42.280 --> 00:11:46.640]  免得基督的十字架落了空
[00:11:46.640 --> 00:11:50.240]  因為當信徒
[00:11:50.240 --> 00:11:54.440]  將教會領袖成為一個演說家的時候
[00:11:54.440 --> 00:11:58.240]  你都是覺得傳福音
[00:11:58.240 --> 00:12:02.960]  就是去通過技巧去演說的時候
[00:12:02.960 --> 00:12:06.960]  教會就會引來很多的問題
[00:12:06.960 --> 00:12:12.240]  不單止對教會的領袖有錯誤的理解
[00:12:12.240 --> 00:12:13.720]  錯誤的期望
[00:12:13.720 --> 00:12:15.720]  亦都帶來教會的紛爭
[00:12:15.720 --> 00:12:20.280]  亦都容讓那些人以為
[00:12:20.280 --> 00:12:27.600]  傳道的目者是一些靠說話為生的演說家
[00:12:27.600 --> 00:12:30.600]  保羅跟他們說我不是這一類的人
[00:12:30.600 --> 00:12:33.640]  所以如果他們單是去看著
[00:12:33.640 --> 00:12:38.960]  或者是看重保羅的演說技巧的時候
[00:12:38.960 --> 00:12:43.840]  他們永遠沒辦法真正明白十字架的道理
[00:12:43.840 --> 00:12:47.600]  他們永遠沒辦法真正經歷到神的大難
[00:12:47.600 --> 00:12:50.280]  沒錯,保羅知道很清楚
[00:12:50.280 --> 00:12:57.560]  十字架的訊息並不是一個容易令人接受的訊息
[00:12:57.560 --> 00:12:59.880]  甚至在這個世界來說
[00:12:59.880 --> 00:13:03.400]  十字架的訊息可以說是愚蠢的訊息
[00:13:03.400 --> 00:13:08.640]  但保羅很有趣,他仍然選擇不依靠智慧的言語
[00:13:08.640 --> 00:13:10.600]  沒錯,保羅亦都知道
[00:13:10.600 --> 00:13:13.680]  十字架對某些人來說是愚蠢的道理
[00:13:13.680 --> 00:13:16.400]  對猶太人是愚蠢的
[00:13:16.400 --> 00:13:19.080]  對於希臘人來說亦都是愚蠢的
[00:13:19.080 --> 00:13:21.280]  但他仍然選擇用這種方式
[00:13:21.280 --> 00:13:24.440]  因為保羅知道很清楚
[00:13:24.440 --> 00:13:27.360]  對信的人
[00:13:27.360 --> 00:13:32.960]  十字架的道理卻是神的大難
[00:13:32.960 --> 00:13:36.240]  所以保羅在19節引用了
[00:13:36.240 --> 00:13:41.080]  他引用了以賽亞書
[00:13:41.080 --> 00:13:42.240]  神這樣說
[00:13:42.240 --> 00:13:45.360]  「我要滅絕智慧人的智慧
[00:13:45.360 --> 00:13:48.640]  廢棄聰明人的聰明」
[00:13:48.640 --> 00:13:51.320]  在第20節我們要稍為理解
[00:13:51.320 --> 00:13:54.720]  第20節裏面「智慧人」
[00:13:54.720 --> 00:13:57.760]  是指到強調希臘文化
[00:13:57.760 --> 00:14:01.160]  剛才說過希臘文化是講述追求智慧、追求哲學
[00:14:01.160 --> 00:14:03.880]  所以這裏的「智慧人」是指到
[00:14:03.880 --> 00:14:08.320]  強調或者看重希臘文化、希臘智慧的人
[00:14:08.320 --> 00:14:11.200]  「民事」是指到
[00:14:11.200 --> 00:14:14.560]  倚靠猶太人智慧的人
[00:14:14.560 --> 00:14:16.920]  猶太人的民事
[00:14:16.920 --> 00:14:21.040]  就是保持持守廚房神的華語
[00:14:21.040 --> 00:14:24.960]  「辨識」就是代表在
[00:14:24.960 --> 00:14:28.720]  希臘和羅馬文化之下的智慧
[00:14:28.720 --> 00:14:30.280]  即是說包括所有
[00:14:30.280 --> 00:14:31.680]  所以這裏所說的三類人
[00:14:31.680 --> 00:14:34.840]  智慧、人民事和辨識
[00:14:34.840 --> 00:14:40.840]  可以說是包括了當時所有人類的文化
[00:14:40.840 --> 00:14:43.160]  人類的智慧
[00:14:43.160 --> 00:14:44.560]  所以大家可以理解
[00:14:44.560 --> 00:14:48.240]  所有我不管你是甚麼屬世的智慧
[00:14:48.240 --> 00:14:50.960]  在整個歷史的洪流底下
[00:14:50.960 --> 00:14:52.360]  都會成為過去的
[00:14:52.360 --> 00:14:53.600]  是不是
[00:14:53.600 --> 00:14:55.120]  在既短暫
[00:14:55.120 --> 00:14:58.640]  而又局限於文化底下的人生智慧
[00:14:58.640 --> 00:15:01.840]  在永恆的創造主面前
[00:15:01.840 --> 00:15:04.800]  都是短暫、都是愚昧、都是無知
[00:15:04.800 --> 00:15:06.280]  而歷史都告訴我們
[00:15:06.280 --> 00:15:08.440]  人其實在無論在甚麼世代裏面
[00:15:08.440 --> 00:15:11.280]  都不斷重複犯同一個錯誤
[00:15:11.280 --> 00:15:13.400]  就是將神的智慧
[00:15:13.400 --> 00:15:16.360]  用人的智慧取代了
[00:15:16.360 --> 00:15:19.800]  其實今天如果發生在我們今天的教會生活裏面
[00:15:19.800 --> 00:15:21.920]  而神無論在甚麼年代
[00:15:21.920 --> 00:15:24.720]  當人的智慧取代神的智慧
[00:15:24.720 --> 00:15:26.760]  神都是用同樣的方式
[00:15:26.760 --> 00:15:29.720]  甚麼方式?第21條
[00:15:29.720 --> 00:15:32.000]  西人憑自己的智慧既不認識神
[00:15:32.000 --> 00:15:32.800]  神就怎樣?
[00:15:32.800 --> 00:15:37.240]  神就樂意用人所當作不絕的道理
[00:15:37.240 --> 00:15:38.880]  拯救那些信的人
[00:15:38.880 --> 00:15:41.400]  這一個就是神的智慧
[00:15:41.400 --> 00:15:42.880]  換言之
[00:15:42.880 --> 00:15:50.040]  無論人何時堅持自己的智慧
[00:15:50.040 --> 00:15:56.600]  神就任憑人被自己所堅持的智慧所蒙騙
[00:15:56.600 --> 00:16:00.520]  以致他們無法認識神
[00:16:00.520 --> 00:16:02.600]  當然相反來說
[00:16:02.600 --> 00:16:04.640]  對於那些選擇神的智慧
[00:16:04.640 --> 00:16:06.560]  你都是親近神的時候
[00:16:06.560 --> 00:16:11.560]  無論在世界面前看似如何的愚蠢
[00:16:11.560 --> 00:16:16.520]  他們都是受憐憫得拯救的一群
[00:16:16.520 --> 00:16:18.080]  在22節
[00:16:18.080 --> 00:16:20.440]  保羅用了幾個例子
[00:16:20.440 --> 00:16:22.560]  來講出不同類型的人
[00:16:22.560 --> 00:16:26.040]  有不同在世界上的追求
[00:16:26.040 --> 00:16:27.560]  猶太人是要神蹟
[00:16:27.560 --> 00:16:30.840]  你沒有神蹟給我看我還不相信
[00:16:30.840 --> 00:16:34.360]  希臘人要求的就是智慧
[00:16:34.360 --> 00:16:37.240]  甚麼都要講智慧
[00:16:37.240 --> 00:16:39.000]  而兩樣
[00:16:39.000 --> 00:16:42.280]  無論是希臘人還是猶太人
[00:16:42.280 --> 00:16:46.520]  都不會在十字架上找到真正的滿足
[00:16:46.520 --> 00:16:48.440]  並不是因為十字架沒有智慧
[00:16:48.440 --> 00:16:50.240]  並不是因為十字架沒有神蹟
[00:16:50.240 --> 00:16:51.400]  只不過
[00:16:51.400 --> 00:16:53.240]  這兩個女人是帶著自己的眼鏡
[00:16:53.240 --> 00:16:56.240]  來看十字架的道理
[00:16:56.240 --> 00:16:58.640]  猶太人永遠不會能夠
[00:16:58.640 --> 00:17:01.240]  通過主耶穌的死亡
[00:17:01.240 --> 00:17:04.320]  看到神復活的大能
[00:17:04.320 --> 00:17:09.520]  希臘人也都不會通過十字架上的羞辱
[00:17:09.520 --> 00:17:12.760]  或者軟弱看到神的大能
[00:17:12.760 --> 00:17:16.400]  因為兩者都會被他們自己
[00:17:16.400 --> 00:17:20.440]  以自己的價值觀所蒙騙了
[00:17:20.440 --> 00:17:24.720]  他們看十字架就從他們自身的角度來理解
[00:17:24.720 --> 00:17:31.560]  用自己的智慧來理解神的大能與智慧
[00:17:31.560 --> 00:17:34.960]  所以主耶穌也都勸勉我們
[00:17:34.960 --> 00:17:36.120]  來到神面前
[00:17:36.120 --> 00:17:39.680]  我們需要好像一個小孩一樣
[00:17:39.680 --> 00:17:44.800]  唯有當我們存著小孩單純的信心
[00:17:44.800 --> 00:17:47.120]  去到主耶穌面前的時候
[00:17:47.120 --> 00:17:49.080]  我們才能夠看到
[00:17:49.080 --> 00:17:51.360]  本來是愚者的十字架
[00:17:51.360 --> 00:17:53.960]  其實是神的智慧
[00:17:53.960 --> 00:17:58.320]  本來十字架上所看到的是人的軟弱
[00:17:58.320 --> 00:17:59.840]  但是通過信心
[00:17:59.840 --> 00:18:02.400]  通過小孩般的單純信心
[00:18:02.400 --> 00:18:05.240]  我們就能夠看到神的大能
[00:18:05.240 --> 00:18:07.160]  文化可以說是某一個時代
[00:18:07.160 --> 00:18:12.600]  某一個群體所累積下來的屬世智慧
[00:18:12.600 --> 00:18:15.040]  而當哥倫多的信徒
[00:18:15.040 --> 00:18:19.160]  將屬世的文化帶入教會的時候
[00:18:19.160 --> 00:18:21.680]  他們就用人的智慧取代了神的智慧
[00:18:21.680 --> 00:18:24.600]  以至教會出現了很多紛爭、混亂
[00:18:24.600 --> 00:18:26.720]  種種不同類型的問題
[00:18:26.720 --> 00:18:29.960]  所以當保羅要處理這些種種問題的時候
[00:18:29.960 --> 00:18:31.520]  保羅很聰明
[00:18:31.520 --> 00:18:34.600]  他將這些問題要找出問題的根源
[00:18:34.600 --> 00:18:37.440]  而真正的根源是什麼?
[00:18:37.440 --> 00:18:41.120]  所有哥倫多教會的問題的真正原因就是
[00:18:41.120 --> 00:18:46.480]  雖然他們是生活在或者是領受活在神的救恩裡面
[00:18:46.480 --> 00:18:49.920]  但是他們仍然以人的智慧來生活
[00:18:49.920 --> 00:18:52.520]  這個就是他們最基本的問題
[00:18:52.520 --> 00:18:54.720]  所以在短短這幾次的經文裡面
[00:18:54.720 --> 00:18:56.800]  保羅所高舉的
[00:18:56.800 --> 00:18:58.440]  看來好像是愚蠢
[00:18:58.440 --> 00:19:02.600]  看來好像是軟弱的十字架
[00:19:02.600 --> 00:19:04.000]  不過
